date_obj,Zamorak%20monk%20bottom price
2017-01-24,2420
2017-01-25,2403
2017-01-26,2391
2017-01-27,2276
2017-01-28,2266
2017-01-29,2251
2017-01-30,2239
2017-01-31,2178
2017-02-01,2227
2017-02-02,2233
2017-02-03,2209
2017-02-04,2218
2017-02-05,2197
2017-02-06,2147
2017-02-07,2151
2017-02-08,2166
2017-02-09,2166
2017-02-10,2187
2017-02-11,2214
2017-02-12,2271
2017-02-13,2323
2017-02-14,2349
2017-02-15,2343
2017-02-16,2342
2017-02-17,2342
2017-02-18,2359
2017-02-19,2320
2017-02-20,2340
2017-02-21,2307
2017-02-22,2238
2017-02-23,2143
2017-02-24,2035
2017-02-25,2002
2017-02-26,1944
2017-02-27,1901
2017-02-28,1844
2017-03-01,1853
2017-03-02,1848
2017-03-03,1869
2017-03-04,1910
2017-03-05,1940
2017-03-06,1988
2017-03-07,2002
2017-03-08,2014
2017-03-09,2031
2017-03-10,2054
2017-03-11,2079
2017-03-12,2115
2017-03-13,2161
2017-03-14,2228
2017-03-15,2288
2017-03-16,2324
2017-03-17,2361
2017-03-18,2350
2017-03-19,2382
2017-03-20,2409
2017-03-21,2462
2017-03-22,2472
2017-03-23,2466
2017-03-24,2490
2017-03-25,2440
2017-03-26,2433
2017-03-27,2494
2017-03-28,2450
2017-03-29,2336
2017-03-30,2275
2017-03-31,2174
2017-04-01,2120
2017-04-02,2101
2017-04-03,2066
2017-04-04,2005
2017-04-05,1954
2017-04-06,1926
2017-04-07,1842
2017-04-08,1779
2017-04-09,1809
2017-04-10,1847
2017-04-11,1813
2017-04-12,1839
2017-04-13,1895
2017-04-14,1933
2017-04-15,1975
2017-04-16,2049
2017-04-17,2051
2017-04-18,2076
2017-04-19,2126
2017-04-20,2190
2017-04-21,2244
2017-04-22,2283
2017-04-23,2330
2017-04-24,2322
2017-04-25,2225
2017-04-26,2118
2017-04-27,2014
2017-04-28,1953
2017-04-29,1902
2017-04-30,1806
2017-05-01,1787
2017-05-02,1789
2017-05-03,1769
2017-05-04,1781
2017-05-05,1789
2017-05-06,1777
2017-05-07,1795
2017-05-08,1810
2017-05-09,1794
2017-05-10,1805
2017-05-11,1764
2017-05-12,1755
2017-05-13,1759
2017-05-14,1736
2017-05-15,1753
2017-05-16,1750
2017-05-17,1762
2017-05-18,1773
2017-05-19,1826
2017-05-20,1838
2017-05-21,1838
2017-05-22,1878
2017-05-23,1806
2017-05-24,1804
2017-05-25,1842
2017-05-26,1794
2017-05-27,1823
2017-05-28,1877
2017-05-29,1936
2017-05-30,1929
2017-05-31,1886
2017-06-01,1895
2017-06-02,1905
2017-06-03,1935
2017-06-04,1975
2017-06-05,1945
2017-06-06,1957
2017-06-07,1935
2017-06-08,1840
2017-06-09,1770
2017-06-10,1725
2017-06-11,1726
2017-06-12,1723
2017-06-13,1695
2017-06-14,1656
2017-06-15,1625
2017-06-16,1602
2017-06-17,1627
2017-06-18,1657
2017-06-19,1657
2017-06-20,1681
2017-06-21,1711
2017-06-22,1699
2017-06-23,1712
2017-06-24,1741
2017-06-25,1683
2017-06-26,1696
2017-06-27,1739
2017-06-28,1789
2017-06-29,1810
2017-06-30,1820
2017-07-01,1820
2017-07-02,1857
2017-07-03,1878
2017-07-04,1886
2017-07-05,1886
2017-07-06,1962
2017-07-07,1932
2017-07-08,1960
2017-07-09,2016
2017-07-10,1984
