date_obj,Mithril%20platebody price
2015-03-26,2775
2015-03-27,2835
2015-03-28,2857
2015-03-29,2871
2015-03-30,2852
2015-03-31,2852
2015-04-01,2889
2015-04-02,2909
2015-04-03,2907
2015-04-04,2851
2015-04-05,2839
2015-04-06,2848
2015-04-07,2878
2015-04-08,2857
2015-04-09,2824
2015-04-10,2862
2015-04-11,2827
2015-04-12,2853
2015-04-13,2872
2015-04-14,2873
2015-04-15,2852
2015-04-16,2855
2015-04-17,2853
2015-04-18,2919
2015-04-19,2896
2015-04-20,2840
2015-04-21,2842
2015-04-22,2854
2015-04-23,2862
2015-04-24,2827
2015-04-25,2812
2015-04-26,2837
2015-04-27,2863
2015-04-28,2874
2015-04-29,2889
2015-04-30,2888
2015-05-01,2886
2015-05-02,2862
2015-05-03,2874
2015-05-04,2854
2015-05-05,2838
2015-05-06,2819
2015-05-07,2852
2015-05-08,2856
2015-05-09,2805
2015-05-10,2817
2015-05-11,2863
2015-05-12,2869
2015-05-13,2820
2015-05-14,2835
2015-05-15,2833
2015-05-16,2820
2015-05-17,2850
2015-05-18,2846
2015-05-19,2868
2015-05-20,2889
2015-05-21,2884
2015-05-22,2870
2015-05-23,2900
2015-05-24,2889
2015-05-25,2856
2015-05-26,2852
2015-05-27,2809
2015-05-28,2831
2015-05-29,2855
2015-05-30,2868
2015-05-31,2825
2015-06-01,2832
2015-06-02,2835
2015-06-03,2885
2015-06-04,2860
2015-06-05,2866
2015-06-06,2865
2015-06-07,2898
2015-06-08,2922
2015-06-09,2877
2015-06-10,2868
2015-06-11,2883
2015-06-12,2924
2015-06-13,2916
2015-06-14,2935
2015-06-15,2908
2015-06-16,2869
2015-06-17,2898
2015-06-18,2930
2015-06-19,2912
2015-06-20,2878
2015-06-21,2890
2015-06-22,2923
2015-06-23,2903
2015-06-24,2903
2015-06-25,2955
2015-06-26,2936
2015-06-27,2902
2015-06-28,2873
2015-06-29,2843
2015-06-30,2862
2015-07-01,2854
2015-07-02,2890
2015-07-03,2889
2015-07-04,2887
2015-07-05,2883
2015-07-06,2913
2015-07-07,2847
2015-07-08,2848
2015-07-09,2892
2015-07-10,2872
2015-07-11,2879
2015-07-12,2889
2015-07-13,2896
2015-07-14,2903
2015-07-15,2883
2015-07-16,2861
2015-07-17,2886
2015-07-18,2901
2015-07-19,2907
2015-07-20,2890
2015-07-21,2911
2015-07-22,2928
2015-07-23,2877
2015-07-24,2859
2015-07-25,2855
2015-07-26,2871
2015-07-27,2911
2015-07-28,2895
2015-07-29,2859
2015-07-30,2854
2015-07-31,2859
2015-08-01,2822
2015-08-02,2864
2015-08-03,2889
2015-08-04,2886
2015-08-05,2891
2015-08-06,2890
2015-08-07,2892
2015-08-08,2897
2015-08-09,2896
2015-08-10,2877
2015-08-11,2895
2015-08-12,2860
2015-08-13,2879
2015-08-14,2886
2015-08-15,2812
2015-08-16,2835
2015-08-17,2819
2015-08-18,2864
2015-08-19,2890
2015-08-20,2849
2015-08-21,2875
2015-08-22,2887
2015-08-23,2861
2015-08-24,2883
2015-08-25,2858
2015-08-26,2858
2015-08-27,2892
2015-08-28,2886
2015-08-29,2892
2015-08-30,2912
2015-08-31,2922
2015-09-01,2852
2015-09-02,2839
2015-09-03,2888
2015-09-04,2873
2015-09-05,2871
2015-09-06,2889
2015-09-07,2870
2015-09-08,2871
2015-09-09,2909
2015-09-10,2891
2015-09-11,2909
2015-09-12,2846
2015-09-13,2843
2015-09-14,2896
2015-09-15,2897
2015-09-16,2869
2015-09-17,2861
2015-09-18,2893
2015-09-19,2877
2015-09-20,2906
2015-09-21,2887
2015-09-22,2897
2015-09-23,2898
2015-09-24,2907
2015-09-25,2919
2015-09-27,2915
2015-09-28,2927
2015-09-29,2926
2015-09-30,2933
2015-10-05,2929
2015-10-06,2922
2015-10-07,2912
2015-10-08,2912
2015-10-09,2903
2015-10-10,2913
2015-10-11,2904
2015-10-12,2884
2015-10-13,2897
2015-10-14,2903
2015-10-15,2908
2015-10-16,2923
2015-10-17,2911
2015-10-18,2893
2015-10-19,2890
2015-10-20,2902
2015-10-22,2901
2015-10-23,2916
2015-10-24,2836
2015-10-25,2809
2015-10-26,2900
2015-10-27,2930
2015-10-29,2854
2015-10-30,2877
2015-10-31,2901
2015-11-01,2908
2015-11-02,2913
2015-11-03,2918
2015-11-04,2860
2015-11-05,2863
2015-11-06,2907
2015-11-07,2887
2015-11-08,2921
2015-11-09,2923
2015-11-10,2934
2015-11-11,2940
2015-11-12,2914
2015-11-13,2956
2015-11-14,2930
2015-11-15,2921
2015-11-16,2928
2015-11-17,2934
2015-11-18,2960
2015-11-19,2949
2015-11-20,2923
2015-11-21,2915
2015-11-22,2941
2015-11-23,2948
2015-11-24,2921
2015-11-25,2950
2015-11-26,2899
2015-11-27,2910
2015-11-28,2934
2015-11-29,2939
2015-11-30,2923
2015-12-01,2964
2015-12-02,2994
2015-12-03,2957
2015-12-04,2937
2015-12-05,2913
2015-12-06,2894
2015-12-07,2941
2015-12-08,2929
2015-12-09,2925
2015-12-10,2890
2015-12-11,2911
2015-12-12,2923
2015-12-13,2923
2015-12-14,2954
2015-12-15,2943
2015-12-16,2950
2015-12-17,2941
2015-12-18,2912
2015-12-19,2939
2015-12-20,2933
2015-12-21,2939
2015-12-22,2940
2015-12-23,2964
2015-12-24,2945
2015-12-25,2897
2015-12-26,2883
2015-12-27,2929
2015-12-28,2919
2015-12-29,2923
2015-12-30,2923
2015-12-31,2928
2016-01-01,2855
2016-01-02,2898
2016-01-03,2898
2016-01-04,2903
2016-01-05,2909
2016-01-06,2896
2016-01-07,2943
2016-01-08,2944
2016-01-09,2948
2016-01-10,2910
2016-01-11,2952
2016-01-12,2978
2016-01-13,2987
2016-01-14,2959
2016-01-15,2941
2016-01-16,2925
2016-01-17,2934
2016-01-18,2905
2016-01-19,2920
2016-01-20,2926
2016-01-21,2917
2016-01-22,2915
2016-01-23,2931
2016-01-24,2888
2016-01-25,2902
2016-01-26,2889
2016-01-27,2862
2016-01-28,2796
2016-01-29,2908
2016-01-30,2931
2016-01-31,2968
2016-02-01,2932
2016-02-02,2868
2016-02-03,2931
2016-02-04,2894
2016-02-05,2857
2016-02-06,2915
2016-02-07,2895
2016-02-08,2911
2016-02-09,2830
2016-02-10,2890
2016-02-11,2919
2016-02-12,2991
2016-02-13,2966
2016-02-14,2966
2016-02-15,2987
2016-02-16,2976
2016-02-17,2980
2016-02-18,2890
2016-02-19,2901
2016-02-20,2891
2016-02-21,2850
2016-02-22,2896
2016-02-23,2982
2016-02-24,2936
2016-02-25,2919
2016-02-26,2983
2016-02-27,2963
2016-02-28,2841
2016-02-29,2857
2016-03-01,2948
2016-03-02,2994
2016-03-03,2960
2016-03-04,2996
2016-03-05,2907
2016-03-06,2917
2016-03-07,2990
2016-03-08,2986
2016-03-09,3006
2016-03-10,2982
2016-03-11,2988
2016-03-12,2993
2016-03-13,3005
2016-03-14,2996
2016-03-15,3051
2016-03-16,3013
2016-03-17,2917
2016-03-18,2989
2016-03-19,3006
2016-03-20,2966
2016-03-21,2929
2016-03-22,2965
2016-03-23,3003
2016-03-24,2973
2016-03-25,2948
2016-03-26,2978
2016-03-27,2984
2016-03-28,2907
2016-03-29,2978
2016-03-30,2984
2016-03-31,2989
2016-04-01,2945
2016-04-02,2864
2016-04-03,2913
2016-04-04,2944
2016-04-05,3000
2016-04-06,3013
2016-04-07,3024
2016-04-08,2981
2016-04-09,2994
2016-04-10,2936
2016-04-11,2936
2016-04-12,2908
2016-04-13,2952
2016-04-14,2995
2016-04-15,2925
2016-04-16,2985
2016-04-17,2957
2016-04-18,3033
2016-04-19,3016
