date_obj,Blurberry%20special price
2015-03-26,38
2015-03-27,38
2015-03-28,40
2015-03-29,40
2015-03-30,42
2015-03-31,42
2015-04-01,42
2015-04-02,45
2015-04-03,45
2015-04-04,48
2015-04-05,48
2015-04-06,48
2015-04-07,51
2015-04-08,51
2015-04-09,51
2015-04-10,54
2015-04-11,54
2015-04-12,54
2015-04-13,57
2015-04-14,57
2015-04-15,57
2015-04-16,59
2015-04-17,59
2015-04-18,59
2015-04-19,62
2015-04-20,62
2015-04-21,62
2015-04-22,66
2015-04-23,66
2015-04-24,66
2015-04-25,70
2015-04-26,70
2015-04-27,73
2015-04-28,73
2015-04-29,73
2015-04-30,77
2015-05-01,77
2015-05-02,80
2015-05-03,80
2015-05-04,80
2015-05-05,84
2015-05-06,84
2015-05-07,84
2015-05-08,89
2015-05-09,89
2015-05-10,94
2015-05-11,94
2015-05-12,94
2015-05-13,99
2015-05-14,99
2015-05-15,99
2015-05-16,104
2015-05-17,104
2015-05-18,106
2015-05-19,106
2015-05-20,106
2015-05-21,106
2015-05-22,112
2015-05-23,112
2015-05-24,112
2015-05-25,118
2015-05-26,118
2015-05-27,118
2015-05-28,124
2015-05-29,124
2015-05-30,131
2015-05-31,131
2015-06-01,138
2015-06-02,138
2015-06-03,138
2015-06-04,145
2015-06-05,145
2015-06-06,152
2015-06-07,152
2015-06-08,152
2015-06-09,160
2015-06-10,160
2015-06-11,160
2015-06-12,168
2015-06-13,168
2015-06-14,168
2015-06-15,177
2015-06-16,177
2015-06-17,177
2015-06-18,186
2015-06-19,186
2015-06-20,186
2015-06-21,196
2015-06-22,196
2015-06-23,196
2015-06-24,206
2015-06-25,206
2015-06-26,206
2015-06-27,217
2015-06-28,217
2015-06-29,228
2015-06-30,228
2015-07-01,228
2015-07-02,240
2015-07-03,240
2015-07-04,246
2015-07-05,246
2015-07-06,246
2015-07-07,259
2015-07-08,259
2015-07-09,259
2015-07-10,272
2015-07-11,272
2015-07-12,272
2015-07-13,286
2015-07-14,286
2015-07-15,286
2015-07-16,301
2015-07-17,301
2015-07-18,301
2015-07-19,317
2015-07-20,317
2015-07-21,317
2015-07-22,333
2015-07-23,333
2015-07-24,333
2015-07-25,350
2015-07-26,350
2015-07-27,350
2015-07-28,368
2015-07-29,368
2015-07-30,387
2015-07-31,387
2015-08-01,387
2015-08-02,407
2015-08-03,407
2015-08-04,407
2015-08-05,428
2015-08-06,428
2015-08-07,428
2015-08-08,450
2015-08-09,450
2015-08-10,473
2015-08-11,473
2015-08-12,473
2015-08-13,473
2015-08-14,497
2015-08-15,497
2015-08-16,497
2015-08-17,497
2015-08-18,522
2015-08-19,522
2015-08-20,522
2015-08-21,522
2015-08-22,549
2015-08-23,549
2015-08-24,549
2015-08-25,549
2015-08-26,549
2015-08-27,577
2015-08-28,577
2015-08-29,577
2015-08-30,577
2015-08-31,606
2015-09-01,606
2015-09-02,606
2015-09-03,606
2015-09-04,637
2015-09-05,637
2015-09-06,637
2015-09-07,637
2015-09-08,637
2015-09-09,669
2015-09-10,669
2015-09-11,669
2015-09-12,669
2015-09-13,703
2015-09-14,703
2015-09-15,703
2015-09-16,703
2015-09-17,727
2015-09-18,727
2015-09-19,727
2015-09-20,727
2015-09-21,727
2015-09-22,764
2015-09-23,764
2015-09-24,764
2015-09-25,764
2015-09-27,802
2015-09-28,802
2015-09-29,802
2015-09-30,802
2015-10-05,842
2015-10-06,874
2015-10-07,874
2015-10-08,874
2015-10-09,874
2015-10-10,874
2015-10-11,917
2015-10-12,917
2015-10-13,917
2015-10-14,917
2015-10-15,917
2015-10-16,961
2015-10-17,961
2015-10-18,961
2015-10-19,961
2015-10-20,961
