date_obj,War%20blessing price
2016-07-06,975704
2016-07-07,926918
2016-07-08,880572
2016-07-09,836543
2016-07-10,794715
2016-07-11,754979
2016-07-12,717230
2016-07-13,681368
2016-07-14,647299
2016-07-15,615683
2016-07-16,584898
2016-07-17,555653
2016-07-18,527870
2016-07-24,388851
2016-07-25,369408
2016-07-26,351214
2016-07-27,333653
2016-07-28,317445
2016-07-29,301572
2016-07-30,286493
2016-07-31,272564
2016-08-01,259516
2016-08-02,246540
2016-08-03,234213
2016-08-04,222762
2016-08-05,211912
2016-08-06,201316
2016-08-07,191250
2016-08-08,182017
2016-08-09,172916
2016-08-10,164270
2016-08-11,156191
2016-08-12,148759
2016-08-13,141648
2016-08-14,134565
2016-08-15,127836
2016-08-16,121444
2016-08-17,115371
2016-08-18,115371
2016-08-19,109609
2016-08-20,104128
2016-08-21,99184
2016-08-22,94224
2016-08-23,89512
2016-08-24,85052
2016-08-25,80799
2016-08-26,80799
2016-08-28,76759
2016-08-31,69358
2016-09-01,66052
2016-09-02,66052
2016-09-03,63457
2016-09-04,60736
2016-09-05,57731
2016-09-06,55408
2016-09-07,55408
2016-09-08,53325
2016-09-09,53325
2016-09-10,51285
2016-09-11,51285
2016-09-12,49074
2016-09-13,46890
2016-09-14,46890
2016-09-15,45188
2016-09-16,45188
2016-09-17,44056
2016-09-18,43702
2016-09-19,42453
2016-09-20,42453
2016-09-21,41049
2016-09-22,40246
2016-09-23,40368
2016-09-24,40368
2016-09-25,40831
2016-09-26,40831
2016-09-27,40469
2016-09-28,38748
2016-09-29,38748
2016-09-30,37615
2016-10-01,36456
2016-10-02,36456
2016-10-03,35670
2016-10-04,34571
2016-10-05,34571
2016-10-06,33804
2016-10-07,33804
2016-10-08,32876
2016-10-09,32876
2016-10-10,31982
2016-10-11,31567
2016-10-12,31567
2016-10-13,31231
2016-10-14,31167
2016-10-15,31135
2016-10-16,31135
2016-10-17,31228
2016-10-18,31228
2016-10-19,30546
2016-10-20,30546
2016-10-21,30278
2016-10-22,30278
2016-10-23,30210
2016-10-24,29677
2016-10-25,29677
2016-10-26,29257
2016-10-27,29495
2016-10-28,29495
2016-10-29,30014
2016-10-30,30998
2016-10-31,31382
2016-11-01,31382
2016-11-02,31232
2016-11-03,31232
