date_obj,Magic%20shield price
2018-01-31,796
2018-02-01,823
2018-02-02,823
2018-02-03,814
2018-02-04,814
2018-02-05,779
2018-02-06,779
2018-02-07,744
2018-02-08,744
2018-02-09,720
2018-02-10,720
2018-02-11,720
2018-02-12,724
2018-02-13,724
2018-02-14,724
2018-02-15,742
2018-02-16,742
2018-02-17,742
2018-02-18,780
2018-02-19,780
2018-02-20,780
2018-02-21,796
2018-02-22,796
2018-02-23,796
2018-02-24,796
2018-02-25,797
2018-02-26,797
2018-02-27,797
2018-02-28,797
2018-03-01,759
2018-03-02,759
2018-03-03,759
2018-03-04,781
2018-03-05,781
2018-03-06,781
2018-03-07,817
2018-03-08,817
2018-03-09,817
2018-03-10,817
2018-03-11,819
2018-03-12,819
2018-03-13,819
2018-03-14,819
2018-03-15,842
2018-03-16,842
2018-03-17,842
2018-03-18,842
2018-03-19,808
2018-03-20,808
2018-03-21,808
2018-03-23,775
2018-03-24,775
2018-03-26,737
2018-03-27,737
2018-03-28,737
2018-03-29,703
2018-03-30,703
2018-03-31,703
2018-04-01,703
2018-04-02,688
2018-04-03,688
2018-04-04,688
2018-04-05,688
2018-04-06,691
2018-04-07,691
2018-04-08,691
2018-04-09,691
2018-04-10,691
2018-04-11,656
2018-04-12,656
2018-04-13,656
2018-04-14,656
2018-04-15,656
2018-04-16,625
2018-04-17,625
2018-04-18,625
2018-04-19,625
2018-04-20,625
2018-04-21,597
2018-04-22,597
2018-04-23,597
2018-04-24,597
2018-04-25,597
2018-04-26,597
2018-04-27,583
2018-04-28,583
2018-04-29,583
2018-04-30,583
2018-05-01,555
2018-05-04,555
2018-05-05,555
2018-05-06,555
2018-05-07,533
2018-05-08,533
2018-05-09,533
2018-05-10,533
2018-05-11,533
2018-05-12,552
2018-05-13,552
2018-05-14,552
2018-05-15,552
2018-05-16,552
2018-05-17,552
2018-05-18,561
2018-05-19,561
2018-05-20,561
2018-05-21,561
2018-05-22,561
2018-05-23,575
2018-05-24,575
2018-05-25,575
2018-05-26,575
2018-05-27,575
2018-05-28,596
2018-05-29,596
2018-05-30,596
2018-05-31,596
2018-06-01,596
2018-06-02,618
2018-06-03,618
2018-06-04,618
2018-06-05,618
2018-06-06,618
2018-06-07,618
2018-06-08,627
2018-06-09,627
2018-06-10,627
2018-06-11,627
2018-06-12,627
2018-06-13,627
2018-06-14,640
2018-06-15,640
2018-06-16,640
2018-06-17,640
2018-06-18,640
2018-06-19,637
2018-06-20,637
2018-06-21,637
2018-06-22,637
2018-06-23,637
2018-06-24,645
2018-06-25,645
2018-06-26,645
2018-06-27,645
2018-06-28,645
2018-06-29,645
2018-06-30,633
2018-07-01,633
2018-07-02,633
2018-07-03,633
2018-07-04,633
2018-07-05,633
2018-07-06,655
2018-07-07,655
2018-07-08,655
2018-07-09,655
2018-07-10,675
2018-07-11,675
2018-07-12,675
2018-07-13,675
2018-07-14,675
2018-07-15,657
2018-07-16,657
2018-07-17,657
2018-07-18,657
2018-07-19,668
2018-07-20,668
2018-07-21,668
2018-07-22,686
2018-07-23,686
2018-07-24,686
2018-07-25,686
2018-07-26,686
2018-07-27,686
2018-07-28,686
2018-07-29,660
2018-07-30,660
2018-07-31,660
2018-08-01,660
2018-08-02,683
2018-08-03,683
2018-08-04,683
2018-08-05,676
2018-08-06,676
2018-08-07,676
2018-08-08,676
2018-08-09,671
2018-08-10,671
2018-08-11,671
2018-08-12,672
2018-08-14,672
2018-08-16,671
2018-08-17,671
2018-08-18,671
2018-08-19,645
2018-08-20,645
2018-08-21,645
2018-08-22,673
2018-08-23,673
2018-08-24,673
2018-08-25,682
2018-08-26,682
2018-08-27,682
2018-08-28,682
2018-08-29,653
2018-08-30,653
2018-08-31,653
2018-09-01,646
2018-09-02,646
2018-09-03,646
2018-09-04,666
2018-09-05,666
2018-09-06,666
2018-09-07,685
2018-09-08,685
2018-09-09,685
2018-09-10,715
2018-09-11,715
2018-09-12,715
2018-09-13,715
2018-09-14,724
2018-09-15,724
2018-09-16,724
2018-09-17,744
2018-09-18,744
2018-09-19,744
2018-09-20,776
2018-09-21,776
2018-09-22,776
2018-09-23,766
2018-09-24,766
2018-09-25,766
2018-09-26,803
2018-09-27,803
2018-09-28,803
2018-09-29,803
2018-09-30,814
2018-10-02,814
2018-10-03,789
2018-10-04,789
2018-10-05,789
2018-10-06,791
2018-10-07,791
2018-10-08,791
2018-10-09,791
2018-10-10,766
2018-10-11,766
2018-10-12,766
2018-10-13,767
2018-10-14,767
2018-10-15,767
2018-10-16,767
2018-10-17,759
2018-10-18,759
2018-10-19,759
2018-10-20,759
2018-10-21,753
2018-10-22,753
2018-10-23,753
2018-10-24,753
2018-10-25,724
2018-10-26,724
2018-10-27,724
2018-10-28,690
2018-10-29,690
2018-10-30,690
2018-10-31,690
2018-11-01,655
2018-11-03,654
2018-11-04,654
2018-11-05,647
2018-11-06,647
2018-11-07,643
2018-11-08,643
2018-11-09,643
2018-11-10,640
2018-11-11,640
2018-11-12,636
2018-11-13,636
2018-11-14,636
2018-11-15,624
2018-11-16,624
2018-11-17,651
2018-11-18,651
2018-11-19,681
2018-11-20,681
2018-11-21,715
2018-11-22,715
2018-11-23,751
2018-11-24,751
2018-11-25,780
2018-11-26,780
2018-11-27,780
2018-11-28,782
2018-11-29,782
2018-12-01,776
2018-12-02,776
2018-12-03,776
2018-12-04,749
2018-12-05,749
2018-12-07,726
2018-12-09,690
2018-12-10,663
2018-12-11,663
2018-12-12,665
2018-12-13,665
2018-12-14,632
2018-12-15,632
2018-12-16,600
2018-12-17,600
2018-12-18,571
2018-12-19,571
2018-12-20,556
2018-12-21,556
2018-12-22,556
2018-12-23,576
2018-12-24,576
2018-12-25,576
2018-12-26,596
2018-12-27,596
2018-12-28,609
2018-12-29,609
2018-12-30,581
2018-12-31,581
2019-01-01,586
2019-01-02,586
2019-01-03,610
2019-01-04,610
2019-01-05,627
2019-01-06,627
2019-01-08,628
2019-01-10,656
2019-01-11,681
2019-01-12,681
2019-01-13,714
2019-01-14,714
2019-01-15,730
2019-01-16,730
2019-01-17,730
2019-01-18,730
2019-01-19,742
2019-01-20,742
2019-01-21,713
2019-01-22,713
2019-01-23,709
2019-01-24,709
2019-01-25,709
2019-01-26,743
2019-01-27,743
2019-01-28,743
2019-01-29,775
2019-01-30,775
2019-01-31,775
2019-02-01,758
2019-02-02,758
2019-02-03,723
2019-02-04,723
2019-02-05,741
2019-02-06,741
2019-02-07,741
2019-02-08,713
2019-02-09,713
2019-02-10,693
2019-02-11,693
2019-02-12,693
2019-02-13,697
2019-02-14,697
2019-02-15,697
2019-02-16,705
2019-02-17,705
2019-02-18,705
2019-02-19,724
2019-02-20,724
2019-02-21,724
2019-02-22,757
2019-02-23,757
2019-02-24,757
2019-02-25,755
2019-02-26,755
2019-02-27,755
2019-02-28,755
2019-03-01,755
2019-03-02,749
2019-03-03,749
2019-03-04,749
2019-03-05,734
