date_obj,Plain%20pizza price
2015-03-26,377
2015-03-27,377
2015-03-28,395
2015-03-29,395
2015-03-30,414
2015-03-31,414
2015-04-01,414
2015-04-02,434
2015-04-03,434
2015-04-04,455
2015-04-05,455
2015-04-06,455
2015-04-07,477
2015-04-08,477
2015-04-09,477
2015-04-10,500
2015-04-11,500
2015-04-12,500
2015-04-13,525
2015-04-14,525
2015-04-15,525
2015-04-16,551
2015-04-17,551
2015-04-18,551
2015-04-19,579
2015-04-20,579
2015-04-21,579
2015-04-22,579
2015-04-23,607
2015-04-24,607
2015-04-25,607
2015-04-26,624
2015-04-27,624
2015-04-28,624
2015-04-29,624
2015-04-30,637
2015-05-01,637
2015-05-02,637
2015-05-03,637
2015-05-04,643
2015-05-05,643
2015-05-06,643
2015-05-07,643
2015-05-08,632
2015-05-09,632
2015-05-10,632
2015-05-11,632
2015-05-12,625
2015-05-13,625
2015-05-14,625
2015-05-15,625
2015-05-16,625
2015-05-17,613
2015-05-18,613
2015-05-19,613
2015-05-20,613
2015-05-21,613
2015-05-22,614
2015-05-23,614
2015-05-24,614
2015-05-25,594
2015-05-26,594
2015-05-27,594
2015-05-28,580
2015-05-29,580
2015-05-30,595
2015-05-31,595
2015-06-01,595
2015-06-02,600
2015-06-03,600
2015-06-04,600
2015-06-05,584
2015-06-06,584
2015-06-07,570
2015-06-08,570
2015-06-09,570
2015-06-10,568
2015-06-11,568
2015-06-12,568
2015-06-13,569
2015-06-14,569
2015-06-15,569
2015-06-16,568
2015-06-17,568
2015-06-18,568
2015-06-19,581
2015-06-20,581
2015-06-21,597
2015-06-22,597
2015-06-23,597
2015-06-24,603
2015-06-25,603
2015-06-26,603
2015-06-27,590
2015-06-28,590
2015-06-29,609
2015-06-30,609
2015-07-01,624
2015-07-02,624
2015-07-03,599
2015-07-04,599
2015-07-05,599
2015-07-06,608
2015-07-07,608
2015-07-08,606
2015-07-09,606
2015-07-10,606
2015-07-11,614
2015-07-12,614
2015-07-13,614
2015-07-14,630
2015-07-15,630
2015-07-16,630
2015-07-17,619
2015-07-18,619
2015-07-19,619
2015-07-20,643
2015-07-21,643
2015-07-22,644
2015-07-23,644
2015-07-24,644
2015-07-25,653
2015-07-26,653
2015-07-27,653
2015-07-28,656
2015-07-29,656
2015-07-30,656
2015-07-31,656
2015-08-01,656
2015-08-02,663
2015-08-03,663
2015-08-04,663
2015-08-05,689
2015-08-06,689
2015-08-07,689
2015-08-08,672
2015-08-09,672
2015-08-10,665
2015-08-11,665
2015-08-12,665
2015-08-13,660
2015-08-14,660
2015-08-15,660
2015-08-16,653
2015-08-17,653
2015-08-18,653
2015-08-19,655
2015-08-20,655
2015-08-21,655
2015-08-22,636
2015-08-23,636
2015-08-24,636
2015-08-25,620
2015-08-26,620
2015-08-27,620
2015-08-28,617
2015-08-29,617
2015-08-30,617
2015-08-31,604
2015-09-01,604
2015-09-02,604
2015-09-03,594
2015-09-04,594
2015-09-05,594
2015-09-06,582
2015-09-07,582
2015-09-08,582
2015-09-09,563
2015-09-10,563
2015-09-11,563
2015-09-12,539
2015-09-13,539
2015-09-14,539
2015-09-15,521
2015-09-16,521
2015-09-17,521
2015-09-18,528
2015-09-19,528
2015-09-20,528
2015-09-21,523
2015-09-22,523
2015-09-23,523
2015-09-24,520
2015-09-25,520
2015-09-27,509
2015-09-28,509
2015-09-29,509
2015-09-30,487
2015-10-05,489
2015-10-06,489
2015-10-07,489
2015-10-08,489
2015-10-09,497
2015-10-10,497
2015-10-11,497
2015-10-12,489
2015-10-13,489
2015-10-14,489
2015-10-15,492
2015-10-16,492
2015-10-17,492
2015-10-18,500
2015-10-19,500
2015-10-20,509
2015-10-22,509
2015-10-23,526
2015-10-24,526
2015-10-25,547
2015-10-26,547
2015-10-27,574
2015-10-29,598
2015-10-30,598
2015-10-31,612
2015-11-01,612
2015-11-02,612
2015-11-03,634
2015-11-04,634
2015-11-05,634
2015-11-06,645
2015-11-07,645
2015-11-08,645
2015-11-09,662
2015-11-10,662
2015-11-11,662
2015-11-12,678
2015-11-13,678
2015-11-14,678
2015-11-15,681
2015-11-16,681
2015-11-17,681
2015-11-18,681
2015-11-19,658
2015-11-20,658
2015-11-21,658
2015-11-22,675
2015-11-23,675
2015-11-24,675
2015-11-25,705
2015-11-26,705
2015-11-27,705
2015-11-28,730
2015-11-29,730
2015-11-30,751
2015-12-01,751
2015-12-02,751
2015-12-03,732
2015-12-04,732
2015-12-05,732
2015-12-06,714
2015-12-07,714
2015-12-08,714
2015-12-09,682
2015-12-10,682
2015-12-11,682
