date_obj,Double%20eye%20patch price
2016-07-06,300005
2016-07-07,300005
2016-07-08,300005
2016-07-09,300005
2016-07-10,300005
2016-07-11,300005
2016-07-12,300005
2016-07-13,300005
2016-07-14,300005
2016-07-15,300005
2016-07-16,300005
2016-07-17,300005
2016-07-18,300005
2016-07-23,300005
2016-07-24,300005
2016-07-25,300005
2016-07-26,300005
2016-07-27,300005
2016-07-28,300005
2016-07-29,294109
2016-07-30,294109
2016-07-31,294109
2016-08-01,294109
2016-08-02,294109
2016-08-03,294109
2016-08-04,294109
2016-08-05,294109
2016-08-06,294109
2016-08-07,294109
2016-08-08,294109
2016-08-09,294109
2016-08-10,294109
2016-08-11,294109
2016-08-12,294109
2016-08-13,294109
2016-08-14,294109
2016-08-15,294109
2016-08-16,294109
2016-08-17,294109
2016-08-18,294109
2016-08-19,294109
2016-08-20,294109
2016-08-21,294109
2016-08-22,294109
2016-08-23,294109
2016-08-24,294109
2016-08-25,294109
2016-08-26,294109
2016-08-28,294109
2016-08-31,294109
2016-09-01,294109
2016-09-02,294109
2016-09-03,294109
2016-09-04,294109
2016-09-05,294109
2016-09-06,294109
2016-09-07,294109
2016-09-08,294109
2016-09-09,294109
2016-09-10,294109
2016-09-11,294109
2016-09-12,294109
2016-09-13,294109
2016-09-14,294109
2016-09-15,280115
2016-09-16,280115
2016-09-17,280115
2016-09-18,280115
2016-09-19,280115
2016-09-20,280115
2016-09-21,280115
2016-09-22,280115
2016-09-23,280115
2016-09-24,280115
2016-09-25,280115
2016-09-26,280115
2016-09-27,280115
2016-09-28,280115
2016-09-29,280115
2016-09-30,280115
2016-10-01,280115
2016-10-02,280115
2016-10-03,280115
2016-10-04,280115
2016-10-05,280115
2016-10-06,280115
2016-10-07,280115
2016-10-08,280115
2016-10-09,280115
2016-10-10,280115
2016-10-11,280115
2016-10-12,280115
2016-10-13,280115
2016-10-14,280115
2016-10-15,280115
2016-10-16,280115
2016-10-17,280115
2016-10-18,280115
2016-10-19,280115
2016-10-20,280115
2016-10-21,280115
2016-10-22,280115
2016-10-23,280115
2016-10-24,280115
2016-10-25,280115
2016-10-26,280115
2016-10-27,280115
2016-10-28,280115
2016-10-29,280115
2016-10-30,280115
2016-10-31,280115
2016-11-01,280115
2016-11-02,280115
2016-11-03,280115
2016-11-04,280115
2016-11-05,280115
2016-11-06,266220
2016-11-07,266220
2016-11-08,266220
2016-11-09,266220
2016-11-10,266220
2016-11-11,266220
2016-11-12,266220
2016-11-13,266220
2016-11-14,266220
2016-11-15,266220
2016-12-07,266220
2016-12-08,266220
2016-12-09,266220
2016-12-10,266220
2016-12-11,266220
2016-12-12,266220
2016-12-13,266220
2016-12-14,266220
2016-12-15,266220
2016-12-16,266220
2016-12-17,266220
2016-12-18,266220
2016-12-19,266220
2016-12-20,266220
2016-12-21,266220
2016-12-22,266220
2016-12-23,266220
2016-12-24,266220
