date_obj,Bracelet%20of%20slaughter price
2017-02-01,4766
2017-02-02,4527
2017-02-03,4303
2017-02-04,4087
2017-02-05,4087
2017-02-06,3882
2017-02-07,3882
2017-02-08,3687
2017-02-09,3687
2017-02-10,3502
2017-02-11,3334
2017-02-12,3334
2017-02-13,3169
2017-02-14,3169
2017-02-15,3010
2017-02-16,3010
2017-02-18,2859
2017-02-19,2716
2017-02-20,2716
2017-02-21,2580
2017-02-22,2580
2017-02-23,2580
2017-02-24,2451
2017-02-25,2451
2017-02-26,2328
2017-02-27,2328
2017-02-28,2211
2017-03-01,2211
2017-03-02,2100
2017-03-03,2100
2017-03-04,1995
2017-03-05,1995
2017-03-06,1902
2017-03-07,1902
2017-03-08,1902
2017-03-09,1812
2017-03-10,1812
2017-03-11,1721
2017-03-12,1721
2017-03-13,1634
2017-03-14,1634
2017-03-15,1552
2017-03-16,1552
2017-03-17,1552
2017-03-18,1495
2017-03-19,1567
2017-03-20,1637
2017-03-21,1656
2017-03-22,1656
2017-03-23,1591
2017-03-24,1591
2017-03-25,1558
2017-03-26,1558
2017-03-27,1539
2017-03-28,1539
2017-03-29,1538
2017-03-30,1538
2017-03-31,1556
2017-04-01,1556
2017-04-02,1625
2017-04-03,1672
2017-04-04,1672
2017-04-12,1616
2017-04-13,1642
2017-04-14,1642
2017-04-15,1595
2017-04-16,1595
2017-04-17,1538
2017-04-18,1538
2017-04-19,1526
2017-04-20,1526
2017-04-21,1587
2017-04-22,1587
2017-04-23,1654
2017-04-24,1654
2017-04-25,1699
2017-04-26,1699
2017-04-27,1699
2017-04-28,1746
2017-04-29,1746
2017-04-30,1663
2017-05-01,1663
2017-05-02,1663
2017-05-03,1674
2017-05-04,1674
2017-05-05,1625
2017-05-06,1625
2017-05-07,1607
2017-05-08,1607
2017-05-09,1575
2017-05-10,1575
2017-05-11,1575
2017-05-12,1563
2017-05-13,1563
2017-05-14,1588
2017-05-15,1588
2017-05-16,1644
2017-05-17,1644
2017-05-18,1632
2017-05-19,1632
2017-05-20,1555
2017-05-21,1555
2017-05-22,1555
2017-05-23,1541
2017-05-24,1541
2017-05-25,1557
2017-05-26,1557
2017-05-27,1554
2017-05-28,1554
2017-05-29,1554
2017-05-30,1510
2017-05-31,1510
2017-06-01,1510
2017-06-02,1473
2017-06-03,1473
2017-06-04,1473
2017-06-05,1489
2017-06-06,1541
2017-06-07,1541
2017-06-08,1541
2017-06-09,1580
2017-06-10,1580
2017-06-11,1624
2017-06-12,1624
2017-06-13,1629
2017-06-14,1629
2017-06-15,1573
2017-06-16,1573
2017-06-17,1573
2017-06-18,1574
2017-06-19,1574
2017-06-20,1574
2017-06-21,1530
2017-06-22,1530
2017-06-23,1530
2017-06-24,1535
2017-06-25,1535
2017-06-26,1535
2017-06-27,1517
2017-06-28,1517
2017-06-29,1517
2017-06-30,1516
2017-07-01,1516
2017-07-02,1516
2017-07-03,1511
2017-07-04,1511
2017-07-05,1511
2017-07-06,1485
2017-07-07,1485
2017-07-08,1485
2017-07-13,1495
2017-07-14,1495
2017-07-15,1520
2017-07-16,1520
2017-07-17,1582
2017-07-18,1582
2017-07-19,1582
2017-07-20,1645
2017-07-21,1645
2017-07-22,1645
2017-07-23,1700
2017-07-24,1700
2017-07-25,1700
2017-07-26,1781
2017-07-27,1781
2017-07-28,1865
2017-07-29,1865
2017-07-30,1949
2017-07-31,1949
2017-08-01,1949
2017-08-02,2047
2017-08-03,2047
2017-08-04,2047
2017-08-05,2135
2017-08-06,2135
2017-08-09,2242
2017-08-10,2355
2017-08-11,2355
2017-08-12,2355
2017-08-13,2418
2017-08-14,2418
2017-08-15,2418
2017-08-16,2434
2017-08-17,2434
2017-08-18,2434
2017-08-19,2366
2017-08-20,2366
2017-08-21,2303
2017-08-22,2303
2017-08-23,2244
2017-08-24,2244
2017-08-25,2244
2017-08-26,2333
2017-08-27,2333
2017-08-28,2333
2017-08-29,2436
2017-08-30,2436
2017-08-31,2515
2017-09-01,2515
2017-09-02,2553
2017-09-03,2553
2017-09-04,2553
2017-09-05,2530
2017-09-06,2530
2017-09-07,2525
2017-09-08,2525
2017-09-09,2525
2017-09-10,2612
2017-09-11,2612
2017-09-12,2612
2017-09-13,2691
2017-09-14,2691
2017-09-15,2691
2017-09-16,2765
2017-09-17,2765
2017-09-18,2857
2017-09-19,2857
2017-09-20,2933
2017-09-21,2933
2017-09-22,2919
2017-09-23,2919
2017-09-24,2919
2017-09-25,2885
2017-09-26,2885
2017-09-27,2885
2017-09-28,2822
