date_obj,Ancient%20plateskirt price
2015-03-26,38162
2015-03-27,38162
2015-03-28,38162
2015-03-29,37677
2015-03-30,37677
2015-03-31,37283
2015-04-01,37283
2015-04-02,37262
2015-04-03,37262
2015-04-04,37432
2015-04-05,37432
2015-04-06,38020
2015-04-07,38020
2015-04-08,38778
2015-04-09,38778
2015-04-10,39378
2015-04-11,39378
2015-04-12,39833
2015-04-13,39833
2015-04-14,39902
2015-04-15,39902
2015-04-16,39231
2015-04-17,39231
2015-04-18,38148
2015-04-19,38148
2015-04-20,37920
2015-04-21,37920
2015-04-22,38900
2015-04-23,40700
2015-04-24,40700
2015-04-25,42029
2015-04-26,42029
2015-04-27,40815
2015-04-28,40815
2015-04-29,40181
2015-04-30,39166
2015-05-01,39868
2015-05-02,39868
2015-05-03,39621
2015-05-04,39621
2015-05-05,38401
2015-05-06,38401
2015-05-07,38188
2015-05-08,38188
2015-05-09,38957
2015-05-10,38957
2015-05-11,39206
2015-05-12,39586
2015-05-13,39586
2015-05-14,40293
2015-05-15,40293
2015-05-16,39954
2015-05-17,40468
2015-05-18,40468
2015-05-19,39870
2015-05-20,39870
2015-05-21,39870
2015-05-22,39802
2015-05-23,39802
2015-05-24,39678
2015-05-25,40947
2015-05-26,40947
2015-05-27,41437
2015-05-28,41437
2015-05-29,40712
2015-05-30,40536
2015-05-31,40536
2015-06-01,41205
2015-06-02,41205
2015-06-03,41137
2015-06-04,41137
2015-06-05,40964
2015-06-06,40964
2015-06-07,40968
2015-06-08,40968
2015-06-09,40894
2015-06-10,40894
2015-06-11,40248
2015-06-12,40248
2015-06-13,40833
2015-06-14,40833
2015-06-15,40965
2015-06-16,40965
2015-06-17,40423
2015-06-18,40423
2015-06-19,40401
2015-06-20,40401
2015-06-21,39779
2015-06-22,39779
2015-06-23,39059
2015-06-24,39059
2015-06-25,38600
2015-06-26,38600
2015-06-27,39060
2015-06-28,39102
2015-06-29,39102
2015-06-30,39393
2015-07-01,39393
2015-07-02,39702
2015-07-03,40020
2015-07-04,40020
2015-07-05,39252
2015-07-06,39252
2015-07-07,38037
2015-07-08,38037
2015-07-09,38198
2015-07-10,38198
2015-07-11,38198
2015-07-12,39310
2015-07-13,39178
2015-07-14,39178
2015-07-15,39975
2015-07-16,39975
2015-07-17,39825
2015-07-18,39825
2015-07-19,40616
2015-07-20,40616
2015-07-21,40726
2015-07-22,40726
2015-07-23,42180
2015-07-24,42180
2015-07-25,41331
2015-07-26,41331
2015-07-27,41331
2015-07-28,40915
2015-07-29,40915
2015-07-30,41707
2015-07-31,41707
2015-08-01,41707
2015-08-02,40430
2015-08-03,40430
2015-08-04,41176
2015-08-05,41176
2015-08-06,40107
2015-08-07,40107
2015-08-08,39681
2015-08-09,39681
2015-08-10,39656
2015-08-11,39656
2015-08-12,39656
2015-08-13,39751
2015-08-14,40939
2015-08-15,40939
2015-08-16,40939
2015-08-17,40608
2015-08-18,40608
2015-08-19,39853
2015-08-20,39853
2015-08-21,40410
2015-08-22,40410
2015-08-23,41068
2015-08-24,41068
2015-08-25,41068
2015-08-26,41014
2015-08-27,41014
2015-08-28,40692
2015-08-29,40692
2015-08-30,40692
2015-08-31,40026
2015-09-01,40026
2015-09-02,40026
2015-09-03,40341
2015-09-04,40341
2015-09-05,40356
2015-09-06,40356
2015-09-07,40392
2015-09-08,40392
2015-09-09,40459
2015-09-10,40459
2015-09-11,40042
2015-09-12,40042
2015-09-13,40042
2015-09-14,40758
2015-09-15,40758
2015-09-16,40285
2015-09-17,40285
2015-09-18,40746
2015-09-19,40746
2015-09-20,40968
2015-09-21,40968
2015-09-22,41163
2015-09-23,41163
2015-09-24,41947
2015-09-25,41947
2015-09-27,41284
2015-09-28,41265
2015-09-29,41265
2015-09-30,40580
2015-10-05,41131
2015-10-06,41131
2015-10-07,41583
2015-10-08,41583
2015-10-09,41753
2015-10-10,41753
2015-10-11,41548
2015-10-12,41548
2015-10-13,41548
2015-10-14,40481
2015-10-15,40481
2015-10-16,40928
2015-10-17,40928
2015-10-18,40928
2015-10-19,40785
2015-10-20,40785
2015-10-22,41427
2015-10-23,40963
2015-10-24,40963
2015-10-25,40600
2015-10-26,40600
2015-10-27,39917
2015-10-28,39917
2015-10-29,39917
2015-10-30,38987
2015-10-31,38987
2015-11-01,38987
2015-11-02,38430
2015-11-03,38430
2015-11-04,39112
2015-11-05,39112
2015-11-06,39112
