date_obj,Morrigan's%20leather%20chaps price
2018-09-05,6000000
2018-09-06,6000000
2018-09-07,6000000
2018-09-08,6000000
2018-09-09,6000000
2018-09-10,6000000
2018-09-11,6000000
2018-09-12,6000000
2018-09-13,6000000
2018-09-14,6000000
2018-09-15,6000000
2018-09-16,6000000
2018-09-17,6000000
2018-09-18,6000000
2018-09-19,6000000
2018-09-20,6000000
2018-09-21,6000000
2018-09-22,6000000
2018-09-23,6000000
2018-09-24,6000000
2018-09-25,6000000
2018-09-26,6000000
2018-09-27,6000000
2018-09-28,6000000
2018-09-29,6000000
2018-09-30,6000000
2018-10-02,6000000
2018-10-03,6000000
2018-10-04,6000000
2018-10-05,6000000
2018-10-06,6000000
2018-10-07,6000000
2018-10-08,6000000
2018-10-09,6000000
2018-10-10,6000000
2018-10-11,6000000
2018-10-12,6000000
2018-10-13,6000000
2018-10-14,6000000
2018-10-15,6000000
2018-10-16,6000000
2018-10-17,6000000
2018-10-18,6000000
2018-10-19,6000000
2018-10-20,6000000
2018-10-21,6000000
2018-10-21,6000000
2018-10-22,6000000
2018-10-23,6000000
2018-10-23,6000000
2018-10-24,6000000
2018-10-25,6000000
2018-10-26,6000000
2018-10-26,6000000
2018-10-27,6000000
2018-10-28,6000000
2018-10-29,6000000
2018-10-30,6000000
2018-10-31,6000000
2018-11-01,6000000
2018-11-03,6000000
2018-11-04,6000000
2018-11-05,6000000
2018-11-06,6000000
2018-11-07,6000000
2018-11-08,6000000
2018-11-09,6000000
2018-11-10,6000000
2018-11-11,6000000
2018-11-12,6000000
2018-11-13,6000000
2018-11-15,6000000
2018-11-16,6000000
2018-11-17,6000000
2018-11-18,6000000
2018-11-19,6000000
2018-11-20,6000000
2018-11-21,6000000
2018-11-22,6000000
2018-11-23,6000000
2018-11-24,6000000
2018-11-25,6000000
2018-11-26,6000000
2018-11-27,6000000
2018-11-28,6000000
2018-11-29,6000000
2018-12-01,6000000
2018-12-02,6000000
2018-12-03,6000000
2018-12-04,6000000
