date_obj,Grimy%20snapdragon price
2015-03-26,5886
2015-03-27,5886
2015-03-28,5702
2015-03-29,5573
2015-03-30,5496
2015-03-31,5561
2015-04-01,5561
2015-04-02,5503
2015-04-03,5550
2015-04-04,5630
2015-04-05,5630
2015-04-06,5683
2015-04-07,5754
2015-04-08,5754
2015-04-09,5842
2015-04-10,5827
2015-04-11,5855
2015-04-12,5751
2015-04-13,5749
2015-04-14,5749
2015-04-15,5870
2015-04-16,5870
2015-04-17,5808
2015-04-18,5879
2015-04-19,5938
2015-04-20,5938
2015-04-21,6001
2015-04-22,6001
2015-04-23,6074
2015-04-24,6074
2015-04-25,5982
2015-04-26,5982
2015-04-27,5917
2015-04-28,6029
2015-04-29,6029
2015-04-30,5922
2015-05-01,5957
2015-05-02,6021
2015-05-03,6021
2015-05-04,5892
2015-05-05,5892
2015-05-06,5819
2015-05-07,5871
2015-05-08,5871
2015-05-09,5860
2015-05-10,5834
2015-05-11,5834
2015-05-12,5888
2015-05-13,5888
2015-05-14,5841
2015-05-15,5841
2015-05-16,5744
2015-05-17,5782
2015-05-18,5777
2015-05-19,5777
2015-05-20,5740
2015-05-21,5740
2015-05-22,5596
2015-05-23,5596
2015-05-24,5619
2015-05-25,5495
2015-05-26,5495
2015-05-27,5437
2015-05-28,5481
2015-05-29,5635
2015-05-30,5635
2015-05-31,5635
2015-06-01,5538
2015-06-02,5538
2015-06-03,5465
2015-06-04,5457
2015-06-05,5600
2015-06-06,5743
2015-06-07,5708
2015-06-08,5775
2015-06-09,5894
2015-06-10,5988
2015-06-11,5988
2015-06-12,6133
2015-06-13,6130
2015-06-14,6194
2015-06-15,6281
2015-06-16,6397
2015-06-17,6355
2015-06-18,6437
2015-06-19,6495
2015-06-20,6564
2015-06-21,6627
2015-06-22,6592
2015-06-23,6556
2015-06-24,6556
2015-06-25,6556
2015-06-26,6567
2015-06-27,6567
2015-06-28,6376
2015-06-29,6212
2015-06-30,6080
2015-07-01,6002
2015-07-02,6002
2015-07-03,5911
2015-07-04,5967
2015-07-05,5907
2015-07-06,6030
2015-07-07,6069
2015-07-08,6102
2015-07-09,6102
2015-07-10,6231
2015-07-11,6243
2015-07-12,6243
2015-07-13,6254
2015-07-14,6140
2015-07-15,6216
2015-07-16,6255
2015-07-17,6286
2015-07-18,6415
2015-07-19,6334
2015-07-20,6350
2015-07-21,6282
2015-07-22,6243
2015-07-23,6243
2015-07-24,6194
2015-07-25,6286
2015-07-26,6384
2015-07-27,6406
2015-07-28,6394
2015-07-29,6407
2015-07-30,6497
2015-07-31,6497
2015-08-01,6582
2015-08-02,6564
2015-08-03,6651
2015-08-04,6751
2015-08-05,6979
2015-08-06,7062
2015-08-07,7145
2015-08-08,7085
2015-08-09,6895
2015-08-10,6778
2015-08-11,6870
2015-08-12,6870
2015-08-13,6774
2015-08-14,6796
2015-08-15,6796
2015-08-16,6815
2015-08-17,6975
2015-08-18,6975
2015-08-19,7002
2015-08-20,7002
2015-08-21,7112
2015-08-22,7215
2015-08-23,7215
2015-08-24,7447
2015-08-25,7447
2015-08-26,7558
2015-08-27,7329
2015-08-28,7329
2015-08-29,7233
2015-08-30,7233
2015-08-31,7528
2015-09-01,7866
2015-09-02,7866
2015-09-03,8047
2015-09-04,8085
2015-09-05,8085
2015-09-06,7998
2015-09-07,8054
2015-09-08,8062
2015-09-09,8062
2015-09-10,8150
2015-09-11,8077
2015-09-12,8077
2015-09-13,8065
2015-09-14,8065
2015-09-15,8016
2015-09-16,8016
2015-09-17,7772
2015-09-18,7772
2015-09-19,7712
2015-09-20,7712
2015-09-21,7688
2015-09-22,7688
2015-09-23,7608
2015-09-24,7608
