date_obj,Armadyl%20page%203 price
2015-03-26,218076
2015-03-27,218076
2015-03-28,217894
2015-03-29,217894
2015-03-30,218726
2015-03-31,218726
2015-04-01,213001
2015-04-02,213001
2015-04-03,207751
2015-04-04,207751
2015-04-05,215430
2015-04-06,215430
2015-04-07,226002
2015-04-08,226002
2015-04-09,237080
2015-04-10,237080
2015-04-11,248622
2015-04-12,248622
2015-04-13,260034
2015-04-14,260034
2015-04-15,253860
2015-04-16,253860
2015-04-17,248602
2015-04-18,248602
2015-04-19,248287
2015-04-20,248287
2015-04-21,248287
2015-04-22,252763
2015-04-23,252763
2015-04-24,258485
2015-04-25,258485
2015-04-26,269175
2015-04-27,269175
2015-04-28,281196
2015-04-29,281196
2015-04-30,294126
2015-05-01,294126
2015-05-02,290749
2015-05-03,290749
2015-05-04,277036
2015-05-05,277036
2015-05-06,266639
2015-05-07,266639
2015-05-08,253597
2015-05-09,253597
2015-05-10,243781
2015-05-11,243781
2015-05-12,233448
2015-05-13,233448
2015-05-14,231319
2015-05-15,231319
2015-05-16,227587
2015-05-17,227228
2015-05-18,227228
2015-05-19,229309
2015-05-20,229309
2015-05-21,229309
2015-05-22,233191
2015-05-23,233191
2015-05-24,237561
2015-05-25,239674
2015-05-26,239674
2015-05-27,232551
2015-05-28,226619
2015-05-29,226619
2015-05-30,218873
2015-05-31,218873
2015-06-01,226053
2015-06-02,226053
2015-06-03,236308
2015-06-04,236308
2015-06-05,245994
2015-06-06,253196
2015-06-07,253196
2015-06-08,260154
2015-06-09,258800
2015-06-10,259817
2015-06-11,259817
2015-06-12,265472
2015-06-13,264882
2015-06-14,264882
2015-06-15,259265
2015-06-16,259265
2015-06-17,252527
2015-06-18,252366
2015-06-19,252366
2015-06-20,261901
2015-06-21,261901
2015-06-22,262842
2015-06-23,262842
2015-06-24,259343
2015-06-25,259343
2015-06-26,253530
2015-06-27,253530
2015-06-28,251323
2015-06-29,251323
2015-06-30,251553
2015-07-01,253609
2015-07-02,253609
2015-07-03,249137
2015-07-04,249137
2015-07-05,239551
2015-07-06,239551
