date_obj,3rd%20age%20platebody price
2015-03-26,122255019
2015-03-27,122255019
2015-03-28,122255019
2015-03-29,122255019
2015-03-30,116298838
2015-03-31,116298838
2015-04-01,116298838
2015-04-02,116298838
2015-04-03,116298838
2015-04-04,110483896
2015-04-05,110483896
2015-04-06,110483896
2015-04-07,110483896
2015-04-08,110483896
2015-04-09,105066655
2015-04-10,105066655
2015-04-11,105066655
2015-04-12,105066655
2015-04-13,99893808
2015-04-14,99893808
2015-04-15,99893808
2015-04-16,99893808
2015-04-17,95089499
2015-04-18,95089499
2015-04-19,95089499
2015-04-20,95089499
2015-04-21,92822383
2015-04-22,92822383
2015-04-23,92822383
2015-04-24,92822383
2015-04-25,89887615
2015-04-26,89887615
2015-04-27,89887615
2015-04-28,89887615
2015-04-29,85666526
2015-04-30,85666526
2015-05-01,85666526
2015-05-02,82866208
2015-05-03,82866208
2015-05-04,82866208
2015-05-05,82866208
2015-05-06,84542152
2015-05-07,84542152
2015-05-08,84542152
2015-05-09,84542152
2015-05-10,85479018
2015-05-11,85479018
2015-05-12,85479018
2015-05-13,88572950
2015-05-14,88572950
2015-05-15,88572950
2015-05-16,92576309
2015-05-17,92576309
2015-05-18,93131561
2015-05-19,93131561
2015-05-20,93131561
2015-05-21,93131561
2015-05-22,93508112
2015-05-23,93508112
2015-05-24,93508112
2015-05-25,93508112
2015-05-26,93508112
2015-05-27,89867367
2015-05-28,89867367
2015-05-29,89867367
2015-05-30,91416753
2015-05-31,91416753
2015-06-01,91416753
2015-06-02,91416753
2015-06-03,93771228
2015-06-04,93771228
2015-06-05,93771228
2015-06-06,93771228
2015-06-07,94112925
2015-06-08,94112925
2015-06-09,94112925
2015-06-10,94112925
2015-06-11,95232768
2015-06-12,95232768
2015-06-13,95232768
2015-06-14,95232768
2015-06-15,95832659
2015-06-16,95832659
2015-06-17,95832659
2015-06-18,95832659
2015-06-19,96030550
2015-06-20,96030550
2015-06-21,96030550
2015-06-22,94615352
2015-06-23,94615352
2015-06-24,94615352
2015-06-25,94615352
2015-06-26,92013993
2015-06-27,92013993
2015-06-28,92013993
2015-06-29,92013993
2015-06-30,90782922
2015-07-01,90782922
2015-07-02,90782922
2015-07-03,91337832
2015-07-04,91337832
2015-07-05,91337832
2015-07-06,95091912
2015-07-07,95091912
2015-07-08,98737867
2015-07-09,98737867
2015-07-10,98737867
2015-07-11,102863880
2015-07-12,102863880
2015-07-13,102863880
2015-07-14,102863880
2015-07-15,107542584
2015-07-16,107542584
2015-07-17,107542584
2015-07-18,107542584
2015-07-19,111708362
2015-07-20,111708362
2015-07-21,111708362
2015-07-22,116352920
2015-07-23,116352920
2015-07-24,116352920
2015-07-25,116352920
2015-07-26,112805901
2015-07-27,112805901
2015-07-28,112805901
2015-07-29,113982489
2015-07-30,113982489
2015-07-31,113982489
2015-08-01,113982489
2015-08-02,111518872
2015-08-03,111518872
2015-08-04,111518872
2015-08-05,110881361
2015-08-06,110881361
2015-08-07,110881361
