date_obj,Blacksmith's%20helm price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,5000000
2016-07-10,5000000
2016-07-11,5000000
2016-07-12,5000000
2016-07-13,5000000
2016-07-14,4924863
2016-07-15,4924863
2016-07-16,4924863
2016-07-17,4924863
2016-07-18,4924863
2016-07-23,4924863
2016-07-24,4924863
2016-07-25,4924863
2016-07-26,4924863
2016-07-27,4924863
2016-07-28,4924863
2016-07-29,4681106
2016-07-30,4681106
2016-07-31,4681106
2016-08-01,4681106
2016-08-02,4681106
2016-08-03,4681106
2016-08-04,4681106
2016-08-05,4681106
2016-08-06,4681106
2016-08-07,4681106
2016-08-08,4681106
2016-08-09,4681106
2016-08-10,4681106
2016-08-11,4448911
2016-08-12,4448911
2016-08-13,4448911
2016-08-14,4448911
2016-08-15,4448911
2016-08-16,4448911
2016-08-17,4448911
2016-08-18,4448911
2016-08-19,4448911
2016-08-20,4448911
2016-08-21,4448911
2016-08-22,4448911
2016-08-23,4228046
2016-08-24,4228046
2016-08-25,4228046
2016-08-26,4228046
2016-08-28,4228046
2016-08-31,4228046
2016-09-01,4228046
2016-09-02,4228046
2016-09-03,4228046
2016-09-04,4228046
2016-09-05,4018253
2016-09-06,4018253
2016-09-07,4018253
2016-09-08,4018253
2016-09-09,4018253
2016-09-10,4018253
2016-09-11,4018253
2016-09-12,4018253
2016-09-13,4018253
2016-09-14,4018253
2016-09-15,4018253
2016-09-16,3821938
2016-09-17,3821938
2016-09-18,3821938
2016-09-19,3821938
2016-09-20,3821938
2016-09-21,3821938
2016-09-22,3821938
2016-09-23,3821938
2016-09-24,3821938
2016-09-25,3821938
2016-09-26,3821938
2016-09-27,3631308
2016-09-28,3631308
2016-09-29,3631308
2016-09-30,3631308
2016-10-01,3631308
2016-10-02,3631308
2016-10-03,3631308
2016-10-04,3631308
2016-10-05,3631308
2016-10-06,3631308
2016-10-07,3631308
2016-10-08,3454784
2016-10-09,3454784
2016-10-10,3454784
2016-10-11,3454784
2016-10-12,3454784
2016-10-13,3454784
2016-10-14,3454784
2016-10-15,3454784
2016-10-16,3454784
2016-10-17,3454784
2016-10-18,3454784
2016-10-19,3454784
2016-10-20,3454784
2016-10-21,3282960
2016-10-22,3282960
2016-10-23,3282960
2016-10-24,3282960
2016-10-25,3282960
2016-10-26,3282960
2016-10-27,3282960
2016-10-28,3282960
2016-10-29,3282960
2016-10-30,3282960
2016-10-31,3282960
2016-11-01,3282960
2016-11-02,3119738
2016-11-03,3119738
2016-11-04,3119738
2016-11-05,3119738
2016-11-06,3119738
2016-11-07,3119738
2016-11-08,3119738
2016-11-09,3119738
2016-11-10,3119738
2016-11-11,3119738
2016-11-12,2965002
2016-11-13,2965002
2016-11-14,2965002
2016-11-15,2965002
2016-12-07,2681224
2016-12-08,2681224
2016-12-09,2548797
2016-12-10,2548797
2016-12-11,2548797
2016-12-12,2548797
2016-12-13,2548797
2016-12-14,2548797
2016-12-15,2548797
2016-12-16,2548797
2016-12-17,2426239
2016-12-18,2426239
2016-12-19,2426239
2016-12-20,2426239
2016-12-21,2426239
2016-12-22,2426239
2016-12-23,2426239
2016-12-24,2308625
2016-12-25,2308625
2016-12-26,2308625
2016-12-27,2308625
2016-12-28,2308625
2016-12-29,2308625
2016-12-30,2308625
2016-12-31,2308625
2017-01-01,2308625
2017-01-02,2194077
2017-01-03,2194077
2017-01-04,2194077
2017-01-05,2194077
2017-01-06,2194077
2017-01-07,2194077
2017-01-08,2194077
2017-01-09,2087994
2017-01-10,2087994
2017-01-11,2087994
2017-01-12,2087994
2017-01-13,2087994
2017-01-14,2087994
2017-01-15,1986275
2017-01-16,1986275
2017-01-17,1986275
2017-01-18,1986275
2017-01-19,1986275
2017-01-20,1889142
2017-01-21,1889142
2017-01-22,1889142
2017-01-23,1889142
2017-01-27,1795327
2017-01-28,1795327
2017-01-29,1795327
2017-01-30,1795327
2017-01-31,1795327
2017-02-01,1707435
2017-02-02,1707435
2017-02-03,1707435
2017-02-04,1707435
2017-02-05,1707435
2017-02-06,1707435
2017-02-07,1707435
2017-02-08,1623541
2017-02-09,1623541
2017-02-10,1623541
2017-02-11,1623541
2017-02-12,1623541
2017-02-13,1623541
2017-02-14,1544336
2017-02-15,1544336
2017-02-16,1544336
2017-02-18,1544336
2017-02-19,1544336
2017-02-20,1544336
2017-02-21,1469825
2017-02-22,1469825
2017-02-23,1469825
2017-02-24,1469825
2017-02-25,1469825
2017-02-26,1469825
2017-02-27,1469825
2017-02-28,1469825
2017-03-01,1398529
2017-03-02,1398529
2017-03-03,1398529
2017-03-04,1398529
2017-03-05,1398529
2017-03-06,1398529
2017-03-07,1330787
2017-03-08,1330787
2017-03-09,1330787
2017-03-10,1330787
2017-03-11,1330787
2017-03-12,1330787
2017-03-13,1266669
2017-03-14,1266669
2017-03-15,1266669
2017-03-16,1266669
2017-03-17,1266669
2017-03-18,1266669
2017-03-19,1266669
2017-03-20,1204575
2017-03-21,1204575
2017-03-22,1204575
2017-03-23,1204575
2017-03-24,1204575
2017-03-25,1204575
2017-03-26,1204575
2017-03-27,1145993
2017-03-28,1145993
2017-03-29,1145993
2017-03-30,1145993
2017-03-31,1145993
2017-04-01,1145993
2017-04-02,1145993
2017-04-03,1090901
2017-04-04,1090901
2017-04-12,130145
2017-04-13,130145
2017-04-14,130145
2017-04-15,130145
2017-04-16,130145
2017-04-17,130145
2017-04-18,130145
2017-04-19,126174
2017-04-20,126174
2017-04-21,126174
2017-04-22,126174
2017-04-23,126174
2017-04-24,126174
2017-04-25,126174
2017-04-26,126174
2017-04-27,126174
2017-04-28,126174
2017-04-29,120638
2017-04-30,120638
2017-05-01,120638
2017-05-02,120638
2017-05-03,120638
2017-05-04,120638
2017-05-05,120638
2017-05-06,120638
2017-05-07,120638
2017-05-08,114668
2017-05-09,114668
2017-05-10,114668
2017-05-11,114668
2017-05-12,114668
2017-05-13,114668
2017-05-14,114668
2017-05-15,114668
2017-05-16,114668
2017-05-17,109204
2017-05-18,109204
2017-05-19,109204
2017-05-20,109204
2017-05-21,109204
2017-05-22,109204
2017-05-23,109204
2017-05-24,109204
2017-05-25,103889
2017-05-26,103889
2017-05-27,103889
2017-05-28,103889
2017-05-29,103889
2017-05-30,103889
2017-05-31,103889
2017-06-01,103889
2017-06-02,103889
2017-06-03,98745
2017-06-04,98745
2017-06-05,98745
2017-06-06,98745
2017-06-07,98745
2017-06-08,98745
2017-06-09,98745
2017-06-10,95026
2017-06-11,95026
2017-06-12,95026
2017-06-13,95026
2017-06-14,95026
2017-06-15,95026
2017-06-16,95026
2017-06-17,95026
2017-06-18,95026
2017-06-19,95026
