date_obj,Zamorak%20stole price
2015-03-26,24833
2015-03-27,23676
2015-03-28,22492
2015-03-29,21367
2015-03-30,20298
2015-03-31,19283
2015-04-01,18340
2015-04-02,17423
2015-04-03,16551
2015-04-04,15733
2015-04-05,15178
2015-04-06,14841
2015-04-07,14596
2015-04-08,14596
2015-04-09,14191
2015-04-10,13896
2015-04-11,13679
2015-04-12,13454
2015-04-13,13408
2015-04-14,13116
2015-04-15,12882
2015-04-16,12574
2015-04-17,12177
2015-04-18,11686
2015-04-19,11182
2015-04-20,10665
2015-04-21,10131
2015-04-22,9782
2015-04-23,9426
2015-04-24,9399
2015-04-25,9366
2015-04-26,9323
2015-04-27,8897
2015-04-28,8715
2015-04-29,8715
2015-04-30,8618
2015-05-01,8672
2015-05-02,8709
2015-05-03,8956
2015-05-04,9073
2015-05-05,9126
2015-05-06,9089
2015-05-07,9027
2015-05-08,8827
2015-05-09,8672
2015-05-10,8616
2015-05-11,8707
2015-05-12,8694
2015-05-13,8733
2015-05-14,8800
2015-05-15,8933
2015-05-16,8933
2015-05-17,9101
2015-05-18,9124
2015-05-19,9187
2015-05-20,9187
2015-05-21,9171
2015-05-22,9121
2015-05-23,9122
2015-05-24,8962
2015-05-25,8890
2015-05-26,8824
2015-05-27,8830
2015-05-28,8785
2015-05-29,8757
2015-05-30,8577
2015-05-31,8490
2015-06-01,8358
2015-06-02,8358
2015-06-03,8302
2015-06-04,8321
2015-06-05,8583
2015-06-06,8904
2015-06-07,9099
2015-06-08,9065
2015-06-09,9015
2015-06-10,9400
2015-06-11,9400
2015-06-12,9628
2015-06-13,9772
2015-06-14,9936
2015-06-15,10054
2015-06-16,10100
2015-06-17,10100
2015-06-18,9970
2015-06-19,9802
2015-06-20,9787
2015-06-21,9536
2015-06-22,9395
2015-06-23,9111
2015-06-24,9069
2015-06-25,9069
2015-06-26,8823
2015-06-27,8823
2015-06-28,8907
2015-06-29,9058
2015-06-30,9484
2015-07-01,9716
2015-07-02,9716
2015-07-03,10049
2015-07-04,10393
2015-07-05,10771
2015-07-06,10466
2015-07-07,10182
2015-07-08,10103
2015-07-09,10103
2015-07-10,9817
2015-07-11,9591
2015-07-12,9434
2015-07-13,9092
2015-07-14,8805
2015-07-15,8665
2015-07-16,8464
2015-07-17,8451
2015-07-18,8451
2015-07-19,8619
2015-07-20,8701
2015-07-21,8701
2015-07-22,9125
2015-07-23,9125
2015-07-24,9517
2015-07-25,9993
2015-07-26,10431
2015-07-27,10839
2015-07-28,11221
2015-07-29,11191
2015-07-30,11191
2015-07-31,10746
2015-08-01,10636
2015-08-02,10499
2015-08-03,10380
2015-08-04,10380
2015-08-05,10177
2015-08-06,9800
2015-08-07,9743
2015-08-08,9704
2015-08-09,9851
2015-08-10,10266
2015-08-11,10508
2015-08-12,10508
2015-08-13,10830
2015-08-14,10979
2015-08-15,10979
2015-08-16,11338
2015-08-17,11599
2015-08-18,11292
2015-08-19,10818
2015-08-20,10803
2015-08-21,10656
2015-08-22,10443
2015-08-23,10382
2015-08-24,10162
2015-08-25,10162
2015-08-26,10052
2015-08-27,10012
2015-08-28,10012
2015-08-29,10247
2015-08-30,10247
2015-08-31,10324
2015-09-01,10166
2015-09-02,10166
2015-09-03,10430
2015-09-04,10518
2015-09-05,10518
2015-09-06,10681
2015-09-07,10387
2015-09-08,10475
2015-09-09,10777
2015-09-10,10732
2015-09-11,10245
2015-09-12,9797
2015-09-13,9484
2015-09-14,9484
2015-09-15,9150
2015-09-16,9150
2015-09-17,8836
2015-09-18,8836
2015-09-19,8703
2015-09-20,8282
2015-09-21,8172
2015-09-22,8378
2015-09-23,8033
2015-09-24,8033
2015-09-25,7832
2015-09-27,7428
2015-09-28,7101
2015-09-29,7101
2015-09-30,6991
2015-10-05,6215
2015-10-06,6085
2015-10-07,6085
2015-10-08,5996
2015-10-09,5957
2015-10-10,5957
2015-10-11,5966
2015-10-12,6095
2015-10-13,6095
2015-10-14,5826
2015-10-15,5534
2015-10-16,5472
2015-10-17,5472
2015-10-18,5568
2015-10-19,5297
2015-10-20,5148
2015-10-22,5076
2015-10-23,5135
2015-10-24,5105
2015-10-25,5028
2015-10-26,4995
2015-10-27,4995
2015-10-29,5283
2015-10-30,5283
2015-10-31,5542
2015-11-01,5542
2015-11-02,5818
2015-11-03,5818
2015-11-05,6299
2015-11-06,6299
2015-11-07,6391
2015-11-08,6391
2015-11-09,6405
2015-11-10,6422
2015-11-11,6361
2015-11-12,6361
2015-11-13,6307
2015-11-14,6307
2015-11-15,6290
2015-11-16,6290
2015-11-17,6312
2015-11-18,6312
2015-11-19,6286
2015-11-20,6197
2015-11-21,6197
2015-11-22,6136
2015-11-23,6136
2015-11-24,6050
2015-11-25,5945
2015-11-26,5945
2015-11-27,5976
2015-11-28,5976
2015-11-29,5842
2015-11-30,5568
2015-12-01,5568
2015-12-02,5343
2015-12-03,5352
2015-12-04,5352
2015-12-05,5183
2015-12-06,5091
2015-12-07,5035
2015-12-08,5035
2015-12-09,5144
2015-12-10,5364
2015-12-11,5573
2015-12-13,6069
2015-12-14,6069
2015-12-15,6372
2015-12-16,6638
2015-12-17,6638
2015-12-18,6885
2015-12-19,7159
2015-12-20,7221
2015-12-21,7192
2015-12-22,7421
2015-12-23,7720
2015-12-24,7813
2015-12-25,7918
2015-12-26,8133
2015-12-27,8535
2015-12-28,8535
2015-12-29,8918
2015-12-30,9029
2015-12-31,9029
2016-01-01,9109
2016-01-02,9347
2016-01-03,9163
2016-01-04,8914
2016-01-05,8605
2016-01-06,8417
2016-01-07,8459
2016-01-08,8456
2016-01-09,8456
2016-01-10,8319
2016-01-11,8110
2016-01-12,8069
2016-01-13,8089
2016-01-14,8449
2016-01-15,8872
2016-01-16,9316
2016-01-17,9782
2016-01-18,10131
2016-01-19,10142
2016-01-20,9907
2016-01-21,9907
2016-01-22,10233
2016-01-23,10218
2016-01-24,10218
2016-01-25,9932
2016-01-26,9719
2016-01-27,9264
2016-01-28,9264
2016-01-29,9062
2016-01-30,9062
2016-01-31,9023
2016-02-01,8754
2016-02-02,8627
2016-02-03,8316
2016-02-04,8036
2016-02-05,8036
2016-02-06,7846
2016-02-07,7846
2016-02-08,7745
2016-02-09,7645
2016-02-10,7529
2016-02-11,7446
2016-02-12,7446
2016-02-13,7301
2016-02-14,7301
2016-02-15,7234
2016-02-16,6872
2016-02-17,6705
2016-02-18,6705
2016-02-19,6759
2016-02-20,6928
2016-02-21,7275
2016-02-22,7506
2016-02-23,7811
2016-02-24,8198
2016-02-25,8447
2016-02-26,8447
2016-02-27,8334
2016-02-28,8402
2016-02-29,8552
2016-03-01,8213
2016-03-02,8091
2016-03-03,7858
2016-03-04,7783
2016-03-05,7786
2016-03-06,7978
2016-03-07,7978
2016-03-08,8036
2016-03-09,7927
2016-03-10,7722
2016-03-11,7493
2016-03-12,7351
2016-03-13,7021
2016-03-14,6743
2016-03-15,6535
2016-03-16,6353
2016-03-17,6154
2016-03-18,6236
2016-03-19,6355
2016-03-20,6495
2016-03-21,6625
2016-03-22,6727
2016-03-23,6945
2016-03-24,7148
2016-03-25,7506
2016-03-26,7559
2016-03-27,7559
2016-03-28,7718
2016-03-29,7624
2016-03-30,7624
2016-03-31,7534
2016-04-01,7695
2016-04-02,7830
2016-04-03,7559
2016-04-04,7449
2016-04-05,7149
2016-04-06,6844
2016-04-07,6511
2016-04-08,6220
2016-04-09,6086
2016-04-10,6065
2016-04-11,6065
2016-04-12,5982
2016-04-13,5765
