date_obj,Steel%20dart price
2015-03-26,50
2015-03-27,50
2015-03-28,50
2015-03-29,50
2015-03-30,49
2015-03-31,49
2015-04-01,50
2015-04-02,50
2015-04-03,52
2015-04-04,53
2015-04-05,54
2015-04-06,55
2015-04-07,55
2015-04-08,54
2015-04-09,54
2015-04-10,55
2015-04-11,55
2015-04-12,56
2015-04-13,57
2015-04-14,57
2015-04-15,57
2015-04-16,57
2015-04-17,56
2015-04-18,55
2015-04-19,53
2015-04-20,51
2015-04-21,50
2015-04-22,50
2015-04-23,51
2015-04-24,52
2015-04-25,52
2015-04-26,54
2015-04-27,55
2015-04-28,55
2015-04-29,55
2015-04-30,55
2015-05-01,55
2015-05-02,54
2015-05-03,54
2015-05-04,52
2015-05-05,51
2015-05-06,50
2015-05-07,48
2015-05-08,48
2015-05-09,47
2015-05-10,47
2015-05-11,48
2015-05-12,49
2015-05-13,50
2015-05-14,50
2015-05-15,50
2015-05-16,49
2015-05-17,48
2015-05-18,46
2015-05-19,44
2015-05-20,44
2015-05-21,43
2015-05-22,43
2015-05-23,43
2015-05-24,43
2015-05-25,43
2015-05-26,43
2015-05-27,45
2015-05-28,47
2015-05-29,49
2015-05-30,50
2015-05-31,49
2015-06-01,47
2015-06-02,44
2015-06-03,42
2015-06-04,40
2015-06-05,40
2015-06-06,40
2015-06-07,40
2015-06-08,41
2015-06-09,43
2015-06-10,46
2015-06-11,49
2015-06-12,52
2015-06-13,55
2015-06-14,57
2015-06-15,58
2015-06-16,58
2015-06-17,57
2015-06-18,55
2015-06-19,54
2015-06-20,52
2015-06-21,52
2015-06-22,52
2015-06-23,51
2015-06-24,51
2015-06-25,51
2015-06-26,53
2015-06-27,52
2015-06-28,51
2015-06-29,50
2015-06-30,50
2015-07-01,52
2015-07-02,52
2015-07-03,54
2015-07-04,56
2015-07-05,59
2015-07-06,61
2015-07-07,63
2015-07-08,62
2015-07-09,62
2015-07-10,62
2015-07-11,60
2015-07-12,58
2015-07-13,55
2015-07-14,54
2015-07-15,54
2015-07-16,53
2015-07-17,52
2015-07-18,50
2015-07-19,50
2015-07-20,51
2015-07-21,51
2015-07-22,51
2015-07-23,50
2015-07-24,50
2015-07-25,50
2015-07-26,50
2015-07-27,50
2015-07-28,50
2015-07-29,47
2015-07-30,47
2015-07-31,48
2015-08-01,49
2015-08-02,49
2015-08-03,48
2015-08-04,47
2015-08-05,47
2015-08-06,45
2015-08-07,44
2015-08-08,42
2015-08-09,40
2015-08-10,40
2015-08-11,39
2015-08-12,39
2015-08-13,39
2015-08-14,39
2015-08-15,39
2015-08-16,39
2015-08-17,39
2015-08-18,39
2015-08-19,39
2015-08-20,38
2015-08-21,38
2015-08-22,37
2015-08-23,36
2015-08-24,36
2015-08-25,36
2015-08-26,37
2015-08-27,37
2015-08-28,37
2015-08-29,36
2015-08-30,36
2015-08-31,36
2015-09-01,36
2015-09-02,37
2015-09-03,38
2015-09-04,39
2015-09-05,39
2015-09-06,39
2015-09-07,39
2015-09-08,38
2015-09-09,38
2015-09-10,38
2015-09-11,38
2015-09-12,38
2015-09-13,38
2015-09-14,39
2015-09-15,40
2015-09-16,41
