date_obj,Holy%20wraps price
2016-07-06,5000000
2016-07-07,5141990
2016-07-08,5141990
2016-07-09,5141990
2016-07-10,5141990
2016-07-11,5163659
2016-07-12,5163659
2016-07-13,5163659
2016-07-14,5163659
2016-07-15,4908131
2016-07-16,4908131
2016-07-17,4908131
2016-07-18,4906878
2016-07-23,4906878
2016-07-24,4676359
2016-07-25,4676359
2016-07-26,4676359
2016-07-27,4676359
2016-07-28,4676359
2016-07-29,4454430
2016-07-30,4454430
2016-07-31,4454430
2016-08-01,4454430
2016-08-02,4454430
2016-08-03,4231708
2016-08-04,4231708
2016-08-05,4231708
2016-08-06,4231708
2016-08-07,4020122
2016-08-08,4020122
2016-08-09,4020122
2016-08-10,3819115
2016-08-11,3819115
2016-08-12,3819115
2016-08-13,3819115
2016-08-14,3628159
2016-08-15,3628159
2016-08-16,3628159
2016-08-17,3446751
2016-08-18,3446751
2016-08-19,3446751
2016-08-20,3277484
2016-08-21,3277484
2016-08-22,3277484
2016-08-23,3113609
2016-08-24,3113609
2016-08-25,3113609
2016-08-26,2957928
2016-08-28,2810031
2016-08-31,2669529
2016-09-01,2669529
2016-09-02,2669529
2016-09-03,2536052
2016-09-04,2536052
2016-09-05,2411760
2016-09-06,2411760
2016-09-07,2411760
2016-09-08,2411760
2016-09-09,2291172
2016-09-10,2291172
2016-09-11,2291172
2016-09-12,2176613
2016-09-13,2176613
2016-09-14,2176613
2016-09-15,2067782
2016-09-16,2067782
2016-09-17,2067782
2016-09-18,2067782
2016-09-19,1964392
2016-09-20,1964392
2016-09-21,1964392
2016-09-22,1870072
2016-09-23,1870072
2016-09-24,1870072
2016-09-25,1776568
2016-09-26,1776568
2016-09-27,1776568
2016-09-28,1687739
2016-09-29,1687739
2016-09-30,1687739
2016-10-01,1607742
2016-10-02,1607742
2016-10-03,1607742
2016-10-04,1563422
2016-10-05,1563422
2016-10-06,1563422
2016-10-07,1601439
2016-10-08,1601439
2016-10-09,1601439
2016-10-10,1627207
2016-10-11,1627207
2016-10-12,1627207
