date_obj,Kwuarm%20seed price
2015-03-05,2519
2015-03-06,2393
2015-03-07,2273
2015-03-08,2159
2015-03-09,2054
2015-03-10,1951
2015-03-11,1853
2015-03-12,1763
2015-03-13,1674
2015-03-14,1590
2015-03-15,1514
2015-03-16,1438
2015-03-17,1366
2015-03-18,1302
2015-03-19,1236
2015-03-20,1174
2015-03-21,1122
2015-03-22,1066
2015-03-23,1014
2015-03-24,963
2015-03-25,924
2015-03-26,879
2015-03-27,879
2015-03-28,854
2015-03-29,851
2015-03-30,826
2015-03-31,837
2015-04-01,823
2015-04-02,809
2015-04-03,807
2015-04-04,793
2015-04-05,814
2015-04-06,793
2015-04-07,782
2015-04-08,801
2015-04-09,827
2015-04-10,838
2015-04-11,847
2015-04-12,889
2015-04-13,916
2015-04-14,951
2015-04-15,996
2015-04-16,1038
2015-04-17,1044
2015-04-18,1016
2015-04-19,987
2015-04-20,939
2015-04-21,902
2015-04-22,905
2015-04-23,920
2015-04-24,936
2015-04-25,942
2015-04-26,907
2015-04-27,903
2015-04-28,922
2015-04-29,922
2015-04-30,961
2015-05-01,964
2015-05-02,961
2015-05-03,961
2015-05-04,989
2015-05-05,1002
2015-05-06,1023
2015-05-07,1035
2015-05-08,1055
2015-05-09,1063
2015-05-10,1058
2015-05-11,1058
2015-05-12,1083
2015-05-13,1128
2015-05-14,1167
2015-05-15,1195
2015-05-16,1224
2015-05-17,1238
2015-05-18,1220
2015-05-19,1203
2015-05-20,1203
2015-05-21,1158
2015-05-22,1112
2015-05-23,1100
2015-05-24,1075
2015-05-25,1046
2015-05-26,1018
2015-05-27,988
2015-05-28,953
2015-05-29,960
2015-05-30,931
2015-05-31,927
2015-06-01,900
2015-06-02,868
2015-06-03,847
2015-06-04,851
2015-06-05,840
2015-06-06,830
2015-06-07,792
2015-06-08,789
2015-06-09,788
2015-06-10,820
2015-06-11,861
2015-06-12,905
2015-06-13,951
2015-06-14,952
2015-06-15,980
2015-06-16,1002
2015-06-17,1028
2015-06-18,1038
2015-06-19,1056
2015-06-20,1103
2015-06-21,1122
2015-06-22,1147
2015-06-23,1162
2015-06-24,1197
2015-06-25,1253
2015-06-26,1312
2015-06-27,1378
2015-06-28,1447
2015-06-29,1518
2015-06-30,1594
2015-07-01,1674
2015-07-02,1641
2015-07-03,1712
2015-07-04,1756
2015-07-05,1744
2015-07-06,1684
2015-07-07,1612
2015-07-08,1583
2015-07-09,1556
2015-07-10,1525
2015-07-11,1504
2015-07-12,1465
2015-07-13,1440
2015-07-14,1412
2015-07-15,1353
2015-07-16,1287
2015-07-17,1230
2015-07-18,1194
2015-07-19,1153
2015-07-20,1117
2015-07-21,1126
2015-07-22,1156
2015-07-23,1156
2015-07-24,1176
2015-07-25,1179
2015-07-26,1236
2015-07-27,1285
2015-07-28,1346
2015-07-29,1414
2015-07-30,1485
2015-07-31,1553
2015-08-01,1624
2015-08-02,1680
2015-08-03,1764
2015-08-04,1853
2015-08-05,1944
2015-08-06,2042
2015-08-07,2145
2015-08-08,2249
2015-08-09,2351
2015-08-10,2448
