date_obj,Wrath%20rune price
2018-01-03,420
2018-01-04,441
2018-01-05,428
2018-01-06,427
2018-01-07,418
2018-01-08,400
2018-01-09,381
2018-01-10,391
2018-01-11,397
2018-01-12,386
2018-01-13,394
2018-01-14,394
2018-01-15,406
2018-01-16,410
2018-01-17,403
2018-01-18,385
2018-01-19,385
2018-01-20,383
2018-01-21,384
2018-01-22,386
2018-01-23,393
2018-01-24,388
2018-01-25,387
2018-01-26,380
2018-01-27,377
2018-01-28,373
2018-01-29,370
2018-01-30,369
2018-02-01,377
2018-02-02,377
2018-02-03,391
2018-02-04,395
2018-02-05,396
2018-02-06,394
2018-02-07,407
2018-02-08,402
2018-02-09,406
2018-02-10,395
2018-02-11,389
2018-02-12,385
2018-02-13,377
2018-02-14,374
2018-02-15,382
2018-02-16,385
2018-02-17,393
2018-02-18,395
2018-02-19,405
2018-02-20,403
2018-02-21,396
2018-02-22,402
2018-02-23,404
2018-02-24,405
2018-02-25,412
2018-02-26,413
2018-02-27,412
2018-02-28,409
2018-03-01,409
2018-03-02,409
2018-03-03,407
2018-03-04,407
2018-03-05,409
2018-03-06,406
2018-03-07,398
2018-03-08,392
2018-03-09,391
2018-03-10,393
2018-03-11,385
2018-03-12,382
2018-03-13,381
2018-03-14,378
2018-03-15,387
2018-03-16,387
2018-03-17,392
2018-03-18,393
2018-03-20,399
2018-03-21,396
2018-03-23,380
2018-03-24,382
2018-03-26,367
2018-03-27,380
2018-03-28,384
2018-03-29,385
2018-03-30,378
2018-03-31,379
2018-04-01,382
2018-04-02,385
2018-04-03,375
2018-04-04,378
2018-04-05,377
2018-04-06,372
2018-04-08,372
2018-04-09,373
2018-04-10,375
2018-04-11,377
2018-04-12,375
2018-04-13,367
2018-04-14,364
2018-04-16,367
2018-04-17,367
2018-04-18,370
2018-04-19,375
2018-04-20,373
2018-04-21,370
2018-04-22,377
2018-04-23,386
2018-04-24,380
2018-04-25,377
2018-04-26,369
2018-04-27,360
2018-04-28,353
2018-04-29,353
2018-04-30,354
2018-05-02,362
2018-05-03,364
2018-05-04,371
2018-05-05,381
2018-05-06,381
2018-05-08,388
2018-05-09,383
2018-05-10,382
2018-05-11,385
2018-05-12,390
2018-05-13,390
2018-05-14,393
2018-05-15,398
2018-05-16,400
2018-05-17,402
2018-05-18,397
2018-05-19,389
2018-05-20,382
2018-05-21,374
2018-05-22,373
2018-05-23,372
2018-05-24,370
2018-05-25,370
2018-05-26,373
2018-05-27,377
2018-05-28,387
2018-05-29,388
2018-05-30,393
2018-05-31,388
2018-06-01,385
2018-06-02,385
2018-06-03,385
2018-06-04,380
2018-06-05,377
2018-06-06,378
2018-06-07,366
2018-06-08,353
2018-06-09,355
2018-06-10,341
2018-06-11,333
2018-06-12,326
2018-06-13,313
2018-06-14,311
2018-06-15,323
2018-06-16,328
2018-06-17,321
2018-06-18,312
2018-06-19,325
2018-06-20,325
2018-06-21,340
2018-06-22,356
2018-06-23,370
2018-06-24,376
2018-06-25,377
2018-06-26,389
2018-06-27,408
2018-06-28,418
2018-06-29,406
2018-06-30,395
2018-07-01,383
2018-07-02,381
2018-07-03,376
2018-07-04,371
2018-07-05,377
2018-07-06,375
2018-07-07,369
2018-07-08,357
2018-07-09,359
2018-07-10,355
2018-07-11,350
2018-07-12,345
2018-07-13,357
2018-07-14,368
2018-07-15,380
2018-07-16,371
2018-07-17,367
2018-07-18,368
2018-07-19,368
2018-07-20,367
2018-07-21,370
2018-07-22,378
2018-07-23,378
2018-07-24,379
2018-07-25,387
2018-07-26,389
2018-07-27,389
2018-07-28,386
2018-07-29,383
2018-07-30,387
2018-07-31,388
2018-08-01,396
2018-08-02,396
2018-08-03,406
2018-08-04,420
2018-08-05,418
2018-08-06,416
2018-08-07,415
2018-08-08,411
2018-08-09,408
2018-08-10,392
2018-08-11,389
2018-08-12,377
2018-08-14,368
2018-08-16,371
2018-08-17,376
2018-08-18,390
2018-08-19,403
2018-08-20,415
2018-08-21,433
2018-08-22,423
2018-08-23,413
2018-08-24,406
2018-08-25,412
2018-08-26,423
2018-08-27,437
2018-08-28,429
2018-08-29,427
2018-08-30,422
2018-08-31,431
2018-09-01,437
2018-09-02,454
2018-09-03,475
2018-09-04,485
2018-09-05,500
2018-09-06,500
2018-09-07,499
2018-09-08,476
2018-09-09,455
2018-09-10,453
2018-09-11,463
2018-09-12,460
2018-09-13,451
2018-09-14,443
2018-09-15,454
2018-09-16,459
2018-09-17,457
2018-09-18,455
2018-09-19,456
2018-09-20,452
2018-09-21,456
2018-09-22,461
2018-09-23,461
2018-09-24,482
2018-09-25,507
2018-09-26,531
2018-09-27,513
2018-09-28,498
2018-09-29,480
2018-09-30,466
2018-10-02,447
2018-10-03,451
2018-10-04,448
2018-10-05,447
2018-10-06,440
2018-10-07,449
2018-10-08,456
2018-10-09,451
2018-10-10,457
2018-10-11,458
2018-10-12,456
2018-10-13,465
2018-10-14,473
2018-10-15,481
2018-10-16,470
2018-10-17,464
2018-10-18,463
2018-10-19,456
2018-10-20,448
2018-10-21,439
2018-10-22,449
2018-10-23,462
2018-10-24,464
2018-10-25,471
2018-10-26,460
2018-10-27,453
2018-10-28,454
2018-10-29,455
2018-10-30,452
2018-10-31,452
2018-11-01,451
2018-11-03,436
2018-11-04,421
2018-11-05,433
2018-11-06,448
2018-11-07,464
2018-11-08,459
2018-11-09,454
2018-11-10,449
2018-11-11,439
2018-11-12,457
2018-11-13,465
2018-11-14,460
2018-11-15,450
2018-11-16,452
2018-11-17,460
2018-11-18,469
2018-11-19,468
2018-11-20,469
2018-11-21,464
2018-11-22,463
2018-11-23,455
2018-11-24,457
2018-11-25,467
2018-11-26,464
2018-11-27,458
2018-11-28,464
2018-11-29,461
2018-12-01,480
2018-12-02,483
2018-12-03,493
2018-12-04,489
2018-12-05,486
2018-12-07,479
2018-12-09,478
2018-12-10,484
2018-12-11,489
2018-12-12,499
2018-12-13,505
2018-12-14,496
2018-12-15,494
2018-12-16,490
2018-12-17,485
2018-12-18,480
2018-12-19,476
2018-12-20,455
2018-12-21,433
2018-12-22,413
2018-12-23,420
2018-12-24,434
2018-12-25,446
2018-12-26,448
2018-12-27,454
2018-12-28,451
2018-12-29,451
2018-12-30,456
2018-12-31,460
2019-01-01,462
2019-01-02,468
2019-01-03,455
2019-01-04,444
2019-01-05,434
2019-01-06,435
2019-01-08,456
2019-01-10,440
2019-01-11,424
2019-01-12,414
2019-01-13,402
2019-01-14,408
2019-01-15,413
2019-01-16,413
2019-01-17,416
2019-01-18,416
2019-01-19,418
2019-01-20,422
2019-01-21,419
2019-01-22,399
2019-01-23,379
2019-01-24,360
2019-01-25,359
2019-01-26,370
2019-01-27,384
2019-01-28,401
2019-01-29,415
2019-01-30,409
2019-01-31,404
2019-02-01,403
2019-02-02,404
2019-02-03,408
2019-02-04,409
2019-02-05,404
2019-02-06,397
2019-02-07,387
2019-02-08,387
2019-02-09,396
2019-02-10,396
2019-02-11,393
2019-02-12,396
2019-02-13,392
2019-02-14,396
2019-02-15,395
2019-02-16,395
2019-02-17,396
2019-02-18,397
2019-02-19,396
2019-02-20,400
2019-02-21,396
2019-02-22,384
2019-02-23,381
2019-02-24,370
2019-02-25,376
2019-02-26,381
2019-02-27,385
2019-02-28,391
2019-03-01,394
2019-03-02,393
2019-03-03,401
2019-03-04,406
2019-03-05,408
2019-03-06,414
2019-03-07,415
2019-03-08,412
2019-03-09,416
2019-03-10,423
2019-03-11,412
2019-03-12,403
2019-03-13,402
2019-03-14,396
2019-03-15,392
2019-03-16,398
2019-03-17,410
2019-03-18,428
2019-03-19,445
2019-03-20,440
2019-03-21,425
2019-03-22,417
2019-03-23,410
2019-03-24,418
2019-03-25,415
2019-03-26,425
2019-03-27,420
2019-03-28,424
2019-03-29,430
2019-03-30,432
2019-03-31,437
2019-04-01,436
2019-04-02,443
2019-04-03,449
2019-04-04,450
2019-04-05,445
2019-04-06,438
2019-04-07,435
2019-04-08,443
2019-04-09,452
2019-04-10,466
2019-04-11,453
2019-04-12,431
2019-04-13,416
2019-04-14,406
2019-04-15,411
2019-04-16,413
2019-04-17,421
2019-04-18,433
2019-04-19,430
2019-04-20,432
2019-04-21,442
2019-04-22,437
2019-04-23,428
2019-04-24,425
2019-04-25,422
2019-04-26,421
2019-04-27,435
2019-04-28,435
2019-04-29,433
2019-04-30,440
2019-05-01,436
2019-05-02,435
2019-05-03,429
2019-05-04,426
2019-05-05,426
2019-05-06,424
2019-05-07,419
2019-05-08,413
2019-05-09,411
2019-05-10,411
2019-05-11,417
2019-05-12,417
2019-05-13,421
2019-05-14,422
2019-05-15,420
2019-05-16,426
2019-05-17,423
2019-05-18,421
2019-05-19,421
2019-05-20,425
