date_obj,Charcoal price
2015-03-26,2026
2015-03-27,2026
2015-03-28,1924
2015-03-29,1827
2015-03-30,1735
2015-03-31,1648
2015-04-01,1565
2015-04-02,1486
2015-04-03,1411
2015-04-04,1340
2015-04-05,1273
2015-04-06,1209
2015-04-07,1148
2015-04-08,1090
2015-04-09,1035
2015-04-10,983
2015-04-11,933
2015-04-12,886
2015-04-13,841
2015-04-14,798
2015-04-15,758
2015-04-16,720
2015-04-17,684
2015-04-18,649
2015-04-19,619
2015-04-20,588
2015-04-21,567
2015-04-22,551
2015-04-23,543
2015-04-24,515
2015-04-25,531
2015-04-26,549
2015-04-27,532
2015-04-28,518
2015-04-29,518
2015-04-30,501
2015-05-01,486
2015-05-02,461
2015-05-03,448
2015-05-04,425
2015-05-05,407
2015-05-06,393
2015-05-07,379
2015-05-08,369
2015-05-09,360
2015-05-10,342
2015-05-11,342
2015-05-12,332
2015-05-13,319
2015-05-14,331
2015-05-15,347
2015-05-16,351
2015-05-17,363
2015-05-18,361
2015-05-19,374
2015-05-20,374
2015-05-21,381
2015-05-22,386
2015-05-23,377
2015-05-24,381
2015-05-25,393
2015-05-26,404
2015-05-27,420
2015-05-28,429
2015-05-29,439
2015-05-30,442
2015-05-31,454
2015-06-01,465
2015-06-02,455
2015-06-03,443
2015-06-04,435
2015-06-05,430
2015-06-06,434
2015-06-07,425
2015-06-08,432
2015-06-09,439
2015-06-10,417
2015-06-11,425
2015-06-12,419
2015-06-13,430
2015-06-14,439
2015-06-15,445
2015-06-16,460
2015-06-17,477
2015-06-18,455
2015-06-19,432
2015-06-20,410
2015-06-21,409
2015-06-22,417
2015-06-23,429
2015-06-24,441
2015-06-25,426
2015-06-26,404
2015-06-27,383
2015-06-28,380
2015-06-29,371
2015-06-30,387
2015-07-01,402
2015-07-02,412
2015-07-03,418
2015-07-04,437
2015-07-05,422
2015-07-06,419
2015-07-07,426
2015-07-08,428
2015-07-09,433
2015-07-10,432
2015-07-11,419
2015-07-12,413
2015-07-13,405
2015-07-14,395
2015-07-15,397
2015-07-16,382
2015-07-17,369
2015-07-18,367
2015-07-19,360
2015-07-20,349
2015-07-21,345
2015-07-22,330
2015-07-23,325
2015-07-24,328
2015-07-25,312
2015-07-26,322
2015-07-27,329
2015-07-28,345
2015-07-29,363
2015-07-30,351
2015-07-31,341
2015-08-01,346
2015-08-02,341
2015-08-03,338
2015-08-04,328
2015-08-05,334
2015-08-06,326
2015-08-07,336
2015-08-08,345
2015-08-09,363
2015-08-10,381
2015-08-11,394
2015-08-12,375
2015-08-13,374
2015-08-14,361
2015-08-15,349
2015-08-16,354
2015-08-17,362
2015-08-18,354
2015-08-19,359
2015-08-20,359
2015-08-21,366
2015-08-22,366
2015-08-23,360
2015-08-24,362
2015-08-25,362
2015-08-26,371
2015-08-27,381
2015-08-28,383
2015-08-29,382
2015-08-30,365
2015-08-31,375
2015-09-01,363
2015-09-02,354
2015-09-03,353
2015-09-04,346
2015-09-05,328
2015-09-06,332
2015-09-07,343
2015-09-08,356
2015-09-09,374
2015-09-10,393
2015-09-11,391
2015-09-12,383
2015-09-13,380
2015-09-14,382
2015-09-15,393
2015-09-16,404
2015-09-17,405
2015-09-18,417
2015-09-19,432
2015-09-20,441
2015-09-21,463
2015-09-22,462
2015-09-23,455
2015-09-24,462
2015-09-25,446
2015-09-27,470
2015-09-28,487
2015-09-29,505
2015-09-30,510
2015-10-05,559
2015-10-06,535
2015-10-07,529
2015-10-08,525
2015-10-09,513
2015-10-10,513
2015-10-11,487
2015-10-12,462
2015-10-13,438
2015-10-14,416
2015-10-15,395
2015-10-16,375
2015-10-17,356
2015-10-18,338
2015-10-19,321
2015-10-20,304
2015-10-22,280
2015-10-23,287
2015-10-24,298
2015-10-25,306
2015-10-26,312
2015-10-27,306
2015-10-29,311
2015-10-30,316
2015-10-31,312
2015-11-01,322
2015-11-02,328
2015-11-03,323
2015-11-04,317
2015-11-05,317
2015-11-06,310
2015-11-07,301
2015-11-08,287
2015-11-09,297
2015-11-10,290
2015-11-11,291
2015-11-12,299
2015-11-13,300
2015-11-14,313
2015-11-15,324
2015-11-16,331
2015-11-17,343
2015-11-18,356
2015-11-19,349
2015-11-20,343
2015-11-21,343
2015-11-22,350
2015-11-23,350
2015-11-24,343
2015-11-25,349
2015-11-26,357
2015-11-27,361
2015-11-28,348
2015-11-29,342
2015-11-30,330
2015-12-01,336
2015-12-02,345
2015-12-03,359
2015-12-04,363
2015-12-05,382
2015-12-06,402
2015-12-07,412
2015-12-08,396
2015-12-09,394
2015-12-10,399
2015-12-11,413
2015-12-12,416
2015-12-13,430
2015-12-14,452
2015-12-15,469
2015-12-16,484
2015-12-17,507
2015-12-18,533
2015-12-19,556
2015-12-20,551
2015-12-21,542
2015-12-22,548
2015-12-23,566
2015-12-24,555
2015-12-25,548
2015-12-26,523
2015-12-27,496
2015-12-28,471
2015-12-29,451
2015-12-30,443
2015-12-31,463
2016-01-01,463
2016-01-02,462
2016-01-03,444
2016-01-04,436
2016-01-05,432
2016-01-06,447
2016-01-07,437
2016-01-08,415
2016-01-09,394
2016-01-10,375
2016-01-11,356
2016-01-12,338
2016-01-13,321
2016-01-14,316
2016-01-15,328
2016-01-16,345
2016-01-17,355
2016-01-18,349
2016-01-19,333
2016-01-20,327
2016-01-21,342
2016-01-22,360
2016-01-23,378
2016-01-24,388
2016-01-25,391
2016-01-26,371
2016-01-27,352
2016-01-28,337
2016-01-29,331
2016-01-30,328
2016-01-31,334
2016-02-01,326
2016-02-02,319
2016-02-03,313
2016-02-04,320
2016-02-05,327
2016-02-06,338
2016-02-07,346
2016-02-08,337
2016-02-09,348
2016-02-10,363
2016-02-11,382
2016-02-12,402
2016-02-13,404
2016-02-14,409
2016-02-15,418
2016-02-16,422
2016-02-17,419
2016-02-18,401
2016-02-19,381
2016-02-20,361
2016-02-21,349
2016-02-22,350
2016-02-23,353
2016-02-24,364
2016-02-25,378
2016-02-26,385
2016-02-27,377
2016-02-28,383
2016-02-29,363
2016-03-01,344
2016-03-02,326
2016-03-03,314
2016-03-04,301
2016-03-05,313
2016-03-06,318
2016-03-07,317
2016-03-08,317
2016-03-09,323
2016-03-10,328
2016-03-11,323
2016-03-12,329
2016-03-13,337
2016-03-14,341
2016-03-15,341
2016-03-16,342
2016-03-17,341
2016-03-18,348
2016-03-19,353
2016-03-20,364
2016-03-21,380
2016-03-22,386
2016-03-23,403
2016-03-24,420
2016-03-25,422
2016-03-26,420
2016-03-27,421
2016-03-28,432
2016-03-29,426
2016-03-30,415
2016-03-31,402
2016-04-01,385
2016-04-02,391
2016-04-03,380
2016-04-04,385
2016-04-05,400
2016-04-06,417
2016-04-07,422
2016-04-08,439
2016-04-09,455
2016-04-10,437
2016-04-11,420
2016-04-12,402
2016-04-13,398
2016-04-14,378
2016-04-15,359
2016-04-16,341
2016-04-17,323
2016-04-18,306
2016-04-19,290
2016-04-20,291
2016-04-21,299
2016-04-22,309
2016-04-23,318
2016-04-24,327
