date_obj,Strawberry%20seed price
2015-03-05,445
2015-03-06,422
2015-03-07,400
2015-03-08,380
2015-03-09,372
2015-03-10,367
2015-03-11,363
2015-03-12,367
2015-03-13,349
2015-03-14,331
2015-03-15,317
2015-03-16,315
2015-03-17,319
2015-03-18,323
2015-03-19,323
2015-03-20,329
2015-03-21,325
2015-03-22,325
2015-03-23,330
2015-03-24,321
2015-03-25,313
2015-03-26,303
2015-03-27,303
2015-03-28,290
2015-03-29,278
2015-03-30,265
2015-03-31,270
2015-04-01,266
2015-04-02,262
2015-04-03,268
2015-04-04,265
2015-04-05,254
2015-04-06,243
2015-04-07,239
2015-04-08,244
2015-04-09,249
2015-04-10,246
2015-04-11,245
2015-04-12,234
2015-04-13,225
2015-04-14,225
2015-04-15,227
2015-04-16,231
2015-04-17,237
2015-04-18,235
2015-04-19,224
2015-04-20,224
2015-04-21,213
2015-04-22,203
2015-04-23,197
2015-04-24,197
2015-04-25,198
2015-04-26,191
2015-04-27,186
2015-04-28,187
2015-04-29,187
2015-04-30,194
2015-05-01,198
2015-05-02,203
2015-05-03,203
2015-05-04,202
2015-05-05,198
2015-05-06,193
2015-05-07,189
2015-05-08,189
2015-05-09,187
2015-05-10,187
2015-05-11,187
2015-05-12,189
2015-05-13,189
2015-05-14,194
2015-05-15,194
2015-05-16,197
2015-05-17,196
2015-05-18,197
2015-05-19,197
2015-05-20,195
2015-05-21,195
2015-05-22,195
2015-05-23,195
2015-05-24,191
2015-05-25,187
2015-05-26,187
2015-05-27,187
2015-05-28,189
2015-05-29,198
2015-05-30,202
2015-05-31,204
2015-06-01,209
2015-06-02,209
2015-06-03,213
2015-06-04,222
2015-06-05,230
2015-06-06,234
2015-06-07,222
2015-06-08,220
2015-06-09,218
2015-06-10,226
2015-06-11,236
2015-06-12,247
2015-06-13,254
2015-06-14,249
2015-06-15,243
2015-06-16,243
2015-06-17,252
2015-06-18,253
2015-06-19,261
2015-06-20,265
2015-06-21,267
2015-06-22,272
2015-06-23,282
2015-06-24,292
2015-06-25,292
2015-06-26,302
2015-06-27,308
2015-06-28,308
2015-06-29,314
2015-06-30,322
2015-07-01,315
2015-07-02,315
2015-07-03,325
2015-07-04,326
2015-07-05,320
2015-07-06,307
2015-07-07,298
2015-07-08,290
2015-07-09,290
2015-07-10,283
2015-07-11,274
2015-07-12,269
2015-07-13,259
2015-07-14,252
2015-07-15,239
2015-07-16,227
2015-07-17,215
2015-07-18,204
2015-07-19,197
2015-07-20,190
2015-07-21,184
2015-07-22,179
2015-07-23,179
2015-07-24,172
2015-07-25,166
2015-07-26,165
2015-07-27,162
2015-07-28,157
2015-07-29,154
2015-07-30,150
2015-07-31,154
2015-08-01,160
2015-08-02,161
2015-08-03,167
2015-08-04,159
2015-08-05,157
2015-08-06,156
2015-08-07,155
2015-08-08,155
2015-08-09,155
2015-08-10,155
2015-08-11,156
2015-08-12,156
2015-08-13,159
2015-08-14,164
2015-08-15,164
2015-08-16,168
2015-08-17,174
2015-08-18,182
2015-08-19,192
2015-08-20,202
2015-08-21,212
2015-08-22,217
2015-08-23,220
2015-08-24,217
2015-08-25,217
2015-08-26,218
2015-08-27,224
2015-08-28,223
2015-08-29,217
2015-08-30,210
2015-08-31,210
2015-09-02,200
2015-09-07,205
2015-09-08,208
2015-09-10,218
2015-09-14,232
2015-09-16,242
2015-09-22,328
2015-09-23,345
2015-09-24,345
2015-09-25,363
2015-09-27,402
2015-09-28,417
2015-09-29,436
2015-09-30,455
2015-10-05,521
2015-10-06,544
2015-10-07,563
2015-10-08,576
2015-10-09,573
2015-10-10,573
2015-10-11,570
2015-10-12,577
2015-10-13,583
2015-10-14,587
2015-10-15,583
2015-10-16,572
2015-10-17,557
2015-10-18,553
2015-10-19,560
2015-10-20,551
2015-10-22,546
2015-10-23,548
2015-10-24,536
2015-10-25,528
2015-10-26,524
2015-10-27,527
2015-10-29,519
2015-10-30,503
2015-10-31,501
2015-11-01,482
2015-11-02,474
2015-11-03,472
2015-11-04,472
2015-11-05,463
2015-11-06,445
2015-11-07,442
2015-11-08,442
2015-11-09,451
2015-11-10,438
2015-11-11,425
2015-11-12,411
2015-11-13,400
2015-11-14,394
2015-11-15,389
2015-11-16,401
2015-11-17,409
2015-11-18,392
2015-11-19,399
2015-11-20,406
2015-11-21,406
2015-11-22,413
2015-11-23,413
2015-11-24,424
2015-11-25,441
2015-11-26,441
2015-11-27,449
2015-11-28,457
2015-11-29,464
2015-11-30,467
2015-12-01,479
2015-12-02,487
2015-12-03,503
2015-12-04,510
2015-12-05,521
2015-12-06,516
2015-12-07,516
2015-12-08,524
2015-12-09,537
2015-12-10,556
2015-12-11,565
2015-12-13,608
2015-12-14,623
2015-12-15,639
2015-12-16,630
2015-12-17,619
2015-12-18,598
2015-12-19,574
2015-12-20,571
2015-12-21,559
2015-12-22,559
2015-12-23,551
2015-12-24,557
2015-12-25,555
2015-12-26,540
2015-12-27,520
2015-12-28,495
2015-12-29,470
2015-12-30,446
2015-12-31,423
2016-01-01,404
2016-01-02,389
2016-01-03,369
2016-01-04,350
2016-01-05,340
2016-01-06,332
2016-01-07,333
2016-01-08,334
2016-01-09,326
2016-01-10,327
2016-01-11,328
2016-01-12,344
2016-01-13,362
2016-01-14,378
2016-01-15,387
2016-01-16,391
2016-01-17,401
2016-01-18,409
2016-01-19,423
2016-01-20,441
2016-01-21,449
2016-01-22,457
2016-01-23,455
2016-01-24,458
2016-01-25,467
2016-01-26,481
2016-01-27,499
2016-01-28,499
2016-01-29,522
2016-01-30,526
2016-01-31,533
2016-02-01,544
2016-02-02,557
2016-02-03,561
2016-02-04,579
2016-02-05,595
2016-02-06,609
2016-02-07,589
2016-02-08,607
2016-02-09,602
2016-02-10,604
2016-02-11,614
2016-02-12,626
2016-02-13,630
2016-02-14,604
2016-02-15,602
2016-02-16,607
2016-02-17,611
2016-02-18,581
2016-02-19,551
2016-02-20,523
2016-02-21,496
2016-02-22,471
2016-02-23,447
2016-02-24,426
2016-02-25,407
2016-02-26,386
2016-02-27,366
2016-02-28,347
2016-02-29,329
2016-03-01,312
2016-03-02,304
2016-03-03,301
2016-03-04,301
2016-03-05,294
2016-03-06,293
2016-03-07,286
2016-03-08,287
2016-03-09,278
2016-03-10,272
2016-03-11,277
2016-03-12,276
2016-03-13,266
2016-03-14,261
2016-03-15,270
2016-03-16,275
2016-03-17,276
2016-03-18,268
2016-03-19,267
2016-03-20,262
2016-03-21,269
2016-03-22,273
2016-03-23,269
2016-03-24,273
2016-03-25,270
2016-03-26,268
2016-03-27,260
2016-03-28,256
2016-03-29,263
2016-03-30,259
2016-03-31,254
2016-04-01,249
2016-04-02,247
2016-04-03,240
2016-04-04,235
2016-04-05,232
2016-04-06,228
2016-04-07,221
2016-04-08,220
2016-04-09,216
2016-04-10,207
2016-04-11,207
2016-04-12,208
2016-04-13,207
2016-04-14,206
2016-04-15,203
2016-04-16,199
2016-04-17,198
2016-04-18,191
2016-04-19,189
2016-04-20,191
2016-04-21,187
2016-04-22,187
2016-04-23,182
2016-04-24,180
2016-04-25,177
2016-04-26,179
2016-04-27,176
2016-04-28,169
2016-04-29,169
2016-04-30,165
2016-05-01,158
2016-05-02,152
2016-05-03,151
2016-05-04,156
2016-05-05,157
2016-05-06,157
2016-05-07,160
2016-05-08,162
2016-05-09,155
2016-05-10,156
2016-05-11,158
2016-05-12,157
2016-05-13,157
2016-05-14,156
2016-05-15,154
2016-05-16,154
2016-05-17,155
2016-05-18,158
2016-05-19,157
2016-05-22,157
2016-05-23,158
2016-05-24,159
2016-05-25,161
2016-05-26,160
2016-05-27,160
2016-05-28,158
2016-05-29,160
2016-05-30,163
2016-05-31,166
2016-06-01,170
2016-06-02,172
2016-06-03,177
2016-06-04,177
2016-06-05,177
2016-06-06,180
2016-06-07,179
2016-06-08,181
2016-06-09,184
2016-06-10,178
2016-06-11,177
2016-06-12,176
2016-06-13,175
2016-06-14,176
2016-06-15,175
2016-06-16,179
2016-06-17,178
2016-06-18,175
2016-06-19,176
2016-06-20,179
2016-06-21,181
2016-06-22,183
2016-06-23,185
2016-06-24,184
2016-06-25,187
2016-06-26,189
2016-06-27,190
2016-06-28,193
2016-06-29,193
2016-06-30,193
2016-07-01,193
2016-07-02,196
2016-07-03,196
2016-07-04,201
2016-07-05,197
2016-07-06,195
2016-07-07,200
2016-07-08,198
2016-07-09,197
2016-07-10,200
2016-07-11,201
2016-07-12,202
2016-07-13,205
2016-07-14,206
2016-07-15,212
2016-07-16,213
2016-07-17,212
2016-07-18,217
2016-07-24,246
2016-07-25,249
2016-07-26,252
2016-07-27,254
2016-07-28,254
2016-07-29,259
2016-07-30,261
