date_obj,Ring%20of%20stone price
2015-03-26,2775000
2015-03-27,2775000
2015-03-28,2775000
2015-03-29,2775000
2015-03-30,2775000
2015-03-31,2775000
2015-04-01,2775000
2015-04-02,2775000
2015-04-03,2775000
2015-04-04,2775000
2015-04-05,2775000
2015-04-06,2775000
2015-04-07,2775000
2015-04-08,2775000
2015-04-09,2775000
2015-04-10,2775000
2015-04-11,2775000
2015-04-12,2775000
2015-04-13,2775000
2015-04-14,2775000
2015-04-15,2775000
2015-04-16,2775000
2015-04-17,2775000
2015-04-18,2775000
2015-04-19,2775000
2015-04-20,2775000
2015-04-21,2775000
2015-04-22,2775000
2015-04-23,2775000
2015-04-24,2775000
2015-04-25,2775000
2015-04-26,2775000
2015-04-27,2775000
2015-04-28,2775000
2015-04-29,2775000
2015-04-30,2775000
2015-05-01,2775000
2015-05-02,2775000
2015-05-03,2775000
2015-05-04,2791069
2015-05-05,2791069
2015-05-06,2791069
2015-05-07,2791069
2015-05-08,2791069
2015-05-09,2791069
2015-05-10,2791069
2015-05-11,2791069
2015-05-12,2791069
2015-05-13,2791069
2015-05-14,2791069
2015-05-15,2791069
2015-05-16,2791069
2015-05-17,2791069
2015-05-18,2791069
2015-05-19,2791069
2015-05-20,2791069
2015-05-21,2791069
2015-05-22,2791069
2015-05-23,2791069
2015-05-24,2791069
2015-05-25,2791069
2015-05-26,2791069
2015-05-27,2791069
2015-05-28,2791069
2015-05-29,2791069
2015-05-30,2791069
2015-05-31,2791069
2015-06-01,2791069
2015-06-02,2791069
2015-06-03,2791069
2015-06-04,2791069
2015-06-05,2791069
2015-06-06,2791069
2015-06-07,2791069
2015-06-08,2791069
2015-06-09,2791069
2015-06-10,2791069
2015-06-11,2791069
2015-06-12,2791069
2015-06-13,2791069
2015-06-14,2791069
2015-06-15,2791069
2015-06-16,2791069
2015-06-17,2791069
2015-06-18,2791069
2015-06-19,2791069
2015-06-20,2771963
2015-06-21,2771963
2015-06-22,2771963
2015-06-23,2771963
2015-06-24,2771963
2015-06-25,2771963
2015-06-26,2771963
2015-06-27,2771963
2015-06-28,2771963
2015-06-29,2771963
2015-06-30,2771963
2015-07-01,2771963
2015-07-02,2771963
2015-07-03,2771963
2015-07-04,2771963
2015-07-05,2771963
2015-07-06,2771963
2015-07-07,2771963
2015-07-08,2771963
2015-07-09,2771963
2015-07-10,2771963
2015-07-11,2771963
2015-07-12,2771963
2015-07-13,2771963
2015-07-14,2771963
2015-07-15,2771963
2015-07-16,2771963
2015-07-17,2771963
2015-07-18,2771963
2015-07-19,2771963
2015-07-20,2771963
2015-07-21,2771963
2015-07-22,2771963
2015-07-23,2771963
2015-07-24,2771963
2015-07-25,2796513
2015-07-26,2796513
2015-07-27,2796513
2015-07-28,2796513
2015-07-29,2796513
2015-07-30,2796513
2015-07-31,2796513
2015-08-01,2796513
2015-08-02,2796513
2015-08-03,2796513
2015-08-04,2796513
2015-08-05,2796513
2015-08-06,2796513
2015-08-07,2796513
2015-08-08,2796513
2015-08-09,2796513
2015-08-10,2796513
2015-08-11,2796513
2015-08-12,2796513
2015-08-13,2796513
2015-08-14,2796513
2015-08-15,2796513
2015-08-16,2796513
2015-08-17,2796513
2015-08-18,2796513
2015-08-19,2796513
2015-08-20,2796513
2015-08-21,2796513
2015-08-22,2878890
2015-08-23,2878890
2015-08-24,2878890
2015-08-25,2878890
2015-08-26,2878890
2015-08-27,2878890
2015-08-28,2878890
2015-08-29,2878890
2015-08-30,2878890
2015-08-31,2878890
2015-09-01,2878890
2015-09-02,2878890
2015-09-03,2878890
2015-09-04,2878890
2015-09-05,2878890
2015-09-06,2878890
2015-09-07,2878890
2015-09-08,2878890
2015-09-09,2878890
2015-09-10,2878890
2015-09-11,2878890
2015-09-12,2878890
2015-09-13,2878890
2015-09-14,2878890
2015-09-15,2878890
2015-09-16,2878890
2015-09-17,2878890
2015-09-18,2878890
2015-09-19,2878890
2015-09-20,2878890
2015-09-21,2878890
2015-09-22,2878890
2015-09-23,2870107
2015-09-24,2870107
2015-09-25,2870107
2015-09-27,2870107
2015-09-28,2870107
2015-09-29,2870107
2015-09-30,2870107
2015-10-05,2870107
2015-10-06,2870107
2015-10-07,2870107
