date_obj,Dragon%20thrownaxe price
2017-01-04,20995
2017-01-05,22045
2017-01-06,23148
2017-01-07,24306
2017-01-08,25522
2017-01-09,26799
2017-01-10,28139
2017-01-11,29546
2017-01-12,31024
2017-01-13,32576
2017-01-14,34205
2017-01-15,35916
2017-01-16,37140
2017-01-17,38767
2017-01-18,39667
2017-01-19,40629
2017-01-20,39836
2017-01-21,38016
2017-01-22,36115
2017-01-23,34309
2017-01-27,27943
2017-01-28,26546
2017-01-29,25218
2017-01-30,24033
2017-01-31,23359
2017-02-01,23966
2017-02-02,25135
2017-02-03,26392
2017-02-04,26942
2017-02-05,27191
2017-02-06,26202
2017-02-07,25423
2017-02-08,24152
2017-02-09,22944
2017-02-10,21816
2017-02-11,20725
2017-02-12,19718
2017-02-13,18950
2017-02-14,18002
2017-02-15,17200
2017-02-16,16651
2017-02-18,17064
2017-02-19,17824
2017-02-20,17656
2017-02-21,17232
2017-02-22,16644
2017-02-23,16538
2017-02-24,16453
2017-02-25,16726
2017-02-26,16181
2017-02-27,15883
2017-02-28,16196
2017-03-01,16158
2017-03-02,15899
2017-03-03,16293
2017-03-04,16742
2017-03-05,16675
2017-03-06,17157
2017-03-07,17870
2017-03-08,18744
2017-03-09,19682
2017-03-10,20667
2017-03-11,21471
2017-03-12,21517
2017-03-13,20613
2017-03-14,19626
2017-03-15,19185
2017-03-16,19216
2017-03-17,18374
2017-03-18,17569
2017-03-19,17401
2017-03-20,18002
2017-03-21,18621
2017-03-22,18589
2017-03-23,18147
2017-03-24,17942
2017-03-25,17328
2017-03-26,17251
2017-03-27,17007
2017-03-28,17242
2017-03-29,18098
2017-03-30,18949
2017-03-31,19566
2017-04-01,20545
2017-04-02,21542
2017-04-03,22246
2017-04-04,22338
2017-04-12,27540
2017-04-13,28488
2017-04-14,29733
2017-04-15,29753
2017-04-16,29935
2017-04-17,29722
2017-04-18,29903
2017-04-19,29745
2017-04-20,29742
2017-04-21,30172
2017-04-22,31207
2017-04-23,32768
2017-04-24,34407
2017-04-25,36128
2017-04-26,37894
2017-04-27,39730
2017-04-28,40359
2017-04-29,40051
2017-04-30,40430
2017-05-01,40864
2017-05-02,40238
2017-05-03,39876
2017-05-04,39067
2017-05-05,37576
2017-05-06,36697
2017-05-07,35089
2017-05-08,33712
2017-05-09,32908
2017-05-10,33622
2017-05-11,34988
2017-05-12,36493
2017-05-13,35879
2017-05-14,34712
2017-05-16,34348
2017-05-17,34962
2017-05-18,34236
2017-05-19,33774
2017-05-20,33233
2017-05-21,32524
2017-05-22,32528
2017-05-23,32832
2017-05-24,34190
2017-05-25,34370
2017-05-26,33581
2017-05-27,32560
2017-05-28,31563
2017-05-29,30154
2017-05-30,28694
2017-05-31,27333
2017-06-01,26045
2017-06-02,24744
2017-06-03,23506
2017-06-04,22330
2017-06-05,21213
2017-06-06,20152
2017-06-07,19144
2017-06-08,18186
2017-06-09,17276
2017-06-10,17833
2017-06-11,18602
2017-06-12,19450
2017-06-13,19996
2017-06-14,20853
2017-06-15,21896
2017-06-16,22990
2017-06-17,24139
2017-06-18,23744
2017-06-19,22557
2017-06-20,21432
2017-06-21,21176
2017-06-22,20872
2017-06-23,20683
2017-06-24,21361
2017-06-25,20776
2017-06-26,20958
2017-06-27,20464
2017-06-28,20128
2017-06-29,19639
2017-06-30,19378
2017-07-01,19273
2017-07-02,19226
2017-07-03,18699
2017-07-04,17770
2017-07-05,17181
2017-07-06,16918
2017-07-07,17119
2017-07-08,17956
2017-07-13,19675
2017-07-14,19660
2017-07-15,19506
2017-07-16,19533
2017-07-17,19535
2017-07-18,18887
2017-07-19,18257
2017-07-20,17470
2017-07-21,16720
2017-07-22,16731
2017-07-23,17208
2017-07-24,17520
2017-07-25,16899
2017-07-26,16070
2017-07-27,15514
2017-07-28,14848
2017-07-29,14105
2017-07-30,13399
2017-07-31,12729
2017-08-01,12157
2017-08-02,11549
2017-08-03,10971
2017-08-04,10422
2017-08-05,9900
2017-08-06,9405
2017-08-09,8136
2017-08-10,8048
2017-08-11,8445
2017-08-12,8492
2017-08-13,8081
2017-08-14,7882
2017-08-15,7566
2017-08-16,7595
2017-08-17,7583
2017-08-18,7679
2017-08-19,7748
2017-08-20,7851
2017-08-21,7984
2017-08-22,7664
2017-08-23,7432
2017-08-24,7427
2017-08-25,7428
2017-08-26,7451
2017-08-27,7438
2017-08-28,7423
2017-08-29,7095
2017-08-30,6989
2017-08-31,6802
2017-09-01,6712
2017-09-03,6071
2017-09-04,5865
2017-09-05,6071
2017-09-06,6375
2017-09-07,6395
2017-09-08,6075
2017-09-09,5771
2017-09-10,5551
2017-09-11,5817
2017-09-12,5841
2017-09-13,5688
2017-09-14,5403
2017-09-15,5183
2017-09-16,4983
2017-09-17,4733
