date_obj,Spined%20body price
2016-01-05,4470
2016-01-06,4470
2016-01-07,4470
2016-01-08,4470
2016-01-09,4470
2016-01-10,4415
2016-01-11,4415
2016-01-12,4415
2016-01-13,4415
2016-01-14,4415
2016-01-15,4415
2016-01-16,4485
2016-01-17,4485
2016-01-18,4485
2016-01-19,4485
2016-01-20,4485
2016-01-21,4503
2016-01-22,4503
2016-01-23,4503
2016-01-24,4503
2016-01-25,4503
2016-01-26,4430
2016-01-27,4430
2016-01-28,4430
2016-01-29,4430
2016-01-30,4430
2016-01-31,4437
2016-02-01,4437
2016-02-02,4437
2016-02-03,4437
2016-02-04,4437
2016-02-05,4437
2016-02-06,4471
2016-02-07,4471
2016-02-08,4471
2016-02-09,4471
2016-02-10,4471
2016-02-11,4471
2016-02-12,4660
2016-02-13,4660
2016-02-14,4660
2016-02-15,4660
2016-02-16,4660
2016-02-17,4613
2016-02-18,4613
2016-02-19,4613
2016-02-20,4613
2016-02-21,4613
2016-02-22,4613
2016-02-23,4417
2016-02-24,4417
2016-02-25,4417
2016-02-26,4417
2016-02-27,4417
2016-02-28,4417
2016-02-29,4408
2016-03-01,4408
2016-03-02,4408
2016-03-03,4408
2016-03-04,4408
2016-03-05,4408
2016-03-06,4373
2016-03-07,4373
2016-03-08,4373
2016-03-09,4373
2016-03-10,4373
2016-03-11,4373
2016-03-12,4376
2016-03-13,4376
2016-03-14,4376
2016-03-15,4376
2016-03-16,4376
2016-03-17,4376
2016-03-18,4386
2016-03-19,4386
2016-03-20,4386
2016-03-21,4386
2016-03-22,4386
2016-03-23,4386
2016-03-24,4381
2016-03-25,4381
2016-03-26,4381
2016-03-27,4381
2016-03-28,4381
2016-03-29,4463
2016-03-30,4463
2016-03-31,4463
2016-04-01,4463
2016-04-02,4463
2016-04-03,4463
2016-04-04,4456
2016-04-05,4456
2016-04-06,4456
2016-04-07,4456
2016-04-08,4456
2016-04-09,4456
2016-04-10,4398
2016-04-11,4398
2016-04-12,4398
2016-04-13,4398
2016-04-14,4398
2016-04-15,4398
2016-04-16,4478
2016-04-17,4478
2016-04-18,4478
2016-04-19,4478
2016-04-20,4478
2016-04-21,4698
2016-04-22,4698
2016-04-23,4698
2016-04-24,4698
2016-04-25,4698
2016-04-26,4931
2016-04-27,4931
2016-04-28,4931
2016-04-29,4931
2016-04-30,4931
2016-05-01,5150
2016-05-02,5150
2016-05-03,5150
2016-05-04,5150
2016-05-05,5150
2016-05-06,5150
2016-05-07,5149
2016-05-08,5149
2016-05-09,5149
2016-05-10,5149
2016-05-11,5149
2016-05-12,5149
2016-05-13,5056
2016-05-14,5056
2016-05-15,5056
2016-05-16,5056
2016-05-17,5056
2016-05-18,5056
2016-05-19,5068
2016-05-22,5068
2016-05-23,5068
2016-05-24,5051
2016-05-25,5051
2016-05-26,5051
2016-05-27,5051
2016-05-28,5051
2016-05-29,5279
2016-05-30,5279
2016-05-31,5279
2016-06-01,5279
2016-06-02,5279
2016-06-03,5279
2016-06-04,5325
2016-06-05,5325
2016-06-06,5325
2016-06-07,5325
2016-06-08,5325
2016-06-09,5347
2016-06-10,5347
2016-06-11,5347
2016-06-12,5347
2016-06-13,5347
2016-06-14,5370
2016-06-15,5370
2016-06-16,5370
2016-06-17,5370
2016-06-18,5370
2016-06-19,5448
2016-06-20,5448
2016-06-21,5448
2016-06-22,5448
2016-06-23,5448
2016-06-24,5448
2016-06-25,5384
2016-06-26,5384
2016-06-27,5384
2016-06-28,5384
2016-06-29,5384
2016-06-30,5384
2016-07-01,5359
2016-07-02,5359
2016-07-03,5359
2016-07-04,5359
2016-07-05,5359
2016-07-06,5415
2016-07-07,5415
2016-07-08,5415
2016-07-09,5415
2016-07-10,5415
2016-07-11,5155
2016-07-12,5155
2016-07-13,5155
2016-07-14,5155
2016-07-15,5155
2016-07-16,5155
2016-07-17,5006
2016-07-18,5006
2016-07-24,4953
2016-07-25,4953
2016-07-26,4953
2016-07-27,4953
2016-07-28,4953
2016-07-29,4953
2016-07-30,4798
2016-07-31,4798
2016-08-01,4798
2016-08-02,4798
2016-08-03,4798
2016-08-04,4798
2016-08-05,4798
2016-08-06,4595
2016-08-07,4595
2016-08-08,4595
2016-08-09,4595
2016-08-10,4595
2016-08-11,4595
2016-08-12,4595
2016-08-13,4456
2016-08-14,4456
2016-08-15,4456
2016-08-16,4456
2016-08-17,4456
2016-08-18,4456
2016-08-19,4378
2016-08-20,4378
2016-08-21,4378
2016-08-22,4378
2016-08-23,4378
2016-08-24,4378
2016-08-25,4412
2016-08-26,4412
2016-08-28,4412
2016-08-31,4397
2016-09-01,4397
2016-09-02,4397
2016-09-03,4397
2016-09-04,4397
2016-09-05,4397
2016-09-06,4313
2016-09-07,4313
2016-09-08,4313
2016-09-09,4313
2016-09-10,4313
2016-09-11,4313
2016-09-12,4313
2016-09-13,4353
2016-09-14,4353
2016-09-15,4353
2016-09-16,4353
2016-09-17,4353
2016-09-18,4353
2016-09-19,4353
2016-09-20,4353
2016-09-21,4353
2016-09-22,4353
2016-09-23,4353
2016-09-24,4353
2016-09-25,4353
2016-09-26,4353
2016-09-27,4348
2016-09-28,4348
2016-09-29,4348
2016-09-30,4348
2016-10-01,4348
2016-10-02,4348
2016-10-03,4348
2016-10-04,4359
2016-10-05,4359
2016-10-06,4359
2016-10-07,4359
2016-10-08,4359
2016-10-09,4359
2016-10-11,4339
2016-10-12,4339
2016-10-13,4339
2016-10-14,4339
2016-10-15,4339
2016-10-16,4383
2016-10-17,4383
2016-10-18,4383
2016-10-19,4383
2016-10-20,4383
2016-10-21,4425
2016-10-22,4425
2016-10-23,4425
2016-10-24,4425
2016-10-25,4425
2016-10-26,4425
2016-10-27,4447
2016-10-28,4447
2016-10-29,4447
2016-10-30,4447
2016-10-31,4447
2016-11-01,4447
2016-11-02,4494
2016-11-03,4494
2016-11-04,4494
2016-11-05,4494
2016-11-06,4494
2016-11-07,4494
2016-11-08,4473
2016-11-09,4473
2016-11-10,4473
2016-11-11,4473
2016-11-12,4473
2016-11-13,4473
2016-11-14,4570
2016-12-08,4501
2016-12-09,4501
2016-12-10,4501
2016-12-11,4501
2016-12-12,4484
2016-12-13,4484
2016-12-14,4484
2016-12-15,4484
2016-12-16,4484
2016-12-17,4504
2016-12-18,4504
2016-12-19,4504
2016-12-20,4504
2016-12-21,4504
2016-12-22,4504
2016-12-23,4504
2016-12-24,4505
2016-12-25,4505
2016-12-26,4505
2016-12-27,4505
2016-12-28,4505
2016-12-29,4483
2016-12-30,4483
2016-12-31,4483
2017-01-01,4483
2017-01-02,4483
2017-01-03,4461
2017-01-04,4461
2017-01-05,4461
2017-01-06,4461
2017-01-07,4461
2017-01-08,4444
2017-01-09,4444
2017-01-10,4444
2017-01-11,4444
2017-01-12,4447
2017-01-13,4447
2017-01-14,4447
2017-01-15,4447
2017-01-16,4447
2017-01-17,4461
2017-01-18,4461
2017-01-19,4461
2017-01-20,4461
2017-01-21,4437
2017-01-22,4437
2017-01-27,4445
2017-01-28,4445
2017-01-29,4451
2017-01-30,4451
2017-01-31,4451
2017-02-01,4451
2017-02-02,4454
2017-02-03,4454
2017-02-04,4454
2017-02-05,4454
2017-02-06,4446
2017-02-07,4446
2017-02-08,4446
2017-02-09,4446
2017-02-10,4414
2017-02-11,4414
2017-02-12,4414
2017-02-13,4414
2017-02-14,4635
2017-02-15,4635
2017-02-16,4635
2017-02-18,4803
2017-02-19,4803
2017-02-20,4803
2017-02-21,4700
2017-02-22,4700
2017-02-23,4700
2017-02-24,4700
2017-02-25,4582
2017-02-26,4582
2017-02-27,4582
2017-02-28,4582
2017-03-01,4435
2017-03-02,4435
2017-03-03,4435
2017-03-04,4440
2017-03-05,4440
2017-03-06,4440
2017-03-07,4478
2017-03-08,4478
2017-03-09,4478
2017-03-10,4478
2017-03-11,4439
2017-03-12,4439
2017-03-13,4439
2017-03-14,4519
2017-03-15,4519
2017-03-16,4519
2017-03-17,4519
2017-03-18,4477
2017-03-19,4477
2017-03-20,4477
2017-03-21,4424
2017-03-22,4424
2017-03-23,4424
2017-03-24,4424
2017-03-25,4481
2017-03-26,4481
2017-03-27,4481
2017-03-28,4513
2017-03-29,4513
2017-03-30,4513
2017-03-31,4511
2017-04-01,4511
2017-04-02,4511
2017-04-03,4511
2017-04-04,4506
2017-04-12,4499
2017-04-13,4499
2017-04-14,4471
2017-04-15,4471
2017-04-16,4471
2017-04-17,4542
2017-04-18,4542
2017-04-19,4542
2017-04-20,4542
2017-04-21,4649
2017-04-22,4649
2017-04-23,4649
2017-04-24,4649
2017-04-25,4551
2017-04-26,4551
2017-04-27,4551
2017-04-28,4551
2017-04-29,4507
2017-04-30,4507
2017-05-01,4507
2017-05-02,4507
2017-05-03,4400
2017-05-04,4400
2017-05-05,4400
2017-05-06,4400
2017-05-07,4420
2017-05-08,4420
2017-05-09,4420
2017-05-10,4420
2017-05-11,4460
2017-05-12,4460
2017-05-13,4460
2017-05-14,4460
2017-05-15,4460
2017-05-16,4550
2017-05-17,4550
2017-05-18,4550
2017-05-19,4550
2017-05-20,4550
2017-05-21,4511
2017-05-22,4511
2017-05-23,4511
2017-05-24,4511
2017-05-25,4511
2017-05-26,4474
2017-05-27,4474
2017-05-28,4474
2017-05-29,4474
2017-05-30,4378
2017-05-31,4378
2017-06-01,4378
2017-06-02,4378
2017-06-03,4360
2017-06-06,4264
2017-06-07,4264
2017-06-08,4264
2017-06-09,4264
2017-06-10,4321
2017-06-11,4321
2017-06-12,4321
2017-06-13,4321
2017-06-14,4383
2017-06-15,4383
2017-06-16,4383
2017-06-17,4383
2017-06-18,4405
2017-06-19,4405
2017-06-20,4405
2017-06-21,4405
2017-06-22,4417
2017-06-23,4417
2017-06-24,4417
2017-06-25,4417
2017-06-26,4417
2017-06-27,4415
2017-06-28,4415
2017-06-29,4415
2017-06-30,4415
2017-07-01,4415
2017-07-02,4433
2017-07-03,4433
2017-07-04,4433
2017-07-05,4433
2017-07-06,4433
2017-07-07,4424
2017-07-08,4424
2017-07-13,4423
2017-07-14,4423
2017-07-15,4370
2017-07-16,4370
2017-07-17,4370
2017-07-18,4370
2017-07-19,4388
2017-07-20,4388
2017-07-21,4388
2017-07-22,4388
2017-07-23,4389
2017-07-24,4389
2017-07-25,4389
2017-07-26,4389
2017-07-27,4420
2017-07-28,4420
2017-07-29,4420
2017-07-30,4420
2017-07-31,4430
2017-08-01,4430
2017-08-02,4430
2017-08-03,4430
2017-08-04,4430
2017-08-05,4431
2017-08-06,4431
2017-08-09,4415
2017-08-10,4415
2017-08-11,4415
2017-08-12,4415
2017-08-13,4447
2017-08-14,4447
2017-08-15,4447
2017-08-17,4326
2017-08-18,4326
2017-08-19,4326
2017-08-20,4326
2017-08-21,4367
2017-08-22,4367
2017-08-23,4367
2017-08-24,4367
2017-08-25,4367
2017-08-26,4388
2017-08-27,4388
2017-08-28,4388
2017-08-29,4388
2017-08-30,4401
2017-08-31,4401
2017-09-01,4401
2017-09-02,4401
2017-09-03,4401
2017-09-04,4323
2017-09-05,4323
2017-09-06,4323
2017-09-07,4323
2017-09-08,4323
2017-09-09,4356
2017-09-10,4356
2017-09-11,4356
2017-09-12,4356
2017-09-13,4384
2017-09-14,4384
2017-09-15,4384
2017-09-16,4384
2017-09-17,4407
2017-09-19,4407
2017-09-20,4407
2017-09-21,4407
2017-09-22,4249
2017-09-23,4249
2017-09-24,4249
2017-09-25,4249
2017-09-26,4249
2017-09-27,4342
2017-09-28,4342
2017-09-29,4342
2017-09-30,4342
2017-10-01,4342
2017-10-02,4376
2017-10-03,4376
2017-10-04,4376
2017-10-05,4376
2017-10-06,4376
2017-10-07,4452
2017-10-08,4452
2017-10-09,4452
2017-10-10,4452
2017-10-11,4452
2017-10-12,4390
2017-10-13,4390
2017-10-14,4390
2017-10-15,4390
2017-10-16,4333
2017-10-17,4333
2017-10-18,4333
2017-10-19,4333
2017-10-20,4333
2017-10-21,4401
2017-10-22,4401
2017-10-23,4401
2017-10-24,4401
2017-10-25,4392
2017-10-26,4392
2017-10-27,4392
2017-10-28,4392
2017-10-29,4392
2017-10-30,4405
2017-10-31,4405
2017-11-01,4405
2017-11-02,4405
2017-11-03,4463
2017-11-04,4463
2017-11-05,4463
2017-11-06,4463
2017-11-07,4387
2017-11-08,4387
2017-11-09,4387
2017-11-10,4387
2017-11-11,4392
2017-11-12,4392
2017-11-13,4392
2017-11-14,4392
2017-11-15,4392
2017-11-16,4407
2017-11-17,4407
2017-11-18,4407
2017-11-19,4407
2017-11-20,4507
2017-11-21,4507
2017-11-22,4507
2017-11-23,4507
2017-11-24,4507
2017-11-25,4493
2017-11-26,4493
2017-11-27,4493
2017-11-28,4493
2017-11-29,4493
2017-11-30,4466
2017-12-01,4466
2017-12-02,4466
2017-12-03,4466
2017-12-04,4456
2017-12-05,4456
2017-12-06,4456
2017-12-07,4456
2017-12-08,4472
2017-12-09,4472
2017-12-10,4472
2017-12-11,4472
2017-12-12,4478
2017-12-13,4478
2017-12-14,4478
2017-12-15,4478
2017-12-16,4478
2017-12-17,4407
2017-12-18,4407
2017-12-19,4407
2017-12-20,4407
2017-12-21,4390
2017-12-22,4390
2017-12-23,4390
2017-12-24,4390
2017-12-25,4390
2017-12-26,4297
2017-12-27,4297
2017-12-28,4297
2017-12-29,4297
2017-12-30,4272
2017-12-31,4272
2018-01-01,4272
2018-01-02,4272
2018-01-03,4295
2018-01-04,4295
2018-01-05,4295
2018-01-06,4370
2018-01-07,4370
2018-01-08,4370
2018-01-09,4370
2018-01-10,4386
2018-01-11,4386
2018-01-12,4386
2018-01-13,4386
2018-01-14,4293
2018-01-15,4293
2018-01-16,4293
