date_obj,Staff%20of%20balance price
2019-08-26,11637000
2019-08-27,11637000
2019-08-27,11637000
2019-08-28,8296619
2019-08-29,8645192
2019-08-30,9008413
2019-08-31,9008413
2019-09-01,9428873
2019-09-02,9428873
2019-09-03,9859162
2019-09-04,10282114
2019-09-05,10282114
2019-09-06,10752041
2019-09-07,11221511
2019-09-08,11221511
2019-09-09,11745342
2019-09-10,11745342
2019-09-11,12261905
2019-09-12,12261905
2019-09-13,12809252
2019-09-14,12809252
2019-09-15,13389249
2019-09-16,13389249
2019-09-17,13983070
2019-09-18,13983070
2019-09-19,13983070
2019-09-20,14627334
2019-09-21,14627334
2019-09-22,14627334
2019-09-23,15293821
2019-09-24,15293821
2019-09-25,15293821
2019-09-26,15980970
2019-09-27,15980970
2019-09-28,15980970
2019-09-29,15980970
2019-09-30,16682800
2019-10-01,16682800
2019-10-02,16682800
2019-10-03,17439361
2019-10-04,17439361
2019-10-05,17439361
2019-10-06,18200072
2019-10-07,18200072
2019-10-08,18200072
2019-10-09,18200072
2019-10-10,19018165
2019-10-11,19018165
2019-10-12,19018165
2019-10-13,19018165
2019-10-14,19896799
2019-10-15,19896799
2019-10-16,19896799
2019-10-17,19896799
2019-10-18,20269580
2019-10-19,20269580
2019-10-20,20269580
2019-10-21,20269580
2019-10-22,19256101
2019-10-23,19256101
2019-10-24,19256101
2019-10-25,19256101
2019-10-26,18293295
2019-10-27,18293295
2019-10-28,18293295
2019-10-29,18293295
2019-10-30,17444671
2019-10-31,17444671
2019-11-01,17444671
2019-11-02,16606478
2019-11-03,16606478
2019-11-04,16606478
2019-11-05,15792398
2019-11-06,15792398
2019-11-07,15792398
2019-11-08,15792398
2019-11-09,15024960
2019-11-10,15024960
2019-11-11,15024960
2019-11-12,15024960
2019-11-13,14901023
2019-11-14,14901023
2019-11-15,14901023
2019-11-16,15007198
2019-11-17,15007198
2019-11-18,15007198
2019-11-19,15007198
2019-11-20,15007198
2019-11-21,14923662
2019-11-22,14923662
2019-11-23,14923662
2019-11-24,14920149
2019-11-25,14920149
2019-11-26,14920149
2019-11-27,14920149
2019-11-28,14334715
2019-11-29,14334715
2019-11-30,14334715
2019-12-01,14334715
2019-12-02,13699207
2019-12-03,13699207
2019-12-04,13699207
2019-12-05,13699207
2019-12-06,13752949
2019-12-07,13752949
2019-12-08,13752949
2019-12-09,13752949
2019-12-10,13750049
2019-12-11,13750049
2019-12-12,13750049
2019-12-13,13750049
2019-12-14,13559856
2019-12-15,13559856
2019-12-16,13559856
2019-12-17,13559856
2019-12-18,13887570
2019-12-19,13887570
2019-12-20,13887570
2019-12-21,13887570
2019-12-22,14280430
2019-12-23,14280430
2019-12-24,14280430
2019-12-25,14280430
2019-12-26,14433537
2019-12-27,14433537
2019-12-28,14433537
2019-12-29,14433537
2019-12-30,14752392
2019-12-31,14752392
2020-01-01,14752392
2020-01-02,14752392
2020-01-03,15017218
2020-01-04,15017218
2020-01-05,15650223
2020-01-06,15650223
2020-01-07,15650223
2020-01-08,15650223
2020-01-09,16333082
2020-01-10,16333082
2020-01-11,17092748
2020-01-12,17092748
2020-01-13,17092748
2020-01-14,17092748
2020-01-15,17886865
2020-01-16,17886865
2020-01-17,17886865
2020-01-18,17886865
2020-01-19,18665411
2020-01-20,18665411
2020-01-21,18665411
2020-01-22,18665411
2020-01-23,18665411
2020-01-24,18480998
2020-01-25,18480998
2020-01-26,18480998
2020-01-27,18480998
2020-01-28,18480998
2020-01-29,17983865
2020-01-30,17983865
2020-01-31,17983865
2020-02-01,17983865
2020-02-02,18351953
2020-02-03,18351953
2020-02-04,18351953
2020-02-05,18351953
2020-02-06,18435307
2020-02-07,18435307
2020-02-08,18435307
2020-02-09,18435307
2020-02-10,18486347
2020-02-11,18486347
2020-02-12,18486347
2020-02-13,18486347
2020-02-14,18864817
2020-02-15,18864817
2020-02-16,18864817
2020-02-17,18864817
2020-02-18,18864817
2020-02-19,18938435
2020-02-20,18938435
2020-02-21,18938435
2020-02-22,18938435
2020-02-23,18740593
2020-02-24,18740593
2020-02-25,18740593
2020-02-26,18740593
2020-02-27,18323878
2020-02-28,18323878
2020-02-29,18323878
2020-03-01,18323878
2020-03-02,18407726
2020-03-03,18407726
2020-03-04,18407726
