date_obj,Polar%20camo%20top price
2015-03-26,21895
2015-03-27,21895
2015-03-28,21895
2015-03-29,21895
2015-03-30,21895
2015-03-31,21895
2015-04-01,21895
2015-04-02,21895
2015-04-03,21895
2015-04-04,21895
2015-04-05,21895
2015-04-06,21895
2015-04-07,21895
2015-04-08,21895
2015-04-09,21895
2015-04-10,21895
2015-04-11,21895
2015-04-12,21895
2015-04-13,20821
2015-04-14,20821
2015-04-15,20821
2015-04-16,20821
2015-04-17,20821
2015-04-18,20821
2015-04-19,20821
2015-04-20,20821
2015-04-21,20821
2015-04-22,20821
2015-04-23,20821
2015-04-24,20821
2015-04-25,20821
2015-04-26,20821
2015-04-27,20821
2015-04-28,20821
2015-04-29,20821
2015-04-30,20821
2015-05-01,20821
2015-05-02,20821
2015-05-03,20821
2015-05-04,20821
2015-05-05,20821
2015-05-06,20821
2015-05-07,19800
2015-05-08,19800
2015-05-09,19800
2015-05-10,19800
2015-05-11,19800
2015-05-12,19800
2015-05-13,19800
2015-05-14,19800
2015-05-15,19800
2015-05-16,19800
2015-05-17,19800
2015-05-18,19800
2015-05-19,19800
2015-05-20,19800
2015-05-21,19800
2015-05-22,19800
2015-05-23,19800
2015-05-24,19800
2015-05-25,19800
2015-05-26,19800
2015-05-27,19800
2015-05-28,18810
2015-05-29,18810
2015-05-30,18810
2015-05-31,18810
2015-06-01,18810
2015-06-02,18810
2015-06-03,18810
2015-06-04,18810
2015-06-05,18810
2015-06-06,18810
2015-06-07,18810
2015-06-08,18810
2015-06-09,18810
2015-06-10,18810
2015-06-11,18810
2015-06-12,18810
2015-06-13,18810
2015-06-14,17876
2015-06-15,17876
2015-06-16,17876
2015-06-17,17876
2015-06-18,17876
2015-06-19,17876
2015-06-20,17876
2015-06-21,17876
2015-06-22,17876
2015-06-23,17876
2015-06-24,17876
2015-06-25,17876
2015-06-26,17876
2015-06-27,17876
2015-06-28,16991
2015-06-29,16991
2015-06-30,16991
2015-07-01,16991
2015-07-02,16991
2015-07-03,16991
2015-07-04,16991
2015-07-05,16991
2015-07-06,16991
2015-07-07,16991
2015-07-08,16991
2015-07-09,16991
2015-07-10,16991
2015-07-11,16991
2015-07-12,16157
2015-07-13,16157
2015-07-14,16157
2015-07-15,16157
2015-07-16,16157
2015-07-17,16157
2015-07-18,16157
2015-07-19,16157
2015-07-20,16157
2015-07-21,16157
2015-07-22,16157
2015-07-23,16157
2015-07-24,16157
2015-07-25,16157
2015-07-26,15383
2015-07-27,15383
2015-07-28,15383
2015-07-29,15383
2015-07-30,15383
2015-07-31,15383
2015-08-01,15383
2015-08-02,15383
2015-08-03,15383
2015-08-04,15383
2015-08-05,15383
2015-08-06,15383
2015-08-07,15383
2015-08-08,15383
2015-08-09,14725
2015-08-10,14725
2015-08-11,14725
2015-08-12,14725
2015-08-13,14725
2015-08-14,14725
2015-08-15,14725
2015-08-16,14725
2015-08-17,14725
2015-08-18,14725
2015-08-19,14725
2015-08-20,14725
2015-08-21,14725
2015-08-22,14725
2015-08-23,14725
2015-08-24,14035
2015-08-25,14035
2015-08-26,14035
2015-08-27,14035
2015-08-28,14035
2015-08-29,14035
2015-08-30,14035
2015-08-31,14035
2015-09-01,14035
2015-09-02,14035
2015-09-03,14035
2015-09-04,14035
2015-09-05,14035
2015-09-06,14035
2015-09-07,14035
2015-09-08,14035
2015-09-09,14035
2015-09-10,13423
2015-09-11,13423
2015-09-12,13423
2015-09-13,13423
2015-09-14,13423
2015-09-15,13423
2015-09-16,13423
2015-09-17,13423
2015-09-18,13423
2015-09-19,13423
2015-09-20,13423
2015-09-21,13423
2015-09-22,13423
2015-09-23,13423
2015-09-24,13423
2015-09-25,12860
2015-09-27,12860
2015-09-28,12860
2015-09-29,12860
2015-09-30,12860
2015-10-05,12860
2015-10-06,12860
2015-10-07,12860
2015-10-08,12860
2015-10-09,12860
2015-10-10,12860
2015-10-11,12221
2015-10-12,12221
2015-10-13,12221
2015-10-14,12221
2015-10-15,12221
2015-10-16,12221
2015-10-17,12221
2015-10-18,12221
2015-10-19,12221
2015-10-20,12221
2015-10-22,12221
2015-10-23,12221
2015-10-24,12221
2015-10-25,11632
2015-10-26,11632
2015-10-27,11632
2015-10-29,11632
2015-10-30,11632
2015-10-31,11632
2015-11-01,11632
2015-11-02,11632
2015-11-03,11632
2015-11-04,11632
2015-11-05,11632
2015-11-06,11632
2015-11-07,11058
2015-11-08,11058
2015-11-09,11058
2015-11-10,11058
2015-11-11,11058
2015-11-12,11058
2015-11-13,11058
2015-11-14,11058
2015-11-15,11058
2015-11-16,11058
2015-11-17,11058
2015-11-18,11058
2015-11-19,11058
2015-11-20,10516
2015-11-21,10516
2015-11-22,10516
2015-11-23,10516
2015-11-24,10516
2015-11-25,10516
2015-11-26,10516
2015-11-27,10516
2015-11-28,10516
2015-11-29,10516
2015-11-30,10516
2015-12-01,10003
2015-12-02,10003
2015-12-03,10003
2015-12-04,10003
2015-12-05,10003
2015-12-06,10003
2015-12-07,10003
2015-12-08,10003
2015-12-09,10003
2015-12-10,10003
2015-12-11,10003
2015-12-12,10003
2015-12-13,9523
2015-12-14,9523
2015-12-15,9523
2015-12-16,9523
2015-12-17,9523
2015-12-18,9523
2015-12-19,9523
2015-12-20,9523
2015-12-21,9523
2015-12-22,9523
2015-12-23,9216
2015-12-24,9216
2015-12-25,9216
2015-12-26,9216
2015-12-27,9216
2015-12-28,9216
2015-12-29,9216
2015-12-30,9216
2015-12-31,9216
2016-01-01,9216
2016-01-02,9216
2016-01-03,9216
2016-01-04,8790
2016-01-05,8790
2016-01-06,8790
2016-01-07,8790
2016-01-08,8790
2016-01-09,8790
2016-01-10,8790
2016-01-11,8790
2016-01-12,8790
2016-01-13,8790
2016-01-14,8790
2016-01-15,8790
2016-01-16,8790
2016-01-17,8411
2016-01-18,8411
2016-01-19,8411
2016-01-20,8411
2016-01-21,8411
2016-01-22,8411
2016-01-23,8411
2016-01-24,8411
2016-01-25,8411
2016-01-26,8411
2016-01-27,8411
2016-01-28,8411
2016-01-29,7998
2016-01-30,7998
2016-01-31,7998
2016-02-01,7998
2016-02-02,7998
2016-02-03,7998
2016-02-04,7998
2016-02-05,7998
2016-02-06,7998
2016-02-07,7998
2016-02-08,7998
2016-02-09,7998
2016-02-10,7998
2016-02-11,7998
2016-02-12,7635
2016-02-13,7635
2016-02-14,7635
2016-02-15,7635
2016-02-16,7635
2016-02-17,7635
2016-02-18,7635
2016-02-19,7635
2016-02-20,7635
2016-02-21,7635
2016-02-22,7635
2016-02-23,7635
2016-02-24,7635
2016-02-25,7509
2016-02-26,7509
2016-02-27,7509
2016-02-28,7509
2016-02-29,7509
2016-03-01,7509
2016-03-02,7509
2016-03-03,7509
2016-03-04,7509
2016-03-05,7509
2016-03-06,7509
2016-03-07,7509
2016-03-08,7509
2016-03-09,7504
2016-03-10,7504
2016-03-11,7504
2016-03-12,7504
2016-03-13,7504
2016-03-14,7504
2016-03-15,7504
2016-03-16,7504
2016-03-17,7504
2016-03-18,7504
2016-03-19,7504
2016-03-20,7504
2016-03-21,7504
2016-03-22,7504
2016-03-23,7368
2016-03-24,7368
2016-03-25,7368
2016-03-26,7368
2016-03-27,7368
2016-03-28,7368
2016-03-29,7368
2016-03-30,7368
2016-03-31,7368
