date_obj,Airtight%20pot price
2015-03-26,1350
2015-03-27,1392
2015-03-28,1392
2015-03-29,1392
2015-03-30,1392
2015-03-31,1385
2015-04-01,1385
2015-04-02,1385
2015-04-03,1385
2015-04-04,1383
2015-04-05,1383
2015-04-06,1383
2015-04-07,1383
2015-04-08,1383
2015-04-09,1328
2015-04-10,1328
2015-04-11,1328
2015-04-12,1328
2015-04-13,1353
2015-04-14,1353
2015-04-15,1353
2015-04-16,1353
2015-04-17,1285
2015-04-18,1285
2015-04-19,1285
2015-04-20,1285
2015-04-21,1230
2015-04-22,1230
2015-04-23,1230
2015-04-24,1230
2015-04-25,1230
2015-04-26,1168
2015-04-27,1168
2015-04-28,1168
2015-04-29,1168
2015-04-30,1119
2015-05-01,1119
2015-05-02,1119
2015-05-03,1119
2015-05-04,1087
2015-05-05,1087
2015-05-06,1087
2015-05-07,1087
2015-05-08,1039
2015-05-09,1039
2015-05-10,1039
2015-05-11,1039
2015-05-12,987
2015-05-13,987
2015-05-14,987
2015-05-15,987
2015-05-16,946
2015-05-17,946
2015-05-18,946
2015-05-19,946
2015-05-20,952
2015-05-21,952
2015-05-22,952
2015-05-23,952
2015-05-24,952
2015-05-25,952
2015-05-26,952
2015-05-27,952
2015-05-28,961
2015-05-29,961
2015-05-30,961
2015-05-31,961
2015-06-01,969
2015-06-02,969
2015-06-03,969
2015-06-04,969
2015-06-05,969
2015-06-06,969
2015-06-07,1012
2015-06-08,1012
2015-06-09,1012
2015-06-10,1012
2015-06-11,1012
2015-06-12,1012
2015-06-13,1012
2015-06-14,1046
2015-06-15,1046
2015-06-16,1046
2015-06-17,1046
2015-06-18,1046
2015-06-19,1046
2015-06-20,1073
2015-06-21,1073
2015-06-22,1073
2015-06-23,1073
2015-06-24,1073
2015-06-25,1073
2015-06-26,1094
2015-06-27,1094
2015-06-28,1094
2015-06-29,1094
2015-06-30,1094
2015-07-01,1094
2015-07-02,1094
2015-07-03,1140
2015-07-04,1140
2015-07-05,1140
2015-07-06,1140
2015-07-07,1140
2015-07-08,1179
2015-07-09,1179
2015-07-10,1179
2015-07-11,1179
2015-07-12,1179
2015-07-13,1229
2015-07-14,1229
2015-07-15,1229
2015-07-16,1229
2015-07-17,1229
2015-07-18,1229
2015-07-19,1248
2015-07-20,1248
2015-07-21,1248
2015-07-22,1248
2015-07-23,1248
2015-07-24,1185
2015-07-25,1185
2015-07-26,1185
2015-07-27,1185
2015-07-28,1185
2015-07-29,1152
2015-07-30,1152
2015-07-31,1152
2015-08-01,1152
2015-08-02,1152
2015-08-03,1152
2015-08-04,1199
2015-08-05,1199
2015-08-06,1199
2015-08-07,1199
2015-08-08,1199
2015-08-09,1245
2015-08-10,1245
2015-08-11,1245
2015-08-12,1245
2015-08-13,1245
2015-08-14,1295
2015-08-15,1295
2015-08-16,1295
2015-08-17,1295
2015-08-18,1295
2015-08-19,1295
2015-08-20,1295
2015-08-21,1355
2015-08-22,1355
2015-08-23,1355
2015-08-24,1355
2015-08-25,1355
2015-08-26,1355
2015-08-27,1391
2015-08-28,1391
2015-08-29,1391
2015-08-30,1391
2015-08-31,1391
2015-09-01,1391
2015-09-02,1434
2015-09-03,1434
2015-09-04,1434
2015-09-05,1434
2015-09-06,1434
2015-09-07,1434
2015-09-08,1434
2015-09-09,1485
2015-09-10,1485
2015-09-11,1485
2015-09-12,1485
2015-09-13,1485
2015-09-14,1485
2015-09-15,1543
2015-09-16,1543
2015-09-17,1543
2015-09-18,1543
2015-09-19,1543
2015-09-20,1543
2015-09-21,1543
2015-09-22,1543
2015-09-23,1581
2015-09-24,1581
2015-09-25,1581
2015-09-27,1581
2015-09-28,1581
2015-09-29,1581
2015-09-30,1622
2015-10-05,1622
2015-10-06,1622
2015-10-07,1669
2015-10-08,1669
2015-10-09,1669
2015-10-10,1669
2015-10-11,1669
2015-10-12,1669
2015-10-13,1669
2015-10-14,1618
2015-10-15,1618
2015-10-16,1618
2015-10-17,1618
2015-10-18,1618
2015-10-19,1618
2015-10-20,1618
2015-10-22,1537
2015-10-23,1537
2015-10-24,1537
2015-10-25,1537
2015-10-26,1537
2015-10-27,1537
2015-10-28,1537
2015-10-29,1492
2015-10-30,1492
2015-10-31,1492
2015-11-01,1492
2015-11-02,1492
2015-11-03,1492
2015-11-04,1492
2015-11-05,1492
2015-11-06,1543
2015-11-07,1543
2015-11-08,1543
2015-11-09,1543
2015-11-10,1543
2015-11-11,1543
2015-11-12,1543
2015-11-13,1543
2015-11-14,1543
2015-11-15,1591
2015-11-16,1591
2015-11-17,1591
2015-11-18,1591
2015-11-19,1591
2015-11-20,1591
2015-11-21,1591
2015-11-22,1591
2015-11-23,1646
2015-11-24,1646
2015-11-25,1646
2015-11-26,1646
2015-11-27,1646
2015-11-28,1646
2015-11-29,1646
2015-11-30,1702
2015-12-01,1702
2015-12-02,1702
2015-12-03,1702
