date_obj,Abyssal%20bludgeon price
2015-10-05,30425975
2015-10-06,31823683
2015-10-07,31823683
2015-10-08,33294960
2015-10-09,33294960
2015-10-10,34869944
2015-10-11,34869944
2015-10-12,34744312
2015-10-13,34744312
2015-10-14,34744312
2015-10-15,36481528
2015-10-16,36481528
2015-10-17,38138636
2015-10-18,38138636
2015-10-19,39951806
2015-10-20,39951806
2015-10-22,41872174
2015-10-23,40872625
2015-10-24,40872625
2015-10-25,38977459
2015-10-26,38977459
2015-10-27,37087880
2015-10-28,37087880
2015-10-29,35233486
2015-10-30,35233486
2015-10-31,33497213
2015-11-01,33497213
2015-11-02,33497213
2015-11-03,31922240
2015-11-04,31922240
2015-11-05,31922240
2015-11-06,32178916
2015-11-07,32178916
2015-11-08,32178916
2015-11-09,33737115
2015-11-10,33737115
2015-11-11,33737115
2015-11-12,34081002
2015-11-13,34081002
2015-11-14,34081002
2015-11-15,35701983
2015-11-16,35701983
2015-11-17,35701983
2015-11-18,37311822
2015-11-19,37311822
2015-11-20,38808076
2015-11-21,38808076
2015-11-22,40523578
2015-11-23,40523578
2015-11-24,40523578
2015-11-25,40371447
2015-11-26,40371447
2015-11-27,40371447
2015-11-28,39930558
2015-11-29,39930558
2015-11-30,40891390
2015-12-01,40891390
2015-12-02,40891390
2015-12-03,40866178
2015-12-04,40866178
2015-12-05,40866178
2015-12-06,42305557
2015-12-07,42305557
2015-12-08,42305557
2015-12-09,44343479
2015-12-10,44343479
2015-12-11,44343479
2015-12-12,45134738
2015-12-13,45134738
2015-12-14,45134738
2015-12-15,44644161
2015-12-16,44644161
2015-12-17,44644161
2015-12-18,44702337
2015-12-19,44702337
2015-12-20,44702337
2015-12-21,43978618
2015-12-22,43978618
2015-12-23,44980014
2015-12-24,44980014
2015-12-25,44980014
2015-12-26,45026213
2015-12-27,45026213
2015-12-28,44751193
2015-12-29,44751193
2015-12-30,45187682
2015-12-31,45187682
2016-01-01,45187682
2016-01-02,46406477
2016-01-03,46406477
2016-01-04,48083157
2016-01-05,48083157
2016-01-06,48083157
2016-01-07,47370081
2016-01-08,47370081
2016-01-09,45889400
2016-01-10,45889400
2016-01-11,45035892
2016-01-12,45035892
2016-01-13,44538707
2016-01-14,44538707
2016-01-15,44434556
2016-01-16,44434556
2016-01-17,45602532
2016-01-18,45602532
2016-01-19,46302109
2016-01-20,46302109
2016-01-21,46102982
2016-01-22,46102982
2016-01-23,44599323
2016-01-24,44599323
2016-01-25,44642063
2016-01-26,44642063
2016-01-27,45531352
2016-01-28,45531352
2016-01-29,44763013
2016-01-30,44763013
2016-01-31,44673514
2016-02-01,44673514
2016-02-02,44766695
2016-02-03,44766695
2016-02-04,45152386
2016-02-05,45152386
2016-02-06,45585926
2016-02-07,45585926
2016-02-08,46288910
2016-02-09,46288910
2016-02-10,46190660
2016-02-11,46190660
2016-02-12,45618282
2016-02-13,45850916
2016-02-14,45850916
2016-02-15,46307395
2016-02-16,46307395
2016-02-17,46740547
2016-02-18,46740547
2016-02-19,47392106
2016-02-20,47392106
2016-02-21,47931306
2016-02-22,47931306
2016-02-23,48716916
2016-02-24,48716916
2016-02-25,48524399
2016-02-26,48524399
2016-02-27,48552958
2016-02-28,48552958
2016-02-29,49617362
2016-03-01,49617362
2016-03-02,51534482
2016-03-03,51534482
2016-03-04,49565193
2016-03-05,49565193
2016-03-06,49927809
2016-03-07,49927809
2016-03-08,51803726
2016-03-09,51803726
2016-03-10,51302318
2016-03-11,51302318
2016-03-12,51998204
2016-03-13,51998204
2016-03-14,51630511
2016-03-15,51630511
2016-03-16,51756049
2016-03-17,51756049
2016-03-18,51418764
2016-03-19,51418764
2016-03-20,51358418
2016-03-21,51358418
2016-03-22,51398223
2016-03-23,51398223
2016-03-24,51241187
2016-03-25,51241187
2016-03-26,51021388
2016-03-27,51021388
2016-03-28,49759734
2016-03-29,49759734
2016-03-30,47836699
2016-03-31,47836699
2016-04-01,45978588
2016-04-02,45978588
2016-04-03,45814082
2016-04-04,45814082
2016-04-05,46423860
2016-04-06,46423860
2016-04-07,45898285
2016-04-08,45898285
2016-04-09,44044450
2016-04-10,44103468
2016-04-11,44103468
2016-04-12,43540355
2016-04-13,43540355
2016-04-14,44222031
2016-04-15,45414143
2016-04-16,45414143
2016-04-17,43967054
2016-04-18,43243661
2016-04-19,43243661
2016-04-20,43238057
2016-04-21,43238057
2016-04-22,42681564
2016-04-23,41804190
2016-04-24,41804190
2016-04-25,41402611
2016-04-26,41402611
2016-04-27,39926476
2016-04-28,39926476
2016-04-29,38439927
2016-04-30,37999238
2016-05-01,37999238
2016-05-02,37592400
2016-05-03,36430311
2016-05-04,34653628
2016-05-05,35845453
2016-05-06,37408966
2016-05-07,39107728
2016-05-08,40516335
2016-05-09,41989254
2016-05-10,42868077
2016-05-11,42868077
2016-05-12,42619323
2016-05-13,40525564
2016-05-14,39509401
2016-05-15,39552664
2016-05-16,40206381
2016-05-17,41166467
2016-05-18,41254301
2016-05-19,41254301
2016-05-21,41521893
2016-05-22,42691879
2016-05-23,43076997
2016-05-24,43828759
2016-05-25,43158981
2016-05-26,42983218
2016-05-27,43158156
2016-05-28,43158156
2016-05-29,43562535
2016-05-30,43562535
2016-05-31,44543287
2016-06-01,44649762
2016-06-02,45057370
2016-06-03,45232617
2016-06-04,45461449
2016-06-05,46344912
2016-06-06,45414930
2016-06-07,45414930
2016-06-08,44318499
2016-06-09,44000979
2016-06-10,43973669
2016-06-11,43520243
2016-06-12,42286338
2016-06-13,42286338
2016-06-14,42817305
2016-06-15,43155257
2016-06-16,43219455
2016-06-17,43044182
2016-06-18,42856942
2016-06-19,42820252
2016-06-20,42915511
2016-06-21,43444457
2016-06-22,44138928
2016-06-23,45262583
2016-06-24,45748941
2016-06-25,45696386
2016-06-26,45696386
2016-06-27,45356555
2016-06-28,45462740
2016-06-29,44018208
2016-06-30,42096665
2016-07-01,41606904
