date_obj,Ham%20logo price
2015-03-26,5039
2015-03-27,5039
2015-03-28,5039
2015-03-29,4787
2015-03-30,4787
2015-03-31,4553
2015-04-01,4553
2015-04-02,4553
2015-04-03,4325
2015-04-04,4325
2015-04-05,4108
2015-04-06,4108
2015-04-07,3911
2015-04-08,3911
2015-04-09,3911
2015-04-10,3718
2015-04-11,3718
2015-04-12,3532
2015-04-13,3532
2015-04-14,3532
2015-04-15,3355
2015-04-16,3355
2015-04-17,3355
2015-04-18,3187
2015-04-19,3187
2015-04-20,3187
2015-04-21,3027
2015-04-22,3027
2015-04-23,3027
2015-04-24,2875
2015-04-25,2875
2015-04-26,2875
2015-04-27,2746
2015-04-28,2746
2015-04-29,2746
2015-04-30,2641
2015-05-01,2641
2015-05-02,2588
2015-05-03,2588
2015-05-04,2588
2015-05-05,2596
2015-05-06,2596
2015-05-07,2556
2015-05-08,2556
2015-05-09,2500
2015-05-10,2500
2015-05-11,2500
2015-05-12,2404
2015-05-13,2404
2015-05-14,2300
2015-05-15,2300
2015-05-16,2300
2015-05-17,2241
2015-05-18,2241
2015-05-19,2241
2015-05-20,2235
2015-05-21,2235
2015-05-22,2235
2015-05-23,2190
2015-05-24,2190
2015-05-25,2180
2015-05-26,2180
2015-05-27,2180
2015-05-28,2182
2015-05-29,2182
2015-05-30,2123
2015-05-31,2123
2015-06-01,2025
2015-06-02,2025
2015-06-03,1928
2015-06-04,1928
2015-06-05,1855
2015-06-06,1855
2015-06-07,1781
2015-06-08,1781
2015-06-09,1697
2015-06-10,1697
2015-06-11,1619
2015-06-12,1619
2015-06-13,1542
2015-06-14,1542
2015-06-15,1467
2015-06-16,1467
2015-06-17,1397
2015-06-18,1397
2015-06-19,1334
2015-06-20,1334
2015-06-21,1276
2015-06-22,1276
2015-06-23,1237
2015-06-24,1237
2015-06-25,1199
2015-06-26,1199
2015-06-27,1170
2015-06-28,1170
2015-06-29,1114
2015-06-30,1114
2015-07-01,1094
2015-07-02,1094
2015-07-03,1042
2015-07-04,1042
2015-07-05,1019
2015-07-06,1019
2015-07-07,973
2015-07-08,973
2015-07-09,927
2015-07-10,927
2015-07-11,894
2015-07-12,894
2015-07-13,873
2015-07-14,873
2015-07-15,880
2015-07-16,880
2015-07-17,883
2015-07-18,883
2015-07-19,924
2015-07-20,924
2015-07-21,936
2015-07-22,936
2015-07-23,963
2015-07-24,963
2015-07-25,954
2015-07-26,954
2015-07-27,952
2015-07-28,952
2015-07-29,935
2015-07-30,935
2015-07-31,909
2015-08-01,909
2015-08-02,863
2015-08-03,863
2015-08-04,822
2015-08-05,822
2015-08-06,788
2015-08-07,788
2015-08-08,767
2015-08-09,767
2015-08-10,748
2015-08-11,748
2015-08-12,740
2015-08-13,740
2015-08-14,728
2015-08-15,728
2015-08-16,728
2015-08-17,712
2015-08-18,712
2015-08-19,701
2015-08-20,701
2015-08-21,719
2015-08-22,719
2015-08-23,719
2015-08-24,730
2015-08-25,730
2015-08-26,730
2015-08-27,705
2015-08-28,705
2015-08-29,696
2015-08-30,696
2015-08-31,696
2015-09-01,692
2015-09-02,692
2015-09-03,692
2015-09-04,694
2015-09-05,694
2015-09-06,694
2015-09-07,693
2015-09-08,693
2015-09-09,693
2015-09-10,696
2015-09-11,696
2015-09-12,696
2015-09-13,699
2015-09-14,699
2015-09-15,700
2015-09-16,700
2015-09-17,700
2015-09-18,680
2015-09-19,680
2015-09-20,688
2015-09-21,688
2015-09-22,718
2015-09-23,718
2015-09-24,718
2015-09-25,751
2015-09-27,787
2015-09-28,787
2015-09-29,787
2015-09-30,826
2015-10-05,910
2015-10-06,910
2015-10-07,910
2015-10-08,956
2015-10-09,956
2015-10-10,956
2015-10-11,1000
2015-10-12,1000
2015-10-13,1000
2015-10-14,1044
2015-10-15,1044
2015-10-16,1074
2015-10-17,1074
2015-10-18,1074
2015-10-19,1075
2015-10-20,1075
2015-10-22,1079
2015-10-23,1079
2015-10-24,1089
2015-10-25,1089
2015-10-26,1084
2015-10-27,1084
2015-10-29,1077
2015-10-30,1077
2015-10-31,1064
2015-11-01,1064
2015-11-02,1064
2015-11-03,1063
2015-11-04,1063
2015-11-05,1063
2015-11-06,1062
2015-11-07,1062
2015-11-08,1101
2015-11-09,1101
2015-11-10,1101
2015-11-11,1119
2015-11-12,1119
2015-11-13,1119
2015-11-14,1161
2015-11-15,1161
2015-11-16,1186
2015-11-17,1186
2015-11-18,1186
2015-11-19,1213
2015-11-20,1213
2015-11-21,1213
2015-11-22,1249
2015-11-23,1249
2015-11-24,1249
2015-11-25,1275
2015-11-26,1275
2015-11-27,1275
2015-11-28,1301
2015-11-29,1301
2015-11-30,1284
2015-12-01,1284
2015-12-02,1284
2015-12-03,1245
2015-12-04,1245
2015-12-05,1245
2015-12-06,1235
2015-12-07,1235
2015-12-08,1235
2015-12-09,1221
2015-12-10,1221
2015-12-11,1237
2015-12-12,1237
2015-12-13,1255
2015-12-14,1255
2015-12-15,1272
2015-12-16,1272
2015-12-17,1272
2015-12-18,1280
2015-12-19,1280
2015-12-20,1289
2015-12-21,1289
2015-12-22,1309
2015-12-23,1309
2015-12-24,1329
2015-12-25,1329
2015-12-26,1337
2015-12-27,1337
2015-12-28,1363
2015-12-29,1363
2015-12-30,1380
2015-12-31,1380
2016-01-01,1380
2016-01-02,1412
2016-01-03,1412
2016-01-04,1443
2016-01-05,1443
2016-01-06,1470
2016-01-07,1470
2016-01-08,1464
2016-01-09,1464
2016-01-10,1464
2016-01-11,1464
2016-01-12,1458
2016-01-13,1458
