date_obj,Black%20d'hide%20vambraces price
2015-03-26,2528
2015-03-27,2528
2015-03-28,2430
2015-03-29,2501
2015-03-30,2554
2015-03-31,2519
2015-04-01,2505
2015-04-02,2507
2015-04-03,2569
2015-04-04,2596
2015-04-05,2625
2015-04-06,2707
2015-04-07,2782
2015-04-08,2761
2015-04-09,2802
2015-04-10,2775
2015-04-11,2875
2015-04-12,2935
2015-04-13,2974
2015-04-14,2975
2015-04-15,3030
2015-04-16,3066
2015-04-17,2936
2015-04-18,2822
2015-04-19,2749
2015-04-20,2738
2015-04-21,2704
2015-04-22,2660
2015-04-23,2550
2015-04-24,2614
2015-04-25,2639
2015-04-26,2694
2015-04-27,2748
2015-04-28,2678
2015-04-29,2678
2015-04-30,2735
2015-05-01,2822
2015-05-02,2865
2015-05-03,2861
2015-05-04,2781
2015-05-05,2677
2015-05-06,2588
2015-05-07,2573
2015-05-08,2556
2015-05-09,2509
2015-05-10,2474
2015-05-11,2464
2015-05-12,2400
2015-05-13,2483
2015-05-14,2565
2015-05-15,2676
2015-05-16,2699
2015-05-17,2813
2015-05-18,2881
2015-05-19,2736
2015-05-20,2599
2015-05-21,2510
2015-05-22,2514
2015-05-23,2549
2015-05-24,2572
2015-05-25,2619
2015-05-26,2746
2015-05-27,2774
2015-05-28,2684
2015-05-29,2554
2015-05-30,2519
2015-05-31,2413
2015-06-01,2403
2015-06-02,2419
2015-06-03,2499
2015-06-04,2551
2015-06-05,2654
2015-06-06,2742
2015-06-07,2738
2015-06-08,2688
2015-06-09,2678
2015-06-10,2763
2015-06-11,2805
2015-06-12,2776
2015-06-13,2699
2015-06-14,2646
2015-06-15,2625
2015-06-16,2623
2015-06-17,2602
2015-06-18,2657
2015-06-19,2679
2015-06-20,2701
2015-06-21,2695
2015-06-22,2726
2015-06-23,2751
2015-06-24,2733
2015-06-25,2664
2015-06-26,2693
2015-06-27,2689
2015-06-28,2668
2015-06-29,2534
2015-06-30,2549
2015-07-01,2536
2015-07-02,2599
2015-07-03,2632
2015-07-04,2662
2015-07-05,2743
2015-07-06,2804
2015-07-07,2824
2015-07-08,2881
2015-07-09,2960
2015-07-10,3029
2015-07-11,2964
2015-07-12,2881
2015-07-13,2745
2015-07-14,2621
2015-07-15,2525
2015-07-16,2489
2015-07-17,2493
2015-07-18,2567
2015-07-19,2610
2015-07-20,2639
2015-07-21,2708
2015-07-22,2736
2015-07-23,2845
2015-07-24,2885
2015-07-25,2917
2015-07-26,2946
2015-07-27,2927
2015-07-28,2848
2015-07-29,2760
2015-07-30,2786
2015-07-31,2790
2015-08-01,2833
2015-08-02,2872
2015-08-03,2816
2015-08-04,2745
2015-08-05,2716
2015-08-06,2638
2015-08-07,2507
2015-08-08,2491
2015-08-09,2587
2015-08-10,2616
2015-08-11,2605
2015-08-12,2553
2015-08-13,2594
2015-08-14,2620
2015-08-15,2693
2015-08-16,2662
2015-08-17,2720
2015-08-18,2729
2015-08-19,2682
2015-08-20,2637
2015-08-21,2651
2015-08-22,2678
2015-08-23,2678
2015-08-24,2660
2015-08-25,2653
2015-08-26,2690
2015-08-27,2718
2015-08-28,2753
2015-08-29,2708
2015-08-30,2603
2015-08-31,2611
2015-09-01,2630
2015-09-02,2594
2015-09-03,2598
2015-09-04,2596
2015-09-05,2601
2015-09-06,2619
2015-09-07,2562
2015-09-08,2515
2015-09-09,2510
2015-09-10,2504
2015-09-11,2511
2015-09-12,2591
2015-09-13,2707
2015-09-14,2835
2015-09-15,2920
2015-09-16,2936
2015-09-17,2890
2015-09-18,2782
2015-09-19,2650
2015-09-20,2517
2015-09-21,2502
2015-09-22,2404
2015-09-23,2459
2015-09-24,2508
2015-09-25,2468
2015-09-27,2507
2015-09-28,2503
2015-09-29,2527
2015-09-30,2569
2015-10-05,2718
2015-10-06,2672
2015-10-07,2661
2015-10-08,2591
2015-10-09,2628
2015-10-10,2645
2015-10-11,2590
2015-10-12,2571
2015-10-13,2563
2015-10-14,2544
2015-10-15,2617
2015-10-16,2692
2015-10-17,2699
2015-10-18,2721
2015-10-19,2743
2015-10-20,2778
2015-10-22,2899
2015-10-23,2983
2015-10-24,3043
2015-10-25,3032
2015-10-26,2975
2015-10-27,2903
2015-10-28,2815
2015-10-29,2675
2015-10-30,2541
2015-10-31,2449
2015-11-01,2491
2015-11-02,2524
2015-11-03,2499
2015-11-04,2530
2015-11-05,2604
2015-11-06,2640
2015-11-07,2664
2015-11-08,2699
2015-11-09,2687
2015-11-10,2740
2015-11-11,2753
2015-11-12,2775
2015-11-13,2774
2015-11-14,2811
2015-11-15,2836
2015-11-16,2758
2015-11-17,2792
2015-11-18,2891
2015-11-19,3006
2015-11-20,3094
2015-11-21,3201
2015-11-22,3324
2015-11-23,3332
2015-11-24,3256
2015-11-25,3101
2015-11-26,3018
2015-11-27,2965
2015-11-28,2993
2015-11-29,3039
2015-11-30,3063
2015-12-01,2972
2015-12-02,2949
2015-12-03,2948
2015-12-04,2898
2015-12-05,2930
2015-12-06,2941
2015-12-07,2921
2015-12-08,2927
2015-12-09,3005
2015-12-10,3088
2015-12-11,3148
2015-12-12,3078
2015-12-13,3010
2015-12-14,2975
2015-12-15,3047
2015-12-16,3119
2015-12-17,3116
2015-12-18,3102
2015-12-19,3063
2015-12-20,3011
2015-12-21,3001
2015-12-22,2877
2015-12-23,2769
