date_obj,Torag's%20platelegs price
2015-03-26,361865
2015-03-27,354835
2015-03-28,348087
2015-03-29,359392
2015-03-30,365793
2015-03-31,377388
2015-04-01,390945
2015-04-02,405721
2015-04-03,397200
2015-04-04,393495
2015-04-05,385281
2015-04-06,377001
2015-04-07,372635
2015-04-08,367637
2015-04-09,363563
2015-04-10,374415
2015-04-11,383110
2015-04-12,387489
2015-04-13,392206
2015-04-14,386329
2015-04-15,389673
2015-04-16,388219
2015-04-17,392688
2015-04-18,394207
2015-04-19,388794
2015-04-20,384176
2015-04-21,377504
2015-04-22,370080
2015-04-23,364551
2015-04-24,364380
2015-04-25,371154
2015-04-26,370567
2015-04-27,374428
2015-04-28,380600
2015-04-29,380548
2015-04-30,380472
2015-05-01,392348
2015-05-02,404467
2015-05-03,410085
2015-05-04,405830
2015-05-05,410510
2015-05-06,407500
2015-05-07,403322
2015-05-08,397726
2015-05-09,392189
2015-05-10,401468
2015-05-11,400390
2015-05-12,394985
2015-05-13,404668
2015-05-14,401743
2015-05-15,407226
2015-05-16,405188
2015-05-17,397755
2015-05-18,389525
2015-05-19,379614
2015-05-20,371571
2015-05-21,361174
2015-05-22,358181
2015-05-23,373472
2015-05-24,383188
2015-05-25,390063
2015-05-26,391032
2015-05-27,392679
2015-05-28,395169
2015-05-29,388338
2015-05-30,381544
2015-05-31,379148
2015-06-01,381624
2015-06-02,378724
2015-06-03,375411
2015-06-04,377137
2015-06-05,375120
2015-06-06,369877
2015-06-07,374774
2015-06-08,381634
2015-06-09,384827
2015-06-10,384124
2015-06-11,379450
2015-06-12,386257
2015-06-13,394044
2015-06-14,396546
2015-06-15,388680
2015-06-16,384390
2015-06-17,378957
2015-06-18,369318
2015-06-19,360839
2015-06-20,362738
2015-06-21,366676
2015-06-22,368211
2015-06-23,356914
2015-06-24,353508
2015-06-25,342937
2015-06-26,342767
2015-06-27,346549
2015-06-28,349536
2015-06-29,353008
2015-06-30,345477
2015-07-01,337647
2015-07-02,332887
2015-07-03,333549
2015-07-04,332748
2015-07-05,337433
2015-07-06,329200
2015-07-07,324357
2015-07-08,318944
2015-07-09,311621
2015-07-10,314472
2015-07-11,316840
2015-07-12,321327
2015-07-13,328989
2015-07-14,329060
2015-07-15,339740
2015-07-16,345071
2015-07-17,345272
2015-07-18,338354
2015-07-19,339514
2015-07-20,339433
2015-07-21,330199
2015-07-22,327908
2015-07-23,332832
2015-07-24,333274
2015-07-25,323013
2015-07-26,319831
2015-07-27,320217
2015-07-28,316367
2015-07-29,317576
2015-07-30,316690
2015-07-31,315402
2015-08-01,319010
2015-08-02,323870
2015-08-03,314654
2015-08-04,314746
2015-08-05,320649
2015-08-06,328526
2015-08-07,333531
2015-08-08,342665
2015-08-09,331915
2015-08-10,320713
2015-08-11,315734
2015-08-12,321687
2015-08-13,327669
2015-08-14,328347
2015-08-15,322512
2015-08-16,315989
2015-08-17,313593
2015-08-18,317896
2015-08-19,324401
2015-08-20,318765
2015-08-21,322297
2015-08-22,326385
2015-08-23,315919
2015-08-24,307693
2015-08-25,299210
2015-08-26,292615
2015-08-27,292699
2015-08-28,300556
2015-08-29,313558
2015-08-30,308285
2015-08-31,309248
2015-09-01,311380
2015-09-02,306879
2015-09-03,309828
2015-09-04,317562
2015-09-05,320408
2015-09-06,324135
2015-09-07,320594
2015-09-08,311871
2015-09-09,306063
2015-09-10,305060
2015-09-11,309595
2015-09-12,305963
2015-09-13,312790
2015-09-14,317735
2015-09-15,316928
2015-09-16,328773
2015-09-17,330015
2015-09-18,327765
2015-09-19,338139
2015-09-20,328278
2015-09-21,326240
2015-09-22,324064
2015-09-23,322010
2015-09-24,333400
2015-09-25,327428
2015-09-27,339607
2015-09-28,346424
2015-09-29,338969
2015-09-30,337125
2015-10-05,332146
2015-10-06,337579
2015-10-07,335028
2015-10-08,338231
2015-10-09,348927
2015-10-10,338144
2015-10-11,337883
2015-10-12,347821
2015-10-13,351559
2015-10-14,351390
2015-10-15,356494
2015-10-16,373494
2015-10-17,366402
2015-10-18,361844
2015-10-19,364292
2015-10-20,365580
2015-10-22,368209
2015-10-23,377787
2015-10-24,369193
2015-10-25,360500
2015-10-26,364245
2015-10-27,374566
2015-10-29,405791
2015-10-30,405797
2015-10-31,394636
2015-11-01,404034
2015-11-02,410378
2015-11-03,420831
2015-11-04,407154
2015-11-05,390909
2015-11-06,376183
2015-11-07,364628
2015-11-08,351825
2015-11-09,356269
2015-11-10,364038
2015-11-11,360367
2015-11-12,348296
2015-11-13,338098
2015-11-14,329258
2015-11-15,327692
2015-11-16,335349
2015-11-17,344860
2015-11-18,345744
2015-11-19,348366
2015-11-20,348936
2015-11-21,353450
2015-11-22,353738
2015-11-23,361617
2015-11-24,365357
2015-11-25,362912
2015-11-26,367919
2015-11-27,365394
2015-11-28,371731
2015-11-29,367003
2015-11-30,376223
2015-12-01,379458
2015-12-02,389607
2015-12-03,404415
2015-12-04,416639
2015-12-05,422218
2015-12-06,420827
2015-12-07,417593
2015-12-08,410627
2015-12-09,419972
2015-12-10,432577
2015-12-11,441189
2015-12-13,463948
2015-12-14,475801
2015-12-15,488136
2015-12-16,501217
2015-12-17,507458
2015-12-18,523693
2015-12-19,530870
2015-12-20,539961
2015-12-21,546842
2015-12-22,553528
2015-12-23,553666
2015-12-24,551351
2015-12-25,548463
2015-12-26,543115
2015-12-27,539065
2015-12-28,540757
2015-12-29,545245
2015-12-30,529646
2015-12-31,515050
2016-01-01,499924
2016-01-02,507427
2016-01-03,508354
2016-01-04,504404
2016-01-05,487471
2016-01-06,489882
2016-01-07,484492
2016-01-08,484295
2016-01-09,507339
2016-01-10,516179
2016-01-11,512683
2016-01-12,504586
2016-01-13,499100
2016-01-14,491616
2016-01-15,488712
2016-01-16,491352
2016-01-17,490093
2016-01-18,493743
2016-01-19,491079
2016-01-20,487269
2016-01-21,491544
2016-01-22,496995
2016-01-23,500396
2016-01-24,504662
2016-01-25,506866
2016-01-26,516040
2016-01-27,520499
2016-01-28,506179
2016-01-29,496906
2016-01-30,500233
2016-01-31,503228
2016-02-01,494643
2016-02-02,491707
2016-02-03,492217
2016-02-04,484957
2016-02-05,481622
2016-02-06,466315
2016-02-07,459273
2016-02-08,455639
2016-02-09,462580
2016-02-10,469465
2016-02-11,460307
2016-02-12,472217
2016-02-13,483024
2016-02-14,490699
2016-02-15,491353
2016-02-16,479557
2016-02-17,469811
2016-02-18,454802
2016-02-19,446134
2016-02-20,440282
2016-02-21,444827
2016-02-22,436992
2016-02-23,436484
2016-02-24,440417
2016-02-25,448834
2016-02-26,450283
2016-02-27,460566
2016-02-28,454705
2016-02-29,454428
2016-03-01,446330
2016-03-02,444568
2016-03-03,446206
2016-03-04,442572
2016-03-05,433809
2016-03-06,427140
2016-03-07,429675
2016-03-08,429363
2016-03-09,435852
2016-03-10,436662
2016-03-11,430410
2016-03-12,434649
2016-03-13,438938
2016-03-14,437119
2016-03-15,428784
2016-03-16,426987
2016-03-17,409491
2016-03-18,412640
2016-03-19,411937
2016-03-20,410176
2016-03-21,402316
2016-03-22,395139
2016-03-23,388873
2016-03-24,395579
2016-03-25,405494
2016-03-26,395558
2016-03-27,395777
2016-03-28,393869
2016-03-29,383489
2016-03-30,376022
2016-03-31,387151
2016-04-01,378381
2016-04-02,368141
2016-04-03,353591
2016-04-04,364360
2016-04-05,380533
2016-04-06,376936
2016-04-07,368031
2016-04-08,373536
2016-04-09,384425
2016-04-10,389123
2016-04-11,392053
2016-04-12,392285
