date_obj,Uncooked%20dragonfruit%20pie price
2019-01-10,3500
2019-01-10,3500
2019-01-11,3500
2019-01-12,3613
2019-01-13,3613
2019-01-14,3613
2019-01-15,3613
2019-01-16,3613
2019-01-17,3613
2019-01-18,3613
2019-01-19,3613
2019-01-20,3507
2019-01-21,3507
2019-01-22,3507
2019-01-23,3507
2019-01-24,3507
2019-01-25,3507
2019-01-26,3507
2019-01-28,3507
2019-01-29,3507
2019-01-30,3507
2019-01-31,3351
2019-02-01,3351
2019-02-02,3351
2019-02-03,3351
2019-02-04,3351
2019-02-05,3351
2019-02-06,3351
2019-02-07,3351
2019-02-08,3351
2019-02-09,3351
2019-02-10,3351
2019-02-11,3351
2019-02-12,3187
2019-02-13,3187
2019-02-14,3187
2019-02-15,3187
2019-02-16,3187
2019-02-17,3187
2019-02-18,3187
2019-02-19,3187
2019-02-20,3187
2019-02-21,3187
2019-02-22,3187
2019-02-23,3187
2019-02-24,3187
2019-02-25,3187
2019-02-26,3037
2019-02-27,3037
2019-02-28,3037
2019-03-01,3037
2019-03-02,3037
2019-03-03,3037
2019-03-04,3037
2019-03-05,3037
2019-03-06,2893
2019-03-07,2893
2019-03-08,2893
2019-03-09,2893
2019-03-10,2893
2019-03-11,2893
2019-03-12,2893
2019-03-13,2893
2019-03-14,2893
2019-03-15,2893
2019-03-16,2893
2019-03-17,2893
2019-03-18,2893
2019-03-19,2893
2019-03-20,2754
2019-03-21,2754
2019-03-22,2754
2019-03-23,2754
2019-03-24,2754
2019-03-25,2754
2019-03-26,2754
2019-03-27,2754
2019-03-28,2754
2019-03-29,2754
2019-03-30,2754
2019-03-31,2754
2019-04-01,2754
2019-04-02,2754
2019-04-03,2754
2019-04-04,2754
2019-04-05,2754
2019-04-06,2754
2019-04-07,2754
2019-04-08,2754
2019-04-09,2754
2019-04-10,2623
2019-04-11,2623
2019-04-12,2623
2019-04-13,2623
2019-04-14,2623
2019-04-15,2623
2019-04-16,2623
2019-04-17,2623
2019-04-18,2623
2019-04-19,2623
2019-04-20,2623
2019-04-21,2623
2019-04-22,2623
2019-04-23,2623
2019-04-24,2623
2019-04-25,2623
2019-04-26,2500
2019-04-27,2500
2019-04-28,2500
2019-04-29,2500
2019-04-30,2500
2019-05-01,2500
2019-05-02,2500
2019-05-03,2500
2019-05-04,2500
2019-05-05,2500
2019-05-06,2500
2019-05-07,2500
2019-05-08,2500
2019-05-09,2500
2019-05-10,2500
2019-05-11,2500
2019-05-12,2500
2019-05-13,2500
2019-05-14,2449
2019-05-15,2449
2019-05-16,2449
2019-05-17,2449
2019-05-18,2449
2019-05-19,2449
2019-05-20,2449
2019-05-21,2449
2019-05-22,2449
2019-05-23,2449
2019-05-24,2449
2019-05-25,2449
2019-05-26,2449
2019-05-27,2449
2019-05-28,2449
2019-05-29,2449
2019-05-30,2384
2019-05-31,2384
2019-06-01,2384
2019-06-02,2384
2019-06-03,2384
2019-06-04,2384
2019-06-05,2384
2019-06-06,2384
2019-06-07,2384
2019-06-08,2384
2019-06-09,2384
2019-06-10,2384
2019-06-11,2384
2019-06-12,2384
2019-06-13,2384
2019-06-14,2387
2019-06-15,2387
2019-06-16,2387
2019-06-17,2387
2019-06-18,2387
2019-06-19,2387
2019-06-20,2387
2019-06-21,2387
2019-06-22,2387
2019-06-23,2387
2019-06-24,2387
2019-06-25,2387
2019-06-26,2387
2019-06-27,2387
2019-06-28,2387
2019-06-29,2387
2019-06-30,2313
2019-07-01,2313
2019-07-02,2313
2019-07-03,2313
2019-07-04,2313
2019-07-05,2313
2019-07-06,2313
2019-07-07,2313
2019-07-08,2313
2019-07-09,2313
2019-07-10,2313
2019-07-11,2313
2019-07-12,2313
2019-07-13,2313
2019-07-14,2313
2019-07-15,2313
2019-07-16,2313
2019-07-17,2313
2019-07-18,2231
2019-07-19,2231
2019-07-20,2231
2019-07-21,2231
2019-07-22,2231
2019-07-23,2231
2019-07-24,2231
2019-07-25,2231
2019-07-26,2231
2019-07-27,2231
2019-07-28,2231
2019-07-29,2231
2019-07-30,2231
2019-07-31,2231
2019-08-01,2231
2019-08-02,2231
2019-08-03,2231
2019-08-04,2231
2019-08-05,2231
2019-08-06,2231
2019-08-07,2231
2019-08-08,2231
2019-08-09,2231
2019-08-10,2270
2019-08-11,2270
2019-08-12,2270
2019-08-13,2270
2019-08-14,2270
2019-08-15,2270
2019-08-16,2270
2019-08-17,2270
2019-08-18,2270
2019-08-19,2270
2019-08-20,2270
2019-08-21,2270
2019-08-22,2270
2019-08-23,2270
2019-08-24,2221
2019-08-24,2221
2019-08-25,2221
2019-08-25,2221
2019-08-26,2221
2019-08-26,2221
2019-08-27,2221
2019-08-27,2221
2019-08-28,2221
2019-08-29,2221
2019-08-30,2221
2019-08-31,2221
2019-09-01,2221
2019-09-02,2221
2019-09-03,2111
2019-09-04,2111
2019-09-05,2111
2019-09-06,2111
2019-09-07,2111
2019-09-08,2111
2019-09-09,2111
2019-09-10,2111
2019-09-11,2111
2019-09-12,2111
