date_obj,Greenman's%20ale price
2015-03-26,597
2015-03-27,597
2015-03-28,621
2015-03-29,630
2015-03-30,640
2015-03-31,641
2015-04-01,641
2015-04-02,648
2015-04-03,655
2015-04-04,675
2015-04-05,675
2015-04-06,702
2015-04-07,735
2015-04-08,735
2015-04-09,743
2015-04-10,753
2015-04-11,755
2015-04-12,740
2015-04-13,771
2015-04-14,771
2015-04-15,790
2015-04-16,790
2015-04-17,799
2015-04-18,779
2015-04-19,777
2015-04-20,777
2015-04-21,749
2015-04-22,749
2015-04-23,738
2015-04-24,738
2015-04-25,714
2015-04-26,714
2015-04-27,713
2015-04-28,735
2015-04-29,735
2015-04-30,730
2015-05-01,737
2015-05-02,741
2015-05-03,741
2015-05-04,760
2015-05-05,760
2015-05-06,783
2015-05-07,819
2015-05-08,819
2015-05-09,860
2015-05-10,896
2015-05-11,896
2015-05-12,914
2015-05-13,914
2015-05-14,875
2015-05-15,875
2015-05-16,831
2015-05-17,792
2015-05-18,790
2015-05-19,790
2015-05-20,818
2015-05-21,818
2015-05-22,809
2015-05-23,809
2015-05-24,768
2015-05-25,756
2015-05-26,780
2015-05-27,798
2015-05-28,807
2015-05-29,810
2015-05-30,816
2015-05-31,784
2015-06-01,766
2015-06-02,766
2015-06-03,789
2015-06-04,773
2015-06-05,797
2015-06-06,806
2015-06-07,782
2015-06-08,782
2015-06-09,751
2015-06-10,713
2015-06-11,713
2015-06-12,702
2015-06-13,727
2015-06-14,746
2015-06-15,769
2015-06-16,772
2015-06-17,777
2015-06-18,789
2015-06-19,822
2015-06-20,835
2015-06-21,835
2015-06-22,822
2015-06-23,781
2015-06-24,752
2015-06-25,752
2015-06-26,781
2015-06-27,781
2015-06-28,811
2015-06-29,811
2015-06-30,821
2015-07-01,818
2015-07-02,818
2015-07-03,786
2015-07-04,791
2015-07-05,788
2015-07-06,794
2015-07-07,826
2015-07-08,842
2015-07-09,842
2015-07-10,835
2015-07-11,832
2015-07-12,832
2015-07-13,863
2015-07-14,857
2015-07-15,857
2015-07-16,889
2015-07-17,893
2015-07-18,893
2015-07-19,914
2015-07-20,904
2015-07-21,944
2015-07-22,949
2015-07-23,949
2015-07-24,906
2015-07-25,860
2015-07-26,822
2015-07-27,780
2015-07-28,744
2015-07-29,722
2015-07-30,741
2015-07-31,741
2015-08-01,766
2015-08-02,763
2015-08-03,754
