date_obj,Teak%20bed%20(flatpack) price
2015-03-05,160
2015-03-06,160
2015-03-07,160
2015-03-08,160
2015-03-09,160
2015-03-10,160
2015-03-11,160
2015-03-12,160
2015-03-13,160
2015-03-14,160
2015-03-15,160
2015-03-16,160
2015-03-17,160
2015-03-18,160
2015-03-19,160
2015-03-20,160
2015-03-21,160
2015-03-22,160
2015-03-23,160
2015-03-24,160
2015-03-25,160
2015-03-26,160
2015-03-27,160
2015-03-28,160
2015-03-29,160
2015-03-30,160
2015-03-31,160
2015-04-01,160
2015-04-02,160
2015-04-03,160
2015-04-04,160
2015-04-05,160
2015-04-06,160
2015-04-07,160
2015-04-08,160
2015-04-09,160
2015-04-10,160
2015-04-11,160
2015-04-12,160
2015-04-13,160
2015-04-14,160
2015-04-15,160
2015-04-16,160
2015-04-17,160
2015-04-18,160
2015-04-19,160
2015-04-20,160
2015-04-21,160
2015-04-22,160
2015-04-23,160
2015-04-24,160
2015-04-25,160
2015-04-26,160
2015-04-27,160
2015-04-28,160
2015-04-29,160
2015-04-30,160
2015-05-01,160
2015-05-02,160
2015-05-03,160
2015-05-04,160
2015-05-05,160
2015-05-06,160
2015-05-07,160
2015-05-08,160
2015-05-09,160
2015-05-10,160
2015-05-11,160
2015-05-12,160
2015-05-13,160
2015-05-14,160
2015-05-15,160
2015-05-16,160
2015-05-17,160
2015-05-18,160
2015-05-19,160
2015-05-20,160
2015-05-21,160
2015-05-22,160
2015-05-23,160
2015-05-24,160
2015-05-25,160
2015-05-26,160
2015-05-27,160
2015-05-28,160
2015-05-29,160
2015-05-30,160
2015-05-31,160
2015-06-01,160
2015-06-02,160
2015-06-03,160
2015-06-04,160
2015-06-05,160
2015-06-06,160
2015-06-07,160
2015-06-08,160
2015-06-09,160
2015-06-10,160
2015-06-11,160
2015-06-12,160
2015-06-13,160
2015-06-14,160
2015-06-15,160
2015-06-16,160
2015-06-17,160
2015-06-18,160
2015-06-19,160
2015-06-20,160
2015-06-21,160
2015-06-22,160
2015-06-23,160
2015-06-24,167
2015-06-25,167
2015-06-26,167
2015-06-27,167
2015-06-28,167
2015-06-29,167
2015-06-30,167
2015-07-01,167
2015-07-02,167
2015-07-03,167
2015-07-04,167
2015-07-05,167
2015-07-06,167
2015-07-07,167
2015-07-08,167
2015-07-09,167
2015-07-10,167
2015-07-11,167
2015-07-12,167
2015-07-13,167
2015-07-14,167
2015-07-15,167
2015-07-16,167
2015-07-17,167
2015-07-18,167
2015-07-19,167
2015-07-20,167
2015-07-21,167
2015-07-22,167
2015-07-23,167
2015-07-24,167
2015-07-25,167
2015-07-26,167
2015-07-27,167
2015-07-28,167
2015-07-29,167
2015-07-30,167
2015-07-31,167
2015-08-01,167
2015-08-02,167
2015-08-03,167
2015-08-04,167
2015-08-05,167
2015-08-06,167
2015-08-07,167
2015-08-08,167
2015-08-09,167
2015-08-10,167
2015-08-11,167
2015-08-12,167
2015-08-13,167
2015-08-14,167
2015-08-15,167
2015-08-16,167
2015-08-17,167
2015-08-18,167
2015-08-19,167
2015-08-20,167
2015-08-21,167
