date_obj,Mystic%20robe%20bottom%20(dark) price
2015-03-04,53990
2015-03-05,54851
2015-03-06,54756
2015-03-07,54314
2015-03-08,54899
2015-03-09,55316
2015-03-10,54140
2015-03-11,52209
2015-03-12,52618
2015-03-13,53459
2015-03-14,54349
2015-03-15,54527
2015-03-16,54744
2015-03-17,54570
2015-03-18,54570
2015-03-19,54622
2015-03-20,54792
2015-03-21,53667
2015-03-22,53276
2015-03-23,53491
2015-03-24,53405
2015-03-25,54212
2015-03-26,54093
2015-03-27,54093
2015-03-28,53736
2015-03-29,52906
2015-03-30,52380
2015-03-31,52904
2015-04-01,52904
2015-04-02,52544
2015-04-03,53710
2015-04-04,53123
2015-04-05,52640
2015-04-06,53135
2015-04-07,53978
2015-04-08,53978
2015-04-09,53588
2015-04-10,53753
2015-04-11,53070
2015-04-12,52433
2015-04-13,53958
2015-04-14,54642
2015-04-15,53758
2015-04-16,54292
2015-04-17,53250
2015-04-18,52425
2015-04-19,52429
2015-04-20,52429
2015-04-21,52860
2015-04-22,52860
2015-04-23,54179
2015-04-24,54620
2015-04-25,55329
2015-04-26,56160
2015-04-27,56127
2015-04-28,55025
2015-04-29,55025
2015-04-30,53550
2015-05-01,53407
2015-05-02,53473
2015-05-03,53473
2015-05-04,52435
2015-05-05,53015
2015-05-06,54136
2015-05-07,54068
2015-05-08,53295
2015-05-09,53888
2015-05-10,53443
2015-05-11,53443
2015-05-12,52621
2015-05-13,53872
2015-05-14,54295
2015-05-15,54539
2015-05-16,54539
2015-05-17,53909
2015-05-18,53629
2015-05-19,53430
2015-05-20,53430
2015-05-21,53341
2015-05-22,53868
2015-05-23,53694
2015-05-24,53981
2015-05-25,54108
2015-05-26,55069
2015-05-27,54942
2015-05-28,54632
2015-05-29,54630
2015-05-30,54121
2015-05-31,54109
2015-06-01,53891
2015-06-02,53891
2015-06-03,53621
2015-06-04,53474
2015-06-05,53200
2015-06-06,53243
2015-06-07,52794
2015-06-08,53354
2015-06-09,53521
2015-06-10,53389
2015-06-11,53704
2015-06-12,53729
2015-06-13,54025
2015-06-14,54283
2015-06-15,54404
2015-06-16,54343
2015-06-17,54555
2015-06-18,54347
2015-06-19,53780
2015-06-20,53011
2015-06-21,52719
2015-06-22,53191
2015-06-23,52809
2015-06-24,52558
2015-06-25,52558
2015-06-26,52817
2015-06-27,53573
2015-06-28,53449
2015-06-29,54167
2015-06-30,54279
2015-07-01,53539
2015-07-02,53539
2015-07-03,52736
2015-07-04,51768
2015-07-05,52570
2015-07-06,52586
2015-07-07,52282
2015-07-08,53628
2015-07-09,53628
2015-07-10,54060
2015-07-11,53618
2015-07-12,54284
2015-07-13,53644
2015-07-14,53075
2015-07-15,53075
2015-07-16,53996
2015-07-17,53172
2015-07-18,53698
2015-07-19,53470
2015-07-20,53661
2015-07-21,54412
2015-07-22,54877
2015-07-23,54877
2015-07-24,55095
2015-07-25,55018
2015-07-26,53634
2015-07-27,52416
2015-07-28,52398
2015-07-29,53378
2015-07-30,54382
2015-07-31,53071
2015-08-01,54040
2015-08-02,53983
2015-08-03,52906
2015-08-04,53554
2015-08-05,53270
2015-08-06,53520
2015-08-07,55054
2015-08-08,54958
2015-08-09,54045
2015-08-10,53566
2015-08-11,54206
2015-08-12,55074
2015-08-13,55009
2015-08-14,55036
2015-08-15,54151
2015-08-16,53497
2015-08-17,54321
2015-08-18,55462
2015-08-19,54480
2015-08-20,53554
2015-08-21,53854
2015-08-22,53824
2015-08-23,54070
2015-08-24,53929
2015-08-25,53929
2015-08-26,53175
2015-08-27,53989
2015-08-28,53605
2015-08-29,54211
2015-08-30,54070
2015-08-31,54542
2015-09-02,54711
2015-09-07,54157
2015-09-08,52902
2015-09-10,51898
2015-09-14,54800
2015-09-16,55858
2015-09-22,52086
2015-09-23,52892
2015-09-24,52892
2015-09-25,52869
2015-09-27,54684
2015-09-28,55246
2015-09-29,54393
2015-09-30,54246
2015-10-05,54531
2015-10-06,53845
2015-10-07,53959
2015-10-08,54056
2015-10-09,53673
2015-10-10,53673
2015-10-11,53295
2015-10-12,52687
2015-10-13,53660
2015-10-14,54108
2015-10-15,54139
2015-10-16,53962
2015-10-17,53962
2015-10-18,54073
2015-10-19,54272
2015-10-20,54030
2015-10-22,53529
2015-10-23,53407
2015-10-24,52799
2015-10-25,52986
2015-10-26,53367
2015-10-27,53012
2015-10-29,54095
2015-10-30,54136
2015-10-31,54217
2015-11-01,54217
2015-11-02,54086
2015-11-03,53786
2015-11-04,53654
2015-11-05,53756
2015-11-06,54441
2015-11-07,54109
2015-11-08,53649
2015-11-09,54117
2015-11-10,54129
2015-11-11,54203
2015-11-12,54135
2015-11-13,54171
2015-11-14,54208
2015-11-15,53949
2015-11-16,53778
2015-11-17,54886
2015-11-18,54688
2015-11-19,54293
2015-11-20,54168
2015-11-21,54168
2015-11-22,54266
2015-11-23,54266
2015-11-24,53931
2015-11-25,54528
2015-11-26,54882
2015-11-27,54421
2015-11-28,54138
2015-11-29,54260
2015-11-30,54806
2015-12-01,54173
2015-12-02,54250
2015-12-03,54645
2015-12-04,54868
2015-12-05,55389
2015-12-06,54882
2015-12-07,54556
2015-12-08,54580
2015-12-09,54301
2015-12-10,53950
2015-12-11,54068
2015-12-12,53760
2015-12-13,54038
2015-12-14,54066
2015-12-15,54000
2015-12-16,53584
2015-12-17,54079
2015-12-18,54348
2015-12-19,54643
2015-12-20,54556
2015-12-21,54587
2015-12-22,54934
2015-12-23,54826
2015-12-24,54297
2015-12-25,54784
2015-12-26,54938
2015-12-27,54487
2015-12-28,54138
2015-12-29,54003
2015-12-30,53989
2015-12-31,53897
2016-01-01,53482
2016-01-02,53604
2016-01-03,53325
2016-01-04,53861
2016-01-05,53927
2016-01-06,53754
2016-01-07,53274
2016-01-08,52863
2016-01-09,53347
2016-01-10,52785
2016-01-11,53251
2016-01-12,53987
2016-01-13,54508
2016-01-14,54151
2016-01-15,53910
2016-01-16,54339
2016-01-17,54045
2016-01-18,54632
2016-01-19,53968
2016-01-20,53806
2016-01-21,54014
2016-01-22,53987
2016-01-23,53893
2016-01-24,54091
2016-01-25,54019
2016-01-26,53513
2016-01-27,54269
2016-01-28,53859
2016-01-29,54366
2016-01-30,54589
2016-01-31,55505
2016-02-01,55207
2016-02-02,54929
2016-02-03,55297
2016-02-04,56195
2016-02-05,55728
2016-02-06,55003
2016-02-07,53513
2016-02-08,53448
2016-02-09,53081
2016-02-10,52594
2016-02-11,52586
2016-02-12,52690
2016-02-13,52431
2016-02-14,52546
2016-02-15,52782
2016-02-16,52242
2016-02-17,52731
2016-02-18,52662
2016-02-19,53261
2016-02-20,54214
2016-02-21,54669
2016-02-22,54682
2016-02-23,55599
2016-02-24,55228
2016-02-25,55592
2016-02-26,55216
2016-02-27,54734
2016-02-28,53984
2016-02-29,53660
2016-03-01,53624
2016-03-02,53190
2016-03-03,52085
2016-03-04,52242
2016-03-05,52505
2016-03-06,52251
2016-03-07,52651
2016-03-08,52778
2016-03-09,52780
2016-03-10,52851
2016-03-11,53099
2016-03-12,53982
2016-03-13,53683
2016-03-14,53822
2016-03-15,53743
2016-03-16,53476
2016-03-17,53722
2016-03-18,53253
2016-03-19,53537
2016-03-20,53467
2016-03-21,54390
2016-03-22,54855
2016-03-23,54599
2016-03-24,54662
2016-03-25,54652
2016-03-26,56967
2016-03-27,57284
2016-03-28,57181
2016-03-29,55832
2016-03-30,55026
2016-03-31,54867
2016-04-01,54687
2016-04-02,53573
2016-04-03,54292
2016-04-04,54874
2016-04-05,54563
2016-04-06,53875
2016-04-07,53137
2016-04-08,54574
2016-04-09,54668
2016-04-10,54093
2016-04-11,54093
2016-04-12,54880
2016-04-13,54755
2016-04-14,54146
2016-04-15,53722
2016-04-16,53509
2016-04-17,53559
2016-04-18,53912
2016-04-19,54475
2016-04-20,54666
2016-04-21,54928
2016-04-22,56208
2016-04-23,55632
2016-04-24,55082
2016-04-25,53860
2016-04-26,53287
2016-04-27,53448
2016-04-28,54284
2016-04-29,53521
2016-04-30,52425
2016-05-01,53470
2016-05-02,53266
2016-05-03,52949
2016-05-04,52649
2016-05-05,52910
2016-05-06,52872
2016-05-07,53621
2016-05-08,53416
2016-05-09,53504
2016-05-10,53663
2016-05-11,53899
2016-05-12,54844
2016-05-13,54485
2016-05-14,53418
2016-05-15,53708
2016-05-16,54521
2016-05-17,54838
2016-05-18,55108
2016-05-19,54958
2016-05-22,54954
2016-05-23,55345
2016-05-24,55053
2016-05-25,54697
2016-05-26,55300
2016-05-27,55061
2016-05-28,54954
2016-05-29,54116
2016-05-30,54322
2016-05-31,53792
2016-06-01,53194
2016-06-02,53670
2016-06-03,53124
2016-06-04,53137
2016-06-05,53460
2016-06-06,54459
2016-06-07,54849
2016-06-08,54883
2016-06-09,54586
2016-06-10,54848
2016-06-11,54812
2016-06-12,54624
2016-06-13,55304
2016-06-14,54895
2016-06-15,54174
2016-06-16,54246
2016-06-17,54222
2016-06-18,53396
2016-06-19,54072
2016-06-20,54797
2016-06-21,54350
2016-06-22,54901
2016-06-23,55167
2016-06-24,54972
2016-06-25,54639
2016-06-26,54298
2016-06-27,53121
2016-06-28,53235
2016-06-29,53063
2016-06-30,53944
2016-07-01,54030
