date_obj,Rune%20helm%20(h3) price
2015-03-26,37945
2015-03-27,37945
2015-03-28,36047
2015-03-29,34244
2015-03-30,32732
2015-03-31,31321
2015-04-01,31321
2015-04-02,29757
2015-04-03,28269
2015-04-04,26855
2015-04-05,26855
2015-04-06,26021
2015-04-07,25014
2015-04-08,25014
2015-04-09,24021
2015-04-10,23114
2015-04-11,22621
2015-04-12,22145
2015-04-13,21788
2015-04-14,21788
2015-04-15,21346
2015-04-16,20790
2015-04-17,20528
2015-04-18,20277
2015-04-19,20136
2015-04-20,20243
2015-04-21,20663
2015-04-22,20987
2015-04-23,21144
2015-04-24,21512
2015-04-25,21587
2015-04-26,22012
2015-04-27,21539
2015-04-28,21315
2015-04-29,21315
2015-04-30,21660
2015-05-01,22594
2015-05-02,23724
2015-05-03,24911
2015-05-04,26157
2015-05-05,27465
2015-05-06,28839
2015-05-07,29682
2015-05-08,30464
2015-05-09,31090
2015-05-10,31754
2015-05-11,32305
2015-05-12,32253
2015-05-13,30924
2015-05-14,29824
2015-05-15,29089
2015-05-16,27888
2015-05-17,27267
2015-05-18,26980
2015-05-19,25713
2015-05-20,25265
2015-05-21,25712
2015-05-22,25560
2015-05-23,25280
2015-05-24,24826
2015-05-25,24628
2015-05-26,24291
2015-05-27,24412
2015-05-28,24193
2015-05-29,24456
2015-05-30,24770
2015-05-31,25396
2015-06-01,25526
2015-06-02,25526
2015-06-03,24699
2015-06-04,24699
2015-06-05,24305
2015-06-06,23500
2015-06-07,22836
2015-06-08,22836
2015-06-09,22174
2015-06-10,21880
2015-06-11,21880
2015-06-12,21257
2015-06-13,21454
2015-06-14,21626
2015-06-15,21626
2015-06-16,21457
2015-06-17,21457
2015-06-18,21453
2015-06-19,21358
2015-06-20,21087
2015-06-21,21064
2015-06-22,21375
2015-06-23,21512
2015-06-24,21263
2015-06-25,21263
2015-06-26,21095
2015-06-27,21095
2015-06-28,21156
2015-06-29,21156
2015-06-30,20886
2015-07-01,20665
2015-07-02,20665
2015-07-03,20849
2015-07-04,21308
2015-07-05,21329
2015-07-06,22040
2015-07-07,22201
2015-07-08,22307
2015-07-09,22307
2015-07-10,21716
2015-07-11,21716
2015-07-12,21207
2015-07-13,20606
2015-07-14,20606
2015-07-15,20478
2015-07-16,20478
2015-07-17,20701
2015-07-18,21313
2015-07-19,21589
2015-07-20,21939
2015-07-21,21939
2015-07-22,21762
2015-07-23,21762
2015-07-24,21423
2015-07-25,21730
2015-07-26,21730
2015-07-27,21372
2015-07-28,21799
2015-07-29,21895
2015-07-30,21895
2015-07-31,21807
2015-08-01,21807
2015-08-02,21570
2015-08-03,21570
2015-08-04,21708
2015-08-05,21796
2015-08-06,21796
2015-08-07,21257
2015-08-08,21140
2015-08-09,20855
2015-08-10,20978
2015-08-11,21124
2015-08-12,21124
2015-08-13,21029
2015-08-14,21148
2015-08-15,21148
2015-08-16,21269
2015-08-17,21269
2015-08-18,20665
2015-08-19,20369
2015-08-20,20369
2015-08-21,20521
2015-08-22,20521
2015-08-23,20143
2015-08-24,20633
2015-08-25,20633
2015-08-26,20695
2015-08-27,20980
2015-08-28,20980
2015-08-29,21075
2015-08-30,21075
2015-08-31,20367
2015-09-01,20120
2015-09-02,20120
2015-09-03,19895
2015-09-04,19895
2015-09-05,19961
2015-09-06,19961
2015-09-07,20378
2015-09-08,20378
2015-09-09,20056
2015-09-10,20710
2015-09-11,20967
2015-09-12,20967
2015-09-13,21000
2015-09-14,21000
2015-09-15,20601
2015-09-16,20601
2015-09-17,20653
