date_obj,Guthix%20page%201 price
2015-03-26,18791
2015-03-27,18791
2015-03-28,18775
2015-03-29,18809
2015-03-30,18809
2015-03-31,18677
2015-04-01,18677
2015-04-02,18410
2015-04-03,18391
2015-04-04,18657
2015-04-05,18657
2015-04-06,19391
2015-04-07,20282
2015-04-08,20282
2015-04-09,21246
2015-04-10,22242
2015-04-11,22242
2015-04-12,23169
2015-04-13,23169
2015-04-14,24325
2015-04-15,25426
2015-04-16,25426
2015-04-17,26320
2015-04-18,26320
2015-04-19,26961
2015-04-20,26961
2015-04-21,27346
2015-04-22,27346
2015-04-23,26391
2015-04-24,26391
2015-04-25,25398
2015-04-26,25398
2015-04-27,24913
2015-04-28,24913
2015-04-29,25099
2015-04-30,25099
2015-05-01,24898
2015-05-02,24898
2015-05-03,24930
2015-05-04,24930
2015-05-05,25107
2015-05-06,25107
2015-05-07,24493
2015-05-08,24493
2015-05-09,23757
2015-05-10,23757
2015-05-11,22833
2015-05-12,22014
2015-05-13,22014
2015-05-14,21081
2015-05-15,21081
2015-05-16,20424
2015-05-17,20002
2015-05-18,20002
2015-05-19,19646
2015-05-20,19646
2015-05-21,19646
2015-05-22,19165
2015-05-23,19165
2015-05-24,19205
2015-05-25,19205
2015-05-26,19225
2015-05-27,19225
2015-05-28,18549
2015-05-29,17882
2015-05-30,17352
2015-05-31,17352
2015-06-01,16975
2015-06-02,16975
2015-06-03,16822
2015-06-04,16822
2015-06-05,16683
2015-06-06,16494
2015-06-07,16494
2015-06-08,16793
2015-06-09,17379
2015-06-10,17956
2015-06-11,17956
2015-06-12,18801
2015-06-13,19668
2015-06-14,20423
2015-06-15,20423
2015-06-16,21441
2015-06-17,22413
2015-06-18,23534
2015-06-19,23534
2015-06-20,24661
2015-06-21,24661
2015-06-22,25620
2015-06-23,25620
2015-06-24,26858
2015-06-25,26858
2015-06-26,28104
2015-06-27,28104
2015-06-28,29428
2015-06-29,29428
2015-06-30,30817
2015-07-01,31940
2015-07-02,31940
2015-07-03,32823
2015-07-04,32823
2015-07-05,33993
2015-07-06,33993
2015-07-07,35331
2015-07-08,36618
2015-07-09,36618
2015-07-10,37577
2015-07-11,37577
2015-07-12,39273
2015-07-13,40850
2015-07-14,40850
2015-07-15,42195
2015-07-16,42195
2015-07-17,42597
2015-07-18,42597
2015-07-19,42110
2015-07-20,40583
2015-07-21,40583
2015-07-22,39659
2015-07-23,39659
2015-07-24,40504
2015-07-25,40504
2015-07-26,41624
2015-07-27,41624
2015-07-28,42559
2015-07-29,44271
2015-07-30,44271
2015-07-31,46136
2015-08-01,46136
2015-08-02,47832
2015-08-03,47832
2015-08-04,50116
2015-08-05,51709
2015-08-06,51709
2015-08-07,52688
2015-08-08,55058
2015-08-09,55732
2015-08-10,56136
2015-08-11,57102
2015-08-12,57102
2015-08-13,57345
2015-08-14,57321
2015-08-15,57321
2015-08-16,57985
2015-08-17,58513
2015-08-18,58513
2015-08-19,58090
2015-08-20,58090
2015-08-21,58394
2015-08-22,58394
2015-08-23,58790
2015-08-24,58790
2015-08-25,58891
2015-08-26,58891
2015-08-27,58513
2015-08-28,58513
2015-08-29,57295
2015-08-30,57295
2015-08-31,57170
2015-09-01,57170
2015-09-02,57551
2015-09-03,57551
2015-09-04,57117
2015-09-05,57117
2015-09-06,56226
2015-09-07,56226
2015-09-08,53779
2015-09-09,53779
2015-09-10,51602
2015-09-11,51602
2015-09-12,49179
2015-09-13,49179
2015-09-14,46747
2015-09-15,44771
2015-09-16,44771
2015-09-17,42551
2015-09-18,42551
2015-09-19,40423
2015-09-20,40423
2015-09-21,38401
2015-09-22,36607
2015-09-23,35038
2015-09-24,35038
2015-09-25,33386
2015-09-27,31716
2015-09-28,30243
2015-09-29,30243
2015-09-30,28730
2015-10-05,26026
2015-10-06,25095
2015-10-07,25095
2015-10-08,24148
2015-10-09,23215
2015-10-10,23215
2015-10-11,22837
2015-10-12,22837
2015-10-13,22218
2015-10-14,22218
2015-10-15,21970
2015-10-16,21970
