date_obj,Guthix%20coif price
2015-03-26,14263
2015-03-27,14281
2015-03-28,14205
2015-03-29,14132
2015-03-30,13941
2015-03-31,13941
2015-04-01,13832
2015-04-02,13465
2015-04-03,13141
2015-04-04,13284
2015-04-05,13237
2015-04-06,13414
2015-04-07,13786
2015-04-08,14144
2015-04-09,14633
2015-04-10,15030
2015-04-11,15413
2015-04-12,15611
2015-04-13,15809
2015-04-14,16257
2015-04-15,16494
2015-04-16,16636
2015-04-17,16795
2015-04-18,16770
2015-04-19,16973
2015-04-20,17233
2015-04-21,17482
2015-04-22,17468
2015-04-23,17653
2015-04-24,18253
2015-04-25,18452
2015-04-26,18876
2015-04-27,19601
2015-04-28,20227
2015-04-29,20814
2015-04-30,20607
2015-05-01,20437
2015-05-02,20225
2015-05-03,19791
2015-05-04,19630
2015-05-05,19790
2015-05-06,19488
2015-05-07,19213
2015-05-08,19218
2015-05-09,19346
2015-05-10,19821
2015-05-11,20467
2015-05-12,20402
2015-05-13,20656
2015-05-14,20523
2015-05-15,20051
2015-05-16,19983
2015-05-17,19494
2015-05-18,19220
2015-05-19,19233
2015-05-20,19397
2015-05-21,19169
2015-05-22,18842
2015-05-23,18538
2015-05-24,17931
2015-05-25,17676
2015-05-26,17620
2015-05-27,17516
2015-05-28,17614
2015-05-29,17585
2015-05-30,17476
2015-05-31,17187
2015-06-01,17180
2015-06-02,16751
2015-06-03,16430
2015-06-04,15761
2015-06-05,15197
2015-06-06,15145
2015-06-07,14783
2015-06-08,14476
2015-06-09,13943
2015-06-10,13806
2015-06-11,13593
2015-06-12,13323
2015-06-13,13209
2015-06-14,12924
2015-06-15,13052
2015-06-16,13142
2015-06-17,13162
2015-06-18,13439
2015-06-19,13821
2015-06-20,14037
2015-06-21,14565
2015-06-22,15191
2015-06-23,15908
2015-06-24,16570
2015-06-25,16988
2015-06-26,17344
2015-06-27,17475
2015-06-28,17272
2015-06-29,17138
2015-06-30,17171
2015-07-01,17266
2015-07-02,17473
2015-07-03,17716
2015-07-04,17883
2015-07-05,17920
2015-07-06,17890
2015-07-07,18042
2015-07-08,18095
2015-07-09,18265
2015-07-10,18270
2015-07-11,17978
2015-07-12,18100
2015-07-13,18130
2015-07-14,18087
2015-07-15,18318
2015-07-16,18601
2015-07-17,18692
2015-07-18,19064
2015-07-19,19349
2015-07-20,19486
2015-07-21,19857
2015-07-22,20065
2015-07-23,20326
2015-07-24,20326
2015-07-25,20326
2015-07-26,20706
2015-07-27,20875
2015-07-28,20791
2015-07-29,21144
2015-07-30,21365
2015-07-31,21378
2015-08-01,21597
2015-08-02,21751
2015-08-03,21602
2015-08-04,21484
2015-08-05,21526
2015-08-06,21848
2015-08-07,22118
2015-08-08,22090
2015-08-09,22257
2015-08-10,22856
2015-08-11,23158
2015-08-12,23202
2015-08-13,23775
2015-08-14,24026
2015-08-15,24007
2015-08-16,24058
2015-08-17,24111
2015-08-18,24145
2015-08-19,24352
2015-08-20,24308
2015-08-21,24443
2015-08-22,24315
2015-08-23,24177
2015-08-24,24279
2015-08-25,24279
2015-08-26,24633
2015-08-27,24976
2015-08-28,25202
2015-08-29,25475
2015-08-30,25701
2015-08-31,25093
2015-09-01,24909
2015-09-02,24407
2015-09-03,24369
2015-09-04,23729
2015-09-05,23570
2015-09-06,23157
2015-09-07,22954
2015-09-08,22262
2015-09-09,21903
2015-09-10,21350
2015-09-11,21029
2015-09-12,20738
2015-09-13,20801
2015-09-14,20579
2015-09-15,20467
2015-09-16,20636
2015-09-17,20091
2015-09-18,19899
2015-09-19,19668
2015-09-20,19357
2015-09-21,18515
2015-09-22,18262
2015-09-23,17989
2015-09-24,17878
2015-09-25,17613
2015-09-27,17558
2015-09-28,17411
2015-09-29,17116
2015-09-30,16848
2015-10-05,15940
2015-10-06,15925
2015-10-07,15790
2015-10-08,15542
2015-10-09,15397
2015-10-10,15032
2015-10-11,14926
2015-10-12,14670
2015-10-13,14764
2015-10-14,14565
2015-10-15,14452
2015-10-16,14141
2015-10-17,14043
2015-10-18,14115
2015-10-19,14043
2015-10-20,13758
2015-10-22,13943
2015-10-23,14129
2015-10-24,14381
2015-10-25,14583
2015-10-26,15086
2015-10-27,15423
2015-10-29,16710
2015-10-30,17432
2015-10-31,18077
2015-11-01,18481
2015-11-02,18534
2015-11-03,18579
2015-11-04,18206
2015-11-05,17812
2015-11-06,17568
2015-11-07,17688
2015-11-08,17591
2015-11-09,17894
2015-11-10,17485
2015-11-11,17282
2015-11-12,17191
2015-11-13,16962
2015-11-14,16826
2015-11-15,16811
2015-11-16,16586
2015-11-17,16811
2015-11-18,16660
2015-11-19,16719
2015-11-20,17043
2015-11-21,17043
2015-11-22,17515
2015-11-23,17515
2015-11-24,17566
2015-11-25,17871
2015-11-26,17943
2015-11-27,18150
2015-11-28,18689
2015-11-29,18808
2015-11-30,18755
2015-12-01,18681
2015-12-02,18993
2015-12-03,19004
2015-12-04,19470
2015-12-05,19147
2015-12-06,19174
2015-12-07,19306
2015-12-08,19708
2015-12-09,19860
2015-12-10,19670
2015-12-11,19650
2015-12-12,19509
2015-12-13,19186
2015-12-14,19396
2015-12-15,19272
2015-12-16,19179
2015-12-17,19205
2015-12-18,19026
2015-12-19,19097
2015-12-20,19087
2015-12-21,19272
2015-12-22,19312
2015-12-23,19545
2015-12-24,19467
2015-12-25,19426
2015-12-26,19482
2015-12-27,19194
2015-12-28,19398
2015-12-29,19290
2015-12-30,19111
2015-12-31,19038
2016-01-01,19055
2016-01-02,18926
2016-01-03,19266
2016-01-04,19348
2016-01-05,19097
2016-01-06,19204
2016-01-07,19353
2016-01-08,20035
2016-01-09,20100
2016-01-10,20229
2016-01-11,19728
2016-01-12,19377
2016-01-13,19317
2016-01-14,19147
2016-01-15,18826
2016-01-16,18659
2016-01-17,18418
2016-01-18,18413
2016-01-19,18322
2016-01-20,18005
