date_obj,Mithril%20platelegs%20(t) price
2015-03-26,17412
2015-03-27,17412
2015-03-28,16971
2015-03-29,16291
2015-03-30,16291
2015-03-31,15672
2015-04-01,15672
2015-04-02,14939
2015-04-03,14252
2015-04-04,13616
2015-04-05,13616
2015-04-06,13079
2015-04-07,12540
2015-04-08,12540
2015-04-09,12119
2015-04-10,12119
2015-04-11,11566
2015-04-12,11099
2015-04-13,10614
2015-04-14,10614
2015-04-15,10097
2015-04-16,10097
2015-04-17,9788
2015-04-18,9301
2015-04-19,9085
2015-04-20,9085
2015-04-21,8876
2015-04-22,8876
2015-04-23,8660
2015-04-24,8603
2015-04-25,8603
2015-04-26,8355
2015-04-27,8096
2015-04-28,8035
2015-04-29,8035
2015-04-30,7890
2015-05-01,7753
2015-05-02,7781
2015-05-03,7781
2015-05-04,7960
2015-05-05,7878
2015-05-06,7709
2015-05-07,7709
2015-05-08,7407
2015-05-09,7281
2015-05-10,7393
2015-05-11,7393
2015-05-12,7589
2015-05-13,7589
2015-05-14,7450
2015-05-15,7450
2015-05-16,7402
2015-05-17,7620
2015-05-18,7735
2015-05-19,7735
2015-05-20,7735
2015-05-21,8025
2015-05-22,8025
2015-05-23,8090
2015-05-24,7760
2015-05-25,7497
2015-05-26,7314
2015-05-27,7314
2015-05-28,7247
2015-05-29,7247
2015-05-30,7050
2015-05-31,7050
2015-06-01,7050
2015-06-02,7050
2015-06-03,7079
2015-06-04,7079
2015-06-05,6955
2015-06-06,6869
2015-06-07,6824
2015-06-08,6824
2015-06-09,6857
2015-06-10,6663
2015-06-11,6663
2015-06-12,6695
2015-06-13,6438
2015-06-14,6438
2015-06-15,6449
2015-06-16,6449
2015-06-17,6379
2015-06-18,6330
2015-06-19,6330
2015-06-20,6204
2015-06-21,6204
2015-06-22,6343
2015-06-23,6343
2015-06-24,6402
2015-06-25,6402
2015-06-26,6343
2015-06-27,6343
2015-06-28,6291
2015-06-29,6291
2015-06-30,6378
2015-07-01,6378
2015-07-02,6378
2015-07-03,6206
2015-07-04,6206
2015-07-05,6054
2015-07-06,6054
2015-07-07,6163
2015-07-08,6163
2015-07-09,6331
2015-07-10,6331
2015-07-11,6296
2015-07-12,6296
2015-07-13,6217
2015-07-14,6217
2015-07-15,6073
2015-07-16,6073
2015-07-17,5833
2015-07-18,5833
2015-07-19,5577
2015-07-20,5347
2015-07-21,5347
2015-07-22,5224
2015-07-23,5224
2015-07-24,5369
2015-07-25,5369
2015-07-26,5444
2015-07-27,5444
2015-07-28,5356
2015-07-29,5389
2015-07-30,5389
2015-07-31,5333
2015-08-01,5333
2015-08-02,5367
2015-08-03,5367
2015-08-04,5388
2015-08-05,5388
2015-08-06,5295
2015-08-07,5295
2015-08-08,5286
2015-08-09,5286
2015-08-10,5121
2015-08-11,5121
2015-08-12,4999
2015-08-13,4999
2015-08-14,5016
2015-08-15,5016
2015-08-16,5235
2015-08-17,5235
2015-08-18,5423
2015-08-19,5368
2015-08-20,5368
2015-08-21,5249
2015-08-22,5249
2015-08-23,5147
2015-08-24,5328
2015-08-25,5328
2015-08-26,5366
2015-08-27,5424
2015-08-28,5424
2015-08-29,5207
2015-08-30,5207
2015-08-31,5109
2015-09-01,5019
2015-09-02,5019
2015-09-03,5146
2015-09-04,5146
2015-09-05,5298
2015-09-06,5298
2015-09-07,5372
2015-09-08,5372
2015-09-09,5320
2015-09-10,5320
2015-09-11,5339
2015-09-12,5339
2015-09-13,5151
2015-09-14,5151
2015-09-15,4935
2015-09-16,4935
2015-09-17,5071
2015-09-18,5071
2015-09-19,5186
2015-09-20,5186
2015-09-21,5297
2015-09-22,5297
2015-09-23,5167
2015-09-24,5167
2015-09-25,4967
2015-09-27,4868
2015-09-28,4868
2015-09-29,4893
2015-09-30,4893
2015-10-05,4531
2015-10-06,4531
2015-10-07,4616
2015-10-08,4616
2015-10-09,4513
2015-10-10,4513
2015-10-11,4326
2015-10-12,4326
2015-10-13,4134
2015-10-14,4134
2015-10-15,4265
2015-10-16,4265
2015-10-17,4265
2015-10-18,4333
2015-10-19,4333
2015-10-20,4318
2015-10-22,4385
2015-10-23,4385
2015-10-24,4421
2015-10-25,4421
2015-10-26,4561
2015-10-27,4561
2015-10-29,4781
2015-10-30,4781
2015-10-31,4745
2015-11-01,4745
2015-11-02,4616
2015-11-03,4616
2015-11-04,4461
2015-11-05,4461
2015-11-06,4290
2015-11-07,4290
2015-11-08,4119
2015-11-09,4119
2015-11-10,4159
2015-11-11,4101
2015-11-12,4101
2015-11-13,4016
2015-11-14,4016
2015-11-15,4145
2015-11-16,4145
2015-11-17,4328
2015-11-18,4328
2015-11-19,4545
2015-11-20,4545
2015-11-21,4751
2015-11-22,4948
2015-11-23,4948
2015-11-24,4948
2015-11-25,5127
2015-11-26,5127
2015-11-27,5159
2015-11-28,5159
2015-11-29,5381
2015-11-30,5381
2015-12-01,5649
2015-12-02,5649
2015-12-03,5662
2015-12-04,5662
2015-12-05,5667
2015-12-06,5430
2015-12-07,5430
2015-12-08,5179
2015-12-09,5039
2015-12-10,5039
2015-12-11,4858
2015-12-12,4858
2015-12-13,4896
2015-12-14,4896
