date_obj,Armadyl%20d'hide%20boots price
2016-07-06,2072182
2016-07-07,2162087
2016-07-08,2260030
2016-07-09,2361379
2016-07-10,2466631
2016-07-11,2572895
2016-07-12,2680515
2016-07-13,2680515
2016-07-14,2801415
2016-07-15,2801415
2016-07-16,2941486
2016-07-17,2941486
2016-07-18,3088561
2016-07-23,3274775
2016-07-24,3166712
2016-07-25,3166712
2016-07-26,3012161
2016-07-27,3012161
2016-07-28,2861552
2016-07-29,2861552
2016-07-30,2722842
2016-07-31,2722842
2016-08-01,2722842
2016-08-02,2586699
2016-08-03,2586699
2016-08-04,2457364
2016-08-05,2457364
2016-08-06,2334955
2016-08-07,2334955
2016-08-08,2219965
2016-08-09,2112245
2016-08-10,2112245
2016-08-11,2006632
2016-08-12,2006632
2016-08-13,1906300
2016-08-14,1906300
2016-08-15,1831663
2016-08-16,1831663
2016-08-17,1854537
2016-08-18,1854537
2016-08-19,1848911
2016-08-20,1848911
2016-08-21,1823147
2016-08-22,1823147
2016-08-23,1840296
2016-08-24,1840296
2016-08-25,1774424
2016-08-26,1774424
2016-08-28,1695581
2016-08-31,1786775
2016-09-01,1849882
2016-09-02,1849882
2016-09-03,1920996
2016-09-04,1945114
2016-09-05,2024155
2016-09-06,2024155
2016-09-07,2039257
2016-09-08,2039257
2016-09-09,2101657
2016-09-10,2101657
2016-09-11,2089801
2016-09-12,2089801
2016-09-13,2058679
2016-09-14,2058679
2016-09-15,1987779
2016-09-16,1987779
2016-09-17,1889145
2016-09-18,1889145
2016-09-19,1794754
2016-09-20,1794754
2016-09-21,1713480
2016-09-22,1718368
2016-09-23,1718368
2016-09-24,1695178
2016-09-25,1665584
2016-09-26,1665584
2016-09-27,1686676
2016-09-28,1686676
2016-09-29,1640957
2016-09-30,1581934
2016-10-01,1581934
2016-10-02,1506934
2016-10-03,1506934
2016-10-04,1440402
2016-10-05,1440402
2016-10-06,1486803
2016-10-07,1486803
2016-10-08,1530593
2016-10-09,1530593
2016-10-10,1533133
2016-10-11,1493249
2016-10-12,1493249
2016-10-13,1553355
2016-10-14,1623209
2016-10-15,1623209
2016-10-16,1646974
2016-10-17,1613581
2016-10-18,1613581
2016-10-19,1599605
2016-10-20,1599605
2016-10-21,1551508
2016-10-22,1551508
2016-10-23,1591510
2016-10-24,1600282
2016-10-25,1600282
2016-10-26,1609594
2016-10-27,1609594
2016-10-28,1589985
2016-10-29,1559746
