date_obj,Iron%20kiteshield price
2015-03-26,478
2015-03-27,478
2015-03-28,454
2015-03-29,431
2015-03-30,409
2015-03-31,390
2015-04-01,374
2015-04-02,358
2015-04-03,343
2015-04-04,327
2015-04-05,313
2015-04-06,305
2015-04-07,297
2015-04-08,289
2015-04-09,286
2015-04-10,275
2015-04-11,276
2015-04-12,272
2015-04-13,272
2015-04-14,276
2015-04-15,274
2015-04-16,272
2015-04-17,274
2015-04-18,268
2015-04-19,259
2015-04-20,263
2015-04-21,270
2015-04-22,265
2015-04-23,268
2015-04-24,268
2015-04-25,265
2015-04-26,252
2015-04-27,243
2015-04-28,246
2015-04-29,243
2015-04-30,240
2015-05-01,235
2015-05-02,228
2015-05-03,223
2015-05-04,223
2015-05-05,225
2015-05-06,227
2015-05-07,221
2015-05-08,214
2015-05-09,207
2015-05-10,197
2015-05-11,191
2015-05-12,186
2015-05-13,179
2015-05-14,174
2015-05-15,169
2015-05-16,165
2015-05-17,163
2015-05-18,164
2015-05-19,165
2015-05-20,169
2015-05-21,171
2015-05-22,166
2015-05-23,163
2015-05-24,154
2015-05-25,148
2015-05-26,144
2015-05-27,139
2015-05-28,137
2015-05-29,133
2015-05-30,129
2015-05-31,128
2015-06-01,124
2015-06-02,118
2015-06-03,117
2015-06-04,114
2015-06-05,112
2015-06-06,109
2015-06-07,107
2015-06-08,104
2015-06-09,102
2015-06-10,99
2015-06-11,98
2015-06-12,97
2015-06-13,94
2015-06-14,91
2015-06-15,89
2015-06-16,88
2015-06-17,86
2015-06-18,90
2015-06-19,93
2015-06-20,95
2015-06-21,99
2015-06-22,104
2015-06-23,110
2015-06-24,116
2015-06-25,119
2015-06-26,124
2015-06-27,130
2015-06-28,133
2015-06-29,140
2015-06-30,141
2015-07-01,134
2015-07-02,132
2015-07-03,136
2015-07-04,136
2015-07-05,135
2015-07-06,134
2015-07-07,141
2015-07-08,139
2015-07-09,139
2015-07-10,135
2015-07-11,140
2015-07-12,145
2015-07-13,145
2015-07-14,148
2015-07-15,149
2015-07-16,153
2015-07-17,158
2015-07-18,162
2015-07-19,158
2015-07-20,150
2015-07-21,142
2015-07-22,140
2015-07-23,137
2015-07-24,139
2015-07-25,141
2015-07-26,140
2015-07-27,140
2015-07-28,142
2015-07-29,138
2015-07-30,131
2015-07-31,125
2015-08-01,119
2015-08-02,115
2015-08-03,112
2015-08-04,115
2015-08-05,115
2015-08-06,118
2015-08-07,123
2015-08-08,127
2015-08-09,128
2015-08-10,131
2015-08-11,128
2015-08-12,128
2015-08-13,130
2015-08-14,130
2015-08-15,130
2015-08-16,135
2015-08-17,136
2015-08-18,139
2015-08-19,141
2015-08-20,144
2015-08-21,148
2015-08-22,150
2015-08-23,149
2015-08-24,145
2015-08-25,148
2015-08-26,147
2015-08-27,148
2015-08-28,142
2015-08-29,135
2015-08-30,131
2015-08-31,129
2015-09-01,124
2015-09-02,123
2015-09-03,121
2015-09-04,117
2015-09-05,120
2015-09-06,121
2015-09-07,116
2015-09-08,116
2015-09-09,115
2015-09-10,111
2015-09-11,106
2015-09-12,104
2015-09-13,101
2015-09-14,96
2015-09-15,94
2015-09-16,90
2015-09-17,86
2015-09-18,83
2015-09-19,83
2015-09-20,81
2015-09-21,78
2015-09-22,79
2015-09-23,76
2015-09-24,74
2015-09-25,71
2015-09-27,71
2015-09-28,71
2015-09-29,70
2015-09-30,69
2015-10-05,68
2015-10-06,66
2015-10-07,64
2015-10-08,62
2015-10-09,60
2015-10-10,58
2015-10-11,56
2015-10-12,55
2015-10-13,54
2015-10-14,54
2015-10-15,54
2015-10-16,56
2015-10-17,57
2015-10-18,59
2015-10-19,61
2015-10-20,64
2015-10-22,70
2015-10-23,73
2015-10-24,74
2015-10-25,75
2015-10-26,73
2015-10-27,74
2015-10-29,70
2015-10-30,68
2015-10-31,66
2015-11-01,65
2015-11-02,64
2015-11-03,61
2015-11-04,61
2015-11-05,59
2015-11-06,59
2015-11-07,58
2015-11-08,59
2015-11-09,58
2015-11-10,58
2015-11-11,61
2015-11-12,65
2015-11-13,69
2015-11-14,72
2015-11-15,74
2015-11-16,77
2015-11-17,78
2015-11-18,79
2015-11-19,81
2015-11-20,85
2015-11-21,87
2015-11-22,88
2015-11-23,88
2015-11-24,86
2015-11-25,87
2015-11-26,88
2015-11-27,88
2015-11-28,87
2015-11-29,90
2015-11-30,91
2015-12-01,91
2015-12-02,91
2015-12-03,92
2015-12-04,92
2015-12-05,93
2015-12-06,95
2015-12-07,95
2015-12-08,97
2015-12-10,101
2015-12-11,103
2015-12-12,104
2015-12-13,106
2015-12-14,102
2015-12-15,102
2015-12-16,105
2015-12-17,100
2015-12-18,100
2015-12-19,98
2015-12-20,98
2015-12-21,96
2015-12-22,91
2015-12-23,86
2015-12-24,83
2015-12-25,87
2015-12-26,87
2015-12-27,89
2015-12-28,91
2015-12-29,93
2015-12-30,94
2015-12-31,95
2016-01-01,95
2016-01-02,97
2016-01-03,97
2016-01-04,97
2016-01-05,99
