date_obj,Myre%20snelm%20(round) price
2015-02-25,18500
2015-02-26,18500
2015-02-27,18500
2015-02-28,18500
2015-03-01,18500
2015-03-02,18500
2015-03-03,18500
2015-03-04,18500
2015-03-05,18500
2015-03-06,18500
2015-03-07,18500
2015-03-08,18500
2015-03-09,18500
2015-03-10,18500
2015-03-11,18500
2015-03-12,18500
2015-03-13,18500
2015-03-14,18500
2015-03-15,18500
2015-03-16,18500
2015-03-17,18500
2015-03-18,18500
2015-03-19,18500
2015-03-20,18500
2015-03-21,18500
2015-03-22,18500
2015-03-23,18500
2015-03-24,18500
2015-03-25,18500
2015-03-26,18500
2015-03-27,18500
2015-03-28,18500
2015-03-29,18500
2015-03-30,17610
2015-03-31,17610
2015-04-01,17610
2015-04-02,17610
2015-04-03,17610
2015-04-04,17610
2015-04-05,17610
2015-04-06,17610
2015-04-07,17610
2015-04-08,17610
2015-04-09,17610
2015-04-10,17610
2015-04-11,17610
2015-04-12,17610
2015-04-13,17610
2015-04-14,17610
2015-04-15,17610
2015-04-16,17610
2015-04-17,17610
2015-04-18,17610
2015-04-19,17610
2015-04-20,17610
2015-04-21,17610
2015-04-22,17610
2015-04-23,17610
2015-04-24,17610
2015-04-25,17610
2015-04-26,17610
2015-04-27,17610
2015-04-28,17610
2015-04-29,17610
2015-04-30,17610
2015-05-01,17610
2015-05-02,17610
2015-05-03,17610
2015-05-04,16761
2015-05-05,16761
2015-05-06,16761
2015-05-07,16761
2015-05-08,16761
2015-05-09,16761
2015-05-10,16761
2015-05-11,16761
2015-05-12,16761
2015-05-13,16761
2015-05-14,16761
2015-05-15,16761
2015-05-16,16761
2015-05-17,16761
2015-05-18,16761
2015-05-19,16761
2015-05-20,16761
2015-05-21,16761
2015-05-22,16761
2015-05-23,16761
2015-05-24,16761
2015-05-25,16761
2015-05-26,16761
2015-05-27,16761
2015-05-28,15945
2015-05-29,15945
2015-05-30,15945
2015-05-31,15945
2015-06-01,15945
2015-06-02,15945
2015-06-03,15945
2015-06-04,15945
2015-06-05,15945
2015-06-06,15945
2015-06-07,15945
2015-06-08,15945
2015-06-09,15945
2015-06-10,15945
2015-06-11,15945
2015-06-12,15945
2015-06-13,15945
2015-06-14,15945
2015-06-15,15945
2015-06-16,15945
2015-06-17,15945
2015-06-18,15945
2015-06-19,15945
2015-06-20,15186
2015-06-21,15186
2015-06-22,15186
2015-06-23,15186
2015-06-24,15186
2015-06-25,15186
2015-06-26,15186
2015-06-27,15186
2015-06-28,15186
2015-06-29,15186
2015-06-30,15186
2015-07-01,15186
2015-07-02,15186
2015-07-03,15186
2015-07-04,15186
2015-07-05,15186
2015-07-06,15186
2015-07-07,15186
2015-07-08,15186
2015-07-09,15186
2015-07-10,15186
2015-07-11,15186
2015-07-12,14454
2015-07-13,14454
2015-07-14,14454
2015-07-15,14454
2015-07-16,14454
2015-07-17,14454
2015-07-18,14454
2015-07-19,14454
2015-07-20,14454
2015-07-21,14454
2015-07-22,14454
2015-07-23,14454
2015-07-24,14454
2015-07-25,14454
2015-07-26,14454
2015-07-27,14454
2015-07-28,14454
2015-07-29,14454
2015-07-30,13757
2015-07-31,13757
2015-08-01,13757
2015-08-02,13757
2015-08-03,13757
2015-08-04,13757
2015-08-05,13757
2015-08-06,13757
2015-08-07,13757
2015-08-08,13757
2015-08-09,13757
2015-08-10,13757
2015-08-11,13757
2015-08-12,13757
2015-08-13,13757
2015-08-14,13757
2015-08-15,13757
2015-08-16,13757
2015-08-17,13149
2015-08-18,13149
2015-08-19,13149
2015-08-20,13149
2015-08-21,13149
2015-08-22,13149
2015-08-23,13149
2015-08-24,13149
2015-08-25,13149
2015-08-26,13149
2015-08-27,13149
2015-08-28,13149
2015-08-29,13149
2015-08-30,13149
2015-08-31,13149
2015-09-01,13149
2015-09-02,13149
2015-09-03,12509
2015-09-04,12509
2015-09-05,12509
2015-09-06,12509
2015-09-07,12509
2015-09-08,12509
2015-09-09,12509
2015-09-10,12509
2015-09-11,12509
2015-09-12,12509
2015-09-13,12509
2015-09-14,12509
2015-09-15,12509
2015-09-16,12509
2015-09-17,12509
2015-09-18,12509
2015-09-19,12509
2015-09-20,12509
2015-09-21,12509
2015-09-22,12509
2015-09-23,12509
2015-09-24,11931
2015-09-25,11931
2015-09-26,11931
2015-09-27,11931
2015-09-28,11931
2015-09-29,11931
2015-09-30,11931
2015-10-01,11931
2015-10-02,11931
2015-10-03,11931
2015-10-04,11931
2015-10-05,11931
2015-10-06,11931
2015-10-07,11931
2015-10-08,11931
2015-10-09,11931
2015-10-10,11931
2015-10-11,11931
2015-10-12,11931
2015-10-13,11931
2015-10-14,11931
2015-10-15,11931
2015-10-16,11424
2015-10-17,11424
2015-10-18,11424
2015-10-19,11424
2015-10-20,11424
2015-10-21,11424
2015-10-22,11424
2015-10-23,11424
2015-10-24,11424
2015-10-25,11424
2015-10-26,11424
2015-10-27,11424
2015-10-28,11424
2015-10-29,11424
2015-10-30,11424
2015-10-31,11424
2015-11-01,11424
2015-11-02,11424
2015-11-03,11424
2015-11-04,11424
2015-11-05,11424
2015-11-06,11424
2015-11-07,11424
2015-11-08,11424
2015-11-09,11424
2015-11-10,11424
2015-11-11,11424
2015-11-12,10881
2015-11-13,10881
2015-11-14,10881
2015-11-15,10881
2015-11-16,10881
2015-11-17,10881
2015-11-18,10881
2015-11-19,10881
2015-11-20,10881
2015-11-21,10881
2015-11-22,10881
2015-11-23,10881
2015-11-24,10881
2015-11-25,10881
2015-11-26,10881
2015-11-27,10881
2015-11-28,10881
2015-11-29,10881
2015-11-30,10881
2015-12-01,10881
2015-12-02,10881
2015-12-03,10881
2015-12-04,10375
2015-12-05,10375
2015-12-06,10375
2015-12-07,10375
2015-12-08,10375
2015-12-09,10375
2015-12-10,10375
2015-12-11,10375
2015-12-12,10375
2015-12-13,10375
2015-12-14,10375
2015-12-15,10375
2015-12-16,10375
2015-12-17,10375
2015-12-18,10375
2015-12-19,10375
2015-12-20,10375
2015-12-21,10375
2015-12-22,10375
2015-12-23,10375
2015-12-24,10375
2015-12-25,10375
2015-12-26,9897
2015-12-27,9897
2015-12-28,9897
2015-12-29,9897
2015-12-30,9897
2015-12-31,9897
2016-01-01,9897
2016-01-02,9897
2016-01-03,9897
2016-01-04,9897
2016-01-05,9897
2016-01-06,9897
2016-01-07,9897
2016-01-08,9897
2016-01-09,9897
2016-01-10,9434
2016-01-11,9434
2016-01-12,9434
2016-01-13,9434
2016-01-14,9434
2016-01-15,9434
2016-01-16,9434
2016-01-17,9434
2016-01-18,9434
2016-01-19,9434
2016-01-20,9434
2016-01-21,9434
2016-01-22,9434
2016-01-23,9434
2016-01-24,9434
2016-01-25,9434
2016-01-26,9434
2016-01-27,9021
2016-01-28,9021
2016-01-29,9021
2016-01-30,9021
2016-01-31,9021
2016-02-01,9021
2016-02-02,9021
2016-02-03,9021
2016-02-04,9021
2016-02-05,9021
2016-02-06,9021
2016-02-07,9021
2016-02-08,9021
2016-02-09,9021
2016-02-10,9021
2016-02-11,9021
2016-02-12,9021
2016-02-13,8590
2016-02-14,8590
2016-02-15,8590
2016-02-16,8590
2016-02-17,8590
2016-02-18,8590
2016-02-19,8590
2016-02-20,8590
2016-02-21,8590
2016-02-22,8590
2016-02-23,8590
2016-02-24,8590
2016-02-25,8590
2016-02-26,8590
2016-02-27,8590
2016-02-28,8590
2016-02-29,8590
2016-03-01,8189
2016-03-02,8189
2016-03-03,8189
2016-03-04,8189
2016-03-05,8189
2016-03-06,8189
