date_obj,Skeletal%20helm price
2015-03-26,68000
2015-03-27,68000
2015-03-28,68000
2015-03-29,68000
2015-03-30,68000
2015-03-31,68000
2015-04-01,68000
2015-04-02,68000
2015-04-03,69464
2015-04-04,69464
2015-04-05,69464
2015-04-06,69464
2015-04-07,69464
2015-04-08,69464
2015-04-09,69464
2015-04-10,69464
2015-04-11,69464
2015-04-12,69464
2015-04-13,69464
2015-04-14,69464
2015-04-15,69464
2015-04-16,69464
2015-04-17,69464
2015-04-18,69464
2015-04-19,69464
2015-04-20,69464
2015-04-21,69464
2015-04-22,69464
2015-04-23,69464
2015-04-24,69464
2015-04-25,69464
2015-04-26,69464
2015-04-27,69464
2015-04-28,69464
2015-04-29,69464
2015-04-30,69464
2015-05-01,69464
2015-05-02,69464
2015-05-03,69464
2015-05-04,71347
2015-05-05,71347
2015-05-06,71347
2015-05-07,71347
2015-05-08,71347
2015-05-09,71347
2015-05-10,71347
2015-05-11,71347
2015-05-12,71347
2015-05-13,71347
2015-05-14,71347
2015-05-15,71347
2015-05-16,71347
2015-05-17,71347
2015-05-18,71347
2015-05-19,71347
2015-05-20,71347
2015-05-21,71347
2015-05-22,71347
2015-05-23,71347
2015-05-24,71347
2015-05-25,71347
2015-05-26,71347
2015-05-27,71347
2015-05-28,71347
2015-05-29,73731
2015-05-30,73731
2015-05-31,73731
2015-06-01,73731
2015-06-02,73731
2015-06-03,73731
2015-06-04,73731
2015-06-05,73731
2015-06-06,73731
2015-06-07,73731
2015-06-08,73731
2015-06-09,73731
2015-06-10,73731
2015-06-11,73731
2015-06-12,73731
2015-06-13,73731
2015-06-14,73731
2015-06-15,73731
2015-06-16,73731
2015-06-17,73731
2015-06-18,73731
2015-06-19,73731
2015-06-20,73731
2015-06-21,73731
2015-06-22,73731
2015-06-23,73731
2015-06-24,75656
2015-06-25,75656
2015-06-26,75656
2015-06-27,75656
2015-06-28,75656
2015-06-29,75656
2015-06-30,75656
2015-07-01,75656
2015-07-02,75656
2015-07-03,75656
2015-07-04,75656
2015-07-05,75656
2015-07-06,75656
2015-07-07,75656
2015-07-08,75656
2015-07-09,75656
2015-07-10,75656
2015-07-11,75656
2015-07-12,75656
2015-07-13,75656
2015-07-14,75656
2015-07-15,75656
2015-07-16,75656
2015-07-17,75656
2015-07-18,75909
2015-07-19,75909
2015-07-20,75909
2015-07-21,75909
2015-07-22,75909
2015-07-23,75909
2015-07-24,75909
2015-07-25,75909
2015-07-26,75909
2015-07-27,75909
2015-07-28,75909
2015-07-29,75909
2015-07-30,75909
2015-07-31,75909
2015-08-01,75909
2015-08-02,75909
2015-08-03,75909
2015-08-04,75909
2015-08-05,75909
2015-08-06,75909
2015-08-07,75909
2015-08-08,74686
2015-08-09,74686
2015-08-10,74686
2015-08-11,74686
2015-08-12,74686
2015-08-13,74686
2015-08-14,74686
2015-08-15,74686
2015-08-16,74686
2015-08-17,74686
2015-08-18,74686
2015-08-19,74686
2015-08-20,74686
2015-08-21,74686
2015-08-22,74686
2015-08-23,74686
2015-08-24,74686
2015-08-25,74686
2015-08-26,74686
2015-08-27,74686
2015-08-28,74686
2015-08-29,74686
2015-08-30,74686
2015-08-31,71011
2015-09-01,71011
2015-09-02,71011
2015-09-03,71011
2015-09-04,71011
2015-09-05,71011
2015-09-06,71011
2015-09-07,71011
2015-09-08,71011
2015-09-09,71011
2015-09-10,71011
2015-09-11,71011
