date_obj,Bones%20to%20bananas%20(tablet) price
2015-03-26,5150
2015-03-27,5150
2015-03-28,5150
2015-03-29,5150
2015-03-30,5150
2015-03-31,5150
2015-04-01,5150
2015-04-02,5150
2015-04-03,5150
2015-04-04,5150
2015-04-05,5150
2015-04-06,5150
2015-04-07,5150
2015-04-08,5150
2015-04-09,5150
2015-04-10,5150
2015-04-11,5150
2015-04-12,5150
2015-04-13,5150
2015-04-14,5150
2015-04-15,5150
2015-04-16,5150
2015-04-17,5150
2015-04-18,5150
2015-04-19,5150
2015-04-20,5150
2015-04-21,5150
2015-04-22,5150
2015-04-23,5150
2015-04-24,5150
2015-04-25,5150
2015-04-26,5150
2015-04-27,5150
2015-04-28,5150
2015-04-29,5150
2015-04-30,5150
2015-05-01,5150
2015-05-02,5150
2015-05-03,5150
2015-05-04,5150
2015-05-05,5150
2015-05-06,5150
2015-05-07,5150
2015-05-08,5150
2015-05-09,5150
2015-05-10,5150
2015-05-11,5150
2015-05-12,5150
2015-05-13,5150
2015-05-14,5150
2015-05-15,5150
2015-05-16,5150
2015-05-17,5150
2015-05-18,5150
2015-05-19,5150
2015-05-20,5150
2015-05-21,5150
2015-05-22,5150
2015-05-23,5150
2015-05-24,5150
2015-05-25,5150
2015-05-26,5150
2015-05-27,5150
2015-05-28,5150
2015-05-29,5150
2015-05-30,5150
2015-05-31,5150
2015-06-01,5150
2015-06-02,5150
2015-06-03,5150
2015-06-04,5150
2015-06-05,5150
2015-06-06,5150
2015-06-07,5150
2015-06-08,5150
2015-06-09,5150
2015-06-10,5150
2015-06-11,5150
2015-06-12,5150
2015-06-13,5150
2015-06-14,5150
2015-06-15,5150
2015-06-16,5150
2015-06-17,4892
2015-06-18,4892
2015-06-19,4892
2015-06-20,4892
2015-06-21,4892
2015-06-22,4892
2015-06-23,4892
2015-06-24,4892
2015-06-25,4892
2015-06-26,4892
2015-06-27,4892
2015-06-28,4892
2015-06-29,4892
2015-06-30,4892
2015-07-01,4892
2015-07-02,4892
2015-07-03,4892
2015-07-04,4892
2015-07-05,4892
2015-07-06,4892
2015-07-07,4892
2015-07-08,4892
2015-07-09,4892
2015-07-10,4892
2015-07-11,4892
2015-07-12,4892
2015-07-13,4892
2015-07-14,4892
2015-07-15,4892
2015-07-16,4892
2015-07-17,4892
2015-07-18,4892
2015-07-19,4892
2015-07-20,4892
2015-07-21,4892
2015-07-22,4892
2015-07-23,4892
2015-07-24,4892
2015-07-25,4892
2015-07-26,4892
2015-07-27,4892
2015-07-28,4892
2015-07-29,4892
2015-07-30,4892
2015-07-31,4892
2015-08-01,4892
2015-08-02,4892
2015-08-03,4892
2015-08-04,4892
2015-08-05,4892
2015-08-06,4892
2015-08-07,4892
2015-08-08,4892
2015-08-09,4892
2015-08-10,4892
2015-08-11,4892
2015-08-12,4892
2015-08-13,4892
2015-08-14,4892
2015-08-15,4892
2015-08-16,4892
2015-08-17,4892
2015-08-18,4892
2015-08-19,4892
2015-08-20,4892
2015-08-21,4892
2015-08-22,4892
2015-08-23,4892
2015-08-24,4892
2015-08-25,4892
2015-08-26,4892
2015-08-27,4892
2015-08-28,4892
2015-08-29,4892
2015-08-30,4892
2015-08-31,4892
2015-09-01,4892
2015-09-02,4892
2015-09-03,4892
2015-09-04,4892
2015-09-05,4892
2015-09-06,4892
2015-09-07,4892
2015-09-08,4892
2015-09-09,4892
2015-09-10,4892
2015-09-11,4892
2015-09-12,4892
2015-09-13,4892
2015-09-14,4892
2015-09-15,4892
2015-09-16,4892
2015-09-17,4892
2015-09-18,4892
2015-09-19,4892
2015-09-20,4892
2015-09-21,4892
2015-09-22,4892
2015-09-23,4892
2015-09-24,4892
2015-09-25,4892
2015-09-27,4892
2015-09-28,4892
2015-09-29,4892
2015-09-30,4892
2015-10-05,4892
2015-10-06,4892
2015-10-07,4892
2015-10-08,4892
2015-10-09,4892
2015-10-10,4892
2015-10-11,4892
2015-10-12,4892
2015-10-13,4892
2015-10-14,4892
2015-10-15,4892
2015-10-16,4892
2015-10-17,4892
2015-10-18,4892
2015-10-19,4892
2015-10-20,4892
2015-10-22,4892
2015-10-23,4892
2015-10-24,4892
2015-10-25,4892
2015-10-26,4892
2015-10-27,4892
2015-10-29,4892
2015-10-30,4892
