date_obj,Guthix%20d'hide%20body price
2015-03-26,74513
2015-03-27,75367
2015-03-28,75100
2015-03-29,74011
2015-03-30,74011
2015-03-31,73533
2015-04-01,74816
2015-04-02,74427
2015-04-03,75936
2015-04-04,77684
2015-04-05,78952
2015-04-06,79453
2015-04-07,80153
2015-04-08,79476
2015-04-09,79252
2015-04-10,79264
2015-04-11,79609
2015-04-12,80087
2015-04-13,81213
2015-04-14,81423
2015-04-15,82193
2015-04-16,83023
2015-04-17,82195
2015-04-18,81031
2015-04-19,79357
2015-04-20,75955
2015-04-21,73963
2015-04-22,71938
2015-04-23,70931
2015-04-24,70682
2015-04-25,71403
2015-04-26,70838
2015-04-27,69909
2015-04-28,70980
2015-04-29,72366
2015-04-30,73659
2015-05-01,74089
2015-05-02,74421
2015-05-03,73763
2015-05-04,73065
2015-05-05,72066
2015-05-06,71938
2015-05-07,72093
2015-05-08,72558
2015-05-09,71663
2015-05-10,69968
2015-05-11,68661
2015-05-12,66135
2015-05-13,64394
2015-05-14,64678
2015-05-15,64953
2015-05-16,64858
2015-05-17,64294
2015-05-18,64396
2015-05-19,63243
2015-05-20,62162
2015-05-21,62186
2015-05-22,62015
2015-05-23,62389
2015-05-24,61578
2015-05-25,61519
2015-05-26,61745
2015-05-27,61827
2015-05-28,62392
2015-05-29,62449
2015-05-30,63770
2015-05-31,64454
2015-06-01,65643
2015-06-02,66825
2015-06-03,68426
2015-06-04,68912
2015-06-05,68082
2015-06-06,67510
2015-06-07,66714
2015-06-08,65744
2015-06-09,64172
2015-06-10,62809
2015-06-11,61759
2015-06-12,60684
2015-06-13,60295
2015-06-14,60927
2015-06-15,62262
2015-06-16,62366
2015-06-17,62337
2015-06-18,62551
2015-06-19,64047
2015-06-20,64498
2015-06-21,64689
2015-06-22,65841
2015-06-23,67541
2015-06-24,69108
2015-06-25,69924
2015-06-26,70581
2015-06-27,69362
2015-06-28,67744
2015-06-29,67950
2015-06-30,67560
2015-07-01,67486
2015-07-02,68231
2015-07-03,70044
2015-07-04,72630
2015-07-05,71859
2015-07-06,72106
2015-07-07,72588
2015-07-08,72164
2015-07-09,71498
2015-07-10,71404
2015-07-11,70669
2015-07-12,69749
2015-07-13,69192
2015-07-14,69336
2015-07-15,70175
2015-07-16,69443
2015-07-17,68171
2015-07-18,67114
2015-07-19,66950
