date_obj,Stripy%20pirate%20shirt%20(brown) price
2015-02-25,35000
2015-02-26,35000
2015-02-27,35000
2015-02-28,35000
2015-03-01,35000
2015-03-02,35000
2015-03-03,35000
2015-03-04,35000
2015-03-05,35000
2015-03-06,35000
2015-03-07,35000
2015-03-08,35000
2015-03-09,35000
2015-03-10,35000
2015-03-11,35000
2015-03-12,35000
2015-03-13,35000
2015-03-14,35000
2015-03-15,35000
2015-03-16,35000
2015-03-17,35000
2015-03-18,35000
2015-03-19,35000
2015-03-20,35000
2015-03-21,35000
2015-03-22,33311
2015-03-23,33311
2015-03-24,33311
2015-03-25,33311
2015-03-26,33311
2015-03-27,33311
2015-03-28,33311
2015-03-29,33311
2015-03-30,33311
2015-03-31,33311
2015-04-01,33311
2015-04-02,33311
2015-04-03,33311
2015-04-04,33311
2015-04-05,33311
2015-04-06,33311
2015-04-07,33311
2015-04-08,33311
2015-04-09,33311
2015-04-10,33311
2015-04-11,33311
2015-04-12,33311
2015-04-13,33311
2015-04-14,33311
2015-04-15,33311
2015-04-16,33311
2015-04-17,33311
2015-04-18,31674
2015-04-19,31674
2015-04-20,31674
2015-04-21,31674
2015-04-22,31674
2015-04-23,31674
2015-04-24,31674
2015-04-25,31674
2015-04-26,31674
2015-04-27,31674
2015-04-28,31674
2015-04-29,31674
2015-04-30,31674
2015-05-01,31674
2015-05-02,31674
2015-05-03,31674
2015-05-04,31674
2015-05-05,31674
2015-05-06,31674
2015-05-07,31674
2015-05-08,31674
2015-05-09,31674
2015-05-10,31674
2015-05-11,31674
2015-05-12,31674
2015-05-13,31674
2015-05-14,30107
2015-05-15,30107
2015-05-16,30107
2015-05-17,30107
2015-05-18,30107
2015-05-19,30107
2015-05-20,30107
2015-05-21,30107
2015-05-22,30107
2015-05-23,30107
2015-05-24,30107
2015-05-25,30107
2015-05-26,30107
2015-05-27,30107
2015-05-28,30107
2015-05-29,28620
2015-05-30,28620
2015-05-31,28620
2015-06-01,28620
2015-06-02,28620
2015-06-03,28620
2015-06-04,28620
2015-06-05,28620
2015-06-06,28620
2015-06-07,28620
2015-06-08,28620
2015-06-09,28620
2015-06-10,28620
2015-06-11,28620
2015-06-12,28620
2015-06-13,27197
2015-06-14,27197
2015-06-15,27197
2015-06-16,27197
2015-06-17,27197
2015-06-18,27197
2015-06-19,27197
2015-06-20,27197
2015-06-21,27197
2015-06-22,27197
2015-06-23,27197
2015-06-24,27197
2015-06-25,27197
2015-06-26,27197
2015-06-27,27197
2015-06-28,27197
2015-06-29,27197
2015-06-30,25854
2015-07-01,25854
2015-07-02,25854
2015-07-03,25854
2015-07-04,25854
2015-07-05,25854
2015-07-06,25854
2015-07-07,25854
2015-07-08,25854
2015-07-09,25854
2015-07-10,25854
2015-07-11,25854
2015-07-12,25854
2015-07-13,25854
2015-07-14,25854
2015-07-15,25854
2015-07-16,25854
2015-07-17,24614
2015-07-18,24614
2015-07-19,24614
2015-07-20,24614
2015-07-21,24614
2015-07-22,24614
2015-07-23,24614
2015-07-24,24614
2015-07-25,24614
2015-07-26,24614
2015-07-27,24614
2015-07-28,24614
2015-07-29,24614
2015-07-30,24614
2015-07-31,24614
2015-08-01,24614
2015-08-02,23413
2015-08-03,23413
2015-08-04,23413
2015-08-05,23413
2015-08-06,23413
2015-08-07,23413
2015-08-08,23413
2015-08-09,23413
2015-08-10,23413
2015-08-11,23413
2015-08-12,23413
2015-08-13,23413
2015-08-14,23413
2015-08-15,22258
2015-08-16,22258
2015-08-17,22258
2015-08-18,22258
2015-08-19,22258
2015-08-20,22258
2015-08-21,22258
2015-08-22,22258
2015-08-23,22258
2015-08-24,22258
2015-08-25,22258
2015-08-26,22258
2015-08-27,22258
2015-08-28,21156
2015-08-29,21156
2015-08-30,21156
2015-08-31,21156
2015-09-01,21156
2015-09-02,21156
2015-09-03,21156
2015-09-04,21156
2015-09-05,21156
2015-09-06,21156
2015-09-07,21156
2015-09-08,21156
2015-09-09,21156
2015-09-10,21156
2015-09-11,21156
2015-09-12,20172
2015-09-13,20172
2015-09-14,20172
2015-09-15,20172
2015-09-16,20172
2015-09-17,20172
2015-09-18,20172
2015-09-19,20172
2015-09-20,20172
2015-09-21,20172
2015-09-22,20172
2015-09-23,20172
2015-09-24,20172
2015-09-25,20172
2015-09-26,20172
2015-09-27,19198
2015-09-28,19198
2015-09-29,19198
2015-09-30,19198
2015-10-01,19198
2015-10-02,19198
2015-10-03,19198
2015-10-04,19198
2015-10-05,19198
2015-10-06,19198
2015-10-07,19198
2015-10-08,19198
2015-10-09,19198
2015-10-10,19198
2015-10-11,19198
2015-10-12,18252
2015-10-13,18252
2015-10-14,18252
2015-10-15,18252
2015-10-16,18252
2015-10-17,18252
2015-10-18,18252
2015-10-19,18252
2015-10-20,18252
2015-10-21,18252
2015-10-22,18252
2015-10-23,18252
2015-10-24,18252
2015-10-25,18252
2015-10-26,18252
2015-10-27,17354
2015-10-28,17354
2015-10-29,17354
2015-10-30,17354
2015-10-31,17354
2015-11-01,17354
2015-11-02,17354
2015-11-03,17354
2015-11-04,17354
2015-11-05,17354
2015-11-06,17354
2015-11-07,17354
2015-11-08,17354
2015-11-09,17354
2015-11-10,17354
2015-11-11,17354
2015-11-12,16579
2015-11-13,16579
2015-11-14,16579
2015-11-15,16579
2015-11-16,16579
2015-11-17,16579
2015-11-18,16579
2015-11-19,16579
2015-11-20,16579
2015-11-21,16579
2015-11-22,16579
2015-11-23,16579
2015-11-24,16579
2015-11-25,16579
2015-11-26,16579
2015-11-27,16579
2015-11-28,16579
2015-11-29,16579
2015-11-30,15756
