date_obj,Zamorak%20kiteshield price
2015-03-26,119694
2015-03-27,119694
2015-03-28,118055
2015-03-29,118055
2015-03-30,114754
2015-03-31,114754
2015-04-01,114754
2015-04-02,109507
2015-04-03,109507
2015-04-04,104086
2015-04-05,104086
2015-04-06,99192
2015-04-07,99192
2015-04-08,95186
2015-04-09,95186
2015-04-10,94071
2015-04-11,94071
2015-04-12,92527
2015-04-13,92527
2015-04-14,91938
2015-04-15,91938
2015-04-16,91468
2015-04-17,91468
2015-04-18,90831
2015-04-19,90831
2015-04-20,90831
2015-04-21,90205
2015-04-22,90205
2015-04-23,88370
2015-04-24,88370
2015-04-25,87728
2015-04-26,87728
2015-04-27,87968
2015-04-28,87968
2015-04-29,88383
2015-04-30,88383
2015-05-01,88450
2015-05-02,88450
2015-05-03,87843
2015-05-04,87843
2015-05-05,87889
2015-05-06,87889
2015-05-07,87186
2015-05-08,87186
2015-05-09,87192
2015-05-10,87192
2015-05-11,87192
2015-05-12,86347
2015-05-13,86347
2015-05-14,87128
2015-05-15,87128
2015-05-16,87128
2015-05-17,86449
2015-05-18,86449
2015-05-19,86449
2015-05-20,84434
2015-05-21,84434
2015-05-22,81927
2015-05-23,81927
2015-05-24,81555
2015-05-25,81555
2015-05-26,81508
2015-05-27,81508
2015-05-28,81755
2015-05-29,81755
2015-05-30,82200
2015-05-31,82200
2015-06-01,80978
2015-06-02,80978
2015-06-03,81114
2015-06-04,81114
2015-06-05,81005
2015-06-06,81393
2015-06-07,81835
2015-06-08,81835
2015-06-09,83704
2015-06-10,86048
2015-06-11,86048
2015-06-12,87810
2015-06-13,87810
2015-06-14,87258
2015-06-15,87258
2015-06-16,86477
2015-06-17,86477
2015-06-18,87028
2015-06-19,87028
2015-06-20,87045
2015-06-21,87045
2015-06-22,87144
2015-06-23,87144
2015-06-24,86419
2015-06-25,86419
2015-06-26,84498
2015-06-27,84498
2015-06-28,85885
2015-06-29,85885
2015-06-30,88477
2015-07-01,91199
2015-07-02,91199
2015-07-03,93756
2015-07-04,93756
2015-07-05,96460
2015-07-06,96460
2015-07-07,98258
2015-07-08,100265
2015-07-09,100265
2015-07-10,101637
2015-07-11,101637
2015-07-12,104048
2015-07-13,104048
2015-07-14,106899
2015-07-15,106899
2015-07-16,108717
2015-07-17,111301
2015-07-18,111301
2015-07-19,112955
2015-07-20,112955
2015-07-21,114875
2015-07-22,117790
2015-07-23,117790
2015-07-24,119616
2015-07-25,119616
2015-07-26,121723
2015-07-27,121723
2015-07-28,123164
2015-07-29,124945
2015-07-30,124945
2015-07-31,125330
2015-08-01,125330
2015-08-02,126981
2015-08-03,126981
2015-08-04,127060
2015-08-05,127060
2015-08-06,130124
2015-08-07,130124
2015-08-08,132617
2015-08-09,132617
2015-08-10,134107
2015-08-11,134107
2015-08-12,132905
2015-08-13,132905
2015-08-14,129701
2015-08-15,129701
2015-08-16,130618
2015-08-17,131970
2015-08-18,131970
2015-08-19,133287
2015-08-20,133287
2015-08-21,131751
2015-08-22,132182
2015-08-23,132182
2015-08-24,132195
2015-08-25,132195
2015-08-26,132195
2015-08-27,132795
2015-08-28,132795
2015-08-29,130853
2015-08-30,130853
2015-08-31,125985
2015-09-01,125985
2015-09-02,122710
2015-09-03,122710
2015-09-04,119488
2015-09-05,119488
2015-09-06,116801
2015-09-07,116801
2015-09-08,116029
2015-09-09,116029
2015-09-10,113850
2015-09-11,113850
2015-09-12,110362
2015-09-13,107290
2015-09-14,107290
2015-09-15,106055
2015-09-16,106055
2015-09-17,106266
2015-09-18,106266
2015-09-19,106395
2015-09-20,106395
2015-09-21,105183
2015-09-22,105183
2015-09-23,105119
2015-09-24,105119
2015-09-25,105119
2015-09-27,105020
2015-09-28,105522
2015-09-29,105522
2015-09-30,104951
2015-10-05,105161
2015-10-06,105181
2015-10-07,105181
2015-10-08,104352
2015-10-09,104352
2015-10-10,104916
2015-10-11,104019
2015-10-12,104019
2015-10-13,105101
2015-10-14,105101
2015-10-15,105803
2015-10-16,105803
2015-10-17,107206
2015-10-18,107206
2015-10-19,108051
2015-10-20,108051
2015-10-22,108139
2015-10-23,108176
2015-10-24,108176
2015-10-25,106830
2015-10-26,106830
2015-10-27,104330
2015-10-29,103366
2015-10-30,103366
2015-10-31,102435
2015-11-01,102435
2015-11-02,101400
2015-11-03,101400
2015-11-05,100089
2015-11-06,99963
2015-11-07,99309
2015-11-08,99309
2015-11-09,98730
2015-11-10,98730
2015-11-11,97848
2015-11-12,97848
2015-11-13,97814
2015-11-14,97814
2015-11-15,97688
2015-11-16,97688
2015-11-17,97975
2015-11-18,97975
2015-11-19,99667
2015-11-20,99667
2015-11-21,102165
2015-11-22,104026
2015-11-23,104026
2015-11-24,106412
2015-11-25,107574
2015-11-26,107574
2015-11-27,109603
2015-11-28,109603
2015-11-29,110112
2015-11-30,110112
2015-12-01,111190
2015-12-02,111190
2015-12-03,111594
2015-12-04,111594
2015-12-05,112725
2015-12-06,114299
2015-12-07,114299
2015-12-08,115180
2015-12-09,117870
2015-12-10,117870
2015-12-11,118655
2015-12-13,119783
2015-12-14,119783
2015-12-15,119178
2015-12-16,119178
2015-12-17,118378
2015-12-18,118378
2015-12-19,117455
2015-12-20,116214
2015-12-21,116214
2015-12-22,115865
2015-12-23,115865
2015-12-24,115938
2015-12-25,115938
2015-12-26,117257
2015-12-27,118930
2015-12-28,118930
2015-12-29,119232
2015-12-30,119232
2015-12-31,119005
2016-01-01,119005
2016-01-02,120672
2016-01-03,120435
2016-01-04,120973
2016-01-05,120973
2016-01-06,122723
2016-01-07,122723
2016-01-08,124887
2016-01-09,124887
2016-01-10,126527
2016-01-11,126527
2016-01-12,127606
2016-01-13,127606
2016-01-14,128984
2016-01-15,128984
2016-01-16,128379
2016-01-17,128379
2016-01-18,129218
2016-01-19,129218
2016-01-20,127136
2016-01-21,127136
2016-01-22,126993
2016-01-23,126993
2016-01-24,127183
2016-01-25,125573
2016-01-26,125573
2016-01-27,125119
2016-01-28,125119
2016-01-29,122598
2016-01-30,122598
2016-01-31,118849
2016-02-01,116367
2016-02-02,116367
2016-02-03,114747
2016-02-04,114747
2016-02-05,115432
2016-02-06,115551
2016-02-07,115551
2016-02-08,115231
2016-02-09,115231
2016-02-10,115191
2016-02-11,115191
2016-02-12,113175
2016-02-13,113636
2016-02-14,113636
2016-02-15,112351
2016-02-16,112351
2016-02-17,111824
2016-02-18,111824
2016-02-19,112634
2016-02-20,112634
2016-02-21,113000
2016-02-22,113000
2016-02-23,111561
2016-02-24,111561
2016-02-25,110510
2016-02-26,110510
2016-02-27,109426
2016-02-28,109426
2016-02-29,108671
2016-03-01,108671
2016-03-02,109051
2016-03-03,107994
2016-03-04,107994
2016-03-05,108421
2016-03-06,108495
2016-03-07,108495
2016-03-08,107567
2016-03-09,106122
2016-03-10,105257
2016-03-11,105257
2016-03-12,107074
2016-03-13,107074
2016-03-14,108153
2016-03-15,108153
2016-03-16,108062
2016-03-17,108062
2016-03-18,109187
2016-03-19,109187
2016-03-20,107269
2016-03-21,107269
2016-03-22,105344
2016-03-23,104786
2016-03-24,104786
2016-03-25,105067
2016-03-26,102796
2016-03-27,102796
2016-03-28,100797
2016-03-29,98110
2016-03-30,98110
2016-03-31,97231
2016-04-01,97231
2016-04-02,96072
2016-04-03,95125
2016-04-04,95125
2016-04-05,93934
2016-04-06,92127
2016-04-07,92127
2016-04-08,92511
2016-04-09,92116
2016-04-10,92084
2016-04-11,92084
2016-04-12,92921
2016-04-13,92921
2016-04-14,91627
2016-04-15,90926
2016-04-16,90926
2016-04-17,90659
2016-04-18,90638
2016-04-19,90638
2016-04-20,90959
2016-04-21,90959
2016-04-22,89530
2016-04-23,89038
2016-04-24,87490
2016-04-25,86956
2016-04-26,86956
2016-04-27,86594
2016-04-28,86594
2016-04-29,85041
2016-04-30,84465
2016-05-01,84465
2016-05-02,83852
2016-05-03,83505
2016-05-04,83505
2016-05-05,82438
2016-05-06,82438
2016-05-07,82070
2016-05-08,82070
2016-05-09,81307
2016-05-10,79519
2016-05-11,79519
2016-05-12,78252
2016-05-13,76899
2016-05-14,77366
2016-05-15,77234
2016-05-16,77234
2016-05-17,76709
2016-05-18,78238
2016-05-19,78238
2016-05-22,79175
2016-05-23,79360
2016-05-24,78632
2016-05-25,78632
2016-05-26,78856
2016-05-27,79738
2016-05-28,79738
2016-05-29,79400
2016-05-30,79400
2016-05-31,78963
2016-06-01,80113
2016-06-02,80113
2016-06-03,81450
2016-06-04,80667
2016-06-05,80667
2016-06-06,81716
2016-06-07,81716
2016-06-08,80571
2016-06-09,80971
2016-06-10,81849
2016-06-11,81849
2016-06-12,81939
2016-06-13,81939
2016-06-14,82143
2016-06-15,82143
2016-06-16,83571
2016-06-17,81589
2016-06-18,81589
