date_obj,Unholy%20book%20page%20set price
2015-03-26,3467636
2015-03-27,3467636
2015-03-28,3613393
2015-03-29,3613393
2015-03-30,3613393
2015-03-31,3613393
2015-04-01,3613393
2015-04-02,3761368
2015-04-03,3761368
2015-04-04,3761368
2015-04-05,3761368
2015-04-06,3761368
2015-04-07,3901150
2015-04-08,3901150
2015-04-09,3901150
2015-04-10,3901150
2015-04-11,3901150
2015-04-12,3901150
2015-04-13,4017982
2015-04-14,4017982
2015-04-15,4017982
2015-04-16,4017982
2015-04-17,4017982
2015-04-18,4017982
2015-04-19,4017982
2015-04-20,3987313
2015-04-21,3987313
2015-04-22,3987313
2015-04-23,3987313
2015-04-24,3987313
2015-04-25,3987313
2015-04-26,3984626
2015-04-27,3984626
2015-04-28,3984626
2015-04-29,3984626
2015-04-30,3984626
2015-05-01,4076705
2015-05-02,4076705
2015-05-03,4076705
2015-05-04,4076705
2015-05-05,4076705
2015-05-06,4076705
2015-05-07,3897579
2015-05-08,3897579
2015-05-09,3897579
2015-05-10,3897579
2015-05-11,3897579
2015-05-12,3706124
2015-05-13,3706124
2015-05-14,3706124
2015-05-15,3706124
2015-05-16,3706124
2015-05-17,3706124
2015-05-18,3548829
2015-05-19,3548829
2015-05-20,3548829
2015-05-21,3548829
2015-05-22,3548829
2015-05-23,3548829
2015-05-24,3424179
2015-05-25,3424179
2015-05-26,3424179
2015-05-27,3424179
2015-05-28,3348189
2015-05-29,3348189
2015-05-30,3348189
2015-05-31,3296578
2015-06-01,3296578
2015-06-02,3296578
2015-06-03,3368638
2015-06-04,3368638
2015-06-05,3368638
2015-06-06,3483923
2015-06-07,3483923
2015-06-08,3483923
2015-06-09,3483923
2015-06-10,3596823
2015-06-11,3596823
2015-06-12,3596823
2015-06-13,3596823
2015-06-14,3742267
2015-06-15,3742267
2015-06-16,3742267
2015-06-17,3742267
2015-06-18,3867262
2015-06-19,3867262
2015-06-20,3867262
2015-06-21,3867262
2015-06-22,4028395
