date_obj,Red%20dragonhide%20set price
2015-03-26,22777
2015-03-27,22777
2015-03-28,21638
2015-03-29,21638
2015-03-30,20556
2015-03-31,20556
2015-04-01,19627
2015-04-02,19627
2015-04-03,18645
2015-04-04,18645
2015-04-05,17712
2015-04-06,17712
2015-04-07,16933
2015-04-08,16933
2015-04-09,16933
2015-04-10,16086
2015-04-11,16086
2015-04-12,15814
2015-04-13,15814
2015-04-14,16053
2015-04-15,16053
2015-04-16,16507
2015-04-17,16507
2015-04-18,16703
2015-04-19,16703
2015-04-20,16703
2015-04-21,16703
2015-04-22,16703
2015-04-23,17209
2015-04-24,17209
2015-04-25,17209
2015-04-26,17688
2015-04-27,17688
2015-04-28,17763
2015-04-29,17763
2015-04-30,17763
2015-05-01,17825
2015-05-02,17825
2015-05-03,17825
2015-05-04,17930
2015-05-05,17930
2015-05-06,17995
2015-05-07,17995
2015-05-08,17995
2015-05-09,17823
2015-05-10,17823
2015-05-11,17823
2015-05-12,17308
2015-05-13,17308
2015-05-14,17308
2015-05-15,17049
2015-05-16,17049
2015-05-17,16416
2015-05-18,16416
2015-05-19,16416
2015-05-20,16076
2015-05-21,16076
2015-05-22,16076
2015-05-23,16297
2015-05-24,16297
2015-05-25,16180
2015-05-26,16180
2015-05-27,16180
2015-05-28,15676
2015-05-29,15676
2015-05-30,15118
2015-05-31,15118
2015-06-01,15394
2015-06-02,15394
2015-06-03,14822
2015-06-04,14822
2015-06-05,15217
2015-06-06,15217
2015-06-07,15774
2015-06-08,15774
2015-06-09,16291
2015-06-10,16291
2015-06-11,16838
2015-06-12,16838
2015-06-13,17459
2015-06-14,17459
2015-06-15,17407
2015-06-16,17407
2015-06-17,17438
2015-06-18,17438
2015-06-19,17501
2015-06-20,17501
2015-06-21,16756
2015-06-22,16756
2015-06-23,15949
2015-06-24,15949
2015-06-25,15151
2015-06-26,14475
2015-06-27,14475
2015-06-28,14417
2015-06-29,14417
2015-06-30,15012
2015-07-01,15012
2015-07-02,15753
2015-07-03,16206
2015-07-04,16206
2015-07-05,16747
2015-07-06,16747
2015-07-07,16852
2015-07-08,16852
2015-07-09,16764
2015-07-10,16764
2015-07-11,16626
2015-07-12,16626
2015-07-13,16414
2015-07-14,16414
2015-07-15,16116
2015-07-16,16116
2015-07-17,16135
2015-07-18,16135
2015-07-19,16015
2015-07-20,16015
2015-07-21,15951
2015-07-22,15748
2015-07-23,15748
2015-07-24,15444
2015-07-25,15444
2015-07-26,15676
2015-07-27,15676
2015-07-28,15458
2015-07-29,15458
2015-07-30,15825
2015-07-31,15825
2015-08-01,16499
2015-08-02,16499
2015-08-03,17109
2015-08-04,17109
2015-08-05,17305
2015-08-06,17305
2015-08-07,17802
2015-08-08,17802
2015-08-09,17932
2015-08-10,17932
2015-08-11,17405
2015-08-12,17405
2015-08-13,17405
2015-08-14,17713
2015-08-15,17713
2015-08-16,17559
2015-08-17,17559
2015-08-18,17671
2015-08-19,17671
2015-08-20,16863
2015-08-21,16863
2015-08-22,16566
2015-08-23,16566
2015-08-24,16346
2015-08-25,16346
2015-08-26,16346
2015-08-27,16438
2015-08-28,16438
2015-08-29,15653
2015-08-30,15653
2015-08-31,15644
2015-09-01,15644
2015-09-02,15644
2015-09-03,16203
2015-09-04,16203
2015-09-05,16875
2015-09-06,16875
2015-09-07,17136
2015-09-08,17136
2015-09-09,16436
2015-09-10,16436
2015-09-11,15907
2015-09-12,15907
2015-09-13,15687
2015-09-14,15687
2015-09-15,15527
2015-09-16,15527
2015-09-17,15726
2015-09-18,15726
2015-09-19,15559
2015-09-20,15559
2015-09-21,15559
2015-09-22,15601
2015-09-23,15601
2015-09-24,15601
2015-09-25,15623
2015-09-27,15622
2015-09-28,15622
2015-09-29,15292
2015-09-30,15292
2015-10-05,14624
2015-10-06,14814
2015-10-07,14814
2015-10-08,14825
2015-10-09,14825
2015-10-10,15420
2015-10-11,15420
2015-10-12,15631
2015-10-13,15631
2015-10-14,15631
2015-10-15,15323
2015-10-16,15323
2015-10-17,15323
2015-10-18,15319
2015-10-19,15319
2015-10-20,15730
2015-10-22,15730
2015-10-23,16182
2015-10-24,16182
2015-10-25,16733
2015-10-26,16733
2015-10-27,16733
2015-10-29,16926
2015-10-30,16926
2015-10-31,17123
2015-11-01,17123
2015-11-02,16641
2015-11-03,16641
2015-11-04,16641
2015-11-05,16549
2015-11-06,16549
2015-11-07,16534
2015-11-08,16534
2015-11-09,16534
2015-11-10,16306
2015-11-11,16306
2015-11-12,16153
2015-11-13,16153
2015-11-14,16153
2015-11-15,16337
2015-11-16,16337
2015-11-17,16808
2015-11-18,16808
2015-11-19,17106
2015-11-20,17106
2015-11-21,17106
2015-11-22,17358
2015-11-23,17358
2015-11-24,17358
2015-11-25,17289
