date_obj,Earth%20impling%20jar price
2015-03-26,1700
2015-03-27,1700
2015-03-28,1700
2015-03-29,1700
2015-03-30,1700
2015-03-31,1700
2015-04-01,1700
2015-04-02,1700
2015-04-03,1700
2015-04-04,1700
2015-04-05,1700
2015-04-06,1700
2015-04-07,1700
2015-04-08,1700
2015-04-09,1700
2015-04-10,1733
2015-04-11,1733
2015-04-12,1733
2015-04-13,1733
2015-04-14,1733
2015-04-15,1733
2015-04-16,1733
2015-04-17,1733
2015-04-18,1733
2015-04-19,1733
2015-04-20,1733
2015-04-21,1733
2015-04-22,1733
2015-04-23,1733
2015-04-24,1733
2015-04-25,1733
2015-04-26,1733
2015-04-27,1733
2015-04-28,1733
2015-04-29,1733
2015-04-30,1733
2015-05-01,1733
2015-05-02,1733
2015-05-03,1733
2015-05-04,1733
2015-05-05,1733
2015-05-06,1733
2015-05-07,1733
2015-05-08,1733
2015-05-09,1733
2015-05-10,1733
2015-05-11,1733
2015-05-12,1733
2015-05-13,1733
2015-05-14,1733
2015-05-15,1733
2015-05-16,1733
2015-05-17,1733
2015-05-18,1733
2015-05-19,1733
2015-05-20,1733
2015-05-21,1733
2015-05-22,1751
2015-05-23,1751
2015-05-24,1751
2015-05-25,1751
2015-05-26,1751
2015-05-27,1751
2015-05-28,1751
2015-05-29,1751
2015-05-30,1751
2015-05-31,1751
2015-06-01,1751
2015-06-02,1751
2015-06-03,1751
2015-06-04,1751
2015-06-05,1751
2015-06-06,1751
2015-06-07,1751
2015-06-08,1751
2015-06-09,1751
2015-06-10,1751
2015-06-11,1751
2015-06-12,1751
2015-06-13,1751
2015-06-14,1751
2015-06-15,1751
2015-06-16,1751
2015-06-17,1751
2015-06-18,1751
2015-06-19,1751
2015-06-20,1751
2015-06-21,1751
2015-06-22,1751
2015-06-23,1751
2015-06-24,1792
2015-06-25,1792
2015-06-26,1792
2015-06-27,1792
2015-06-28,1792
2015-06-29,1792
2015-06-30,1792
2015-07-01,1792
2015-07-02,1792
2015-07-03,1792
2015-07-04,1792
2015-07-05,1792
2015-07-06,1792
2015-07-07,1792
2015-07-08,1792
2015-07-09,1792
2015-07-10,1792
2015-07-11,1792
2015-07-12,1792
2015-07-13,1792
2015-07-14,1792
2015-07-15,1792
2015-07-16,1792
2015-07-17,1792
2015-07-18,1792
2015-07-19,1792
2015-07-20,1792
2015-07-21,1792
2015-07-22,1792
2015-07-23,1792
2015-07-24,1792
2015-07-25,1792
2015-07-26,1792
2015-07-27,1792
2015-07-28,1792
2015-07-29,1839
2015-07-30,1839
2015-07-31,1839
2015-08-01,1839
2015-08-02,1839
2015-08-03,1839
2015-08-04,1839
2015-08-05,1839
2015-08-06,1839
2015-08-07,1839
2015-08-08,1839
2015-08-09,1839
2015-08-10,1839
2015-08-11,1839
2015-08-12,1839
2015-08-13,1839
2015-08-14,1839
2015-08-15,1839
2015-08-16,1839
2015-08-17,1839
2015-08-18,1839
2015-08-19,1839
2015-08-20,1839
2015-08-21,1839
2015-08-22,1839
2015-08-23,1839
2015-08-24,1839
2015-08-25,1839
2015-08-26,1839
2015-08-27,1839
2015-08-28,1839
2015-08-29,1899
2015-08-30,1899
2015-08-31,1899
2015-09-01,1899
2015-09-02,1899
2015-09-03,1899
2015-09-04,1899
2015-09-05,1899
2015-09-06,1899
2015-09-07,1899
2015-09-08,1899
2015-09-09,1899
2015-09-10,1899
2015-09-11,1899
2015-09-12,1899
2015-09-13,1899
2015-09-14,1899
2015-09-15,1899
2015-09-16,1899
2015-09-17,1899
2015-09-18,1899
2015-09-19,1899
2015-09-20,1899
2015-09-21,1899
2015-09-22,1899
2015-09-23,1899
2015-09-24,1899
2015-09-25,1899
2015-09-27,1899
2015-09-28,1899
2015-09-29,1899
2015-09-30,1899
2015-10-05,1899
2015-10-06,1899
2015-10-07,1899
2015-10-08,1899
2015-10-09,1899
2015-10-10,1914
2015-10-11,1914
2015-10-12,1914
2015-10-13,1914
2015-10-14,1914
2015-10-15,1914
2015-10-16,1914
2015-10-17,1914
2015-10-18,1914
2015-10-19,1914
2015-10-20,1914
2015-10-22,1914
2015-10-23,1914
2015-10-24,1914
2015-10-25,1914
2015-10-26,1914
2015-10-27,1914
2015-10-29,1914
2015-10-30,1914
2015-10-31,1914
2015-11-01,1914
2015-11-02,1914
2015-11-03,1914
2015-11-04,1914
2015-11-05,1914
2015-11-06,1914
2015-11-07,1914
2015-11-08,1914
2015-11-09,1914
2015-11-10,1914
2015-11-11,1914
2015-11-12,1914
2015-11-13,1914
2015-11-14,1914
2015-11-15,1914
2015-11-16,1914
2015-11-17,1914
2015-11-18,1914
2015-11-19,1914
2015-11-20,1914
2015-11-21,1914
2015-11-22,1947
2015-11-23,1947
2015-11-24,1947
2015-11-25,1947
2015-11-26,1947
2015-11-27,1947
2015-11-28,1947
2015-11-29,1947
2015-11-30,1947
2015-12-01,1947
2015-12-02,1947
2015-12-03,1947
2015-12-04,1947
2015-12-05,1947
2015-12-06,1947
2015-12-07,1947
2015-12-08,1947
2015-12-09,1947
2015-12-10,1947
2015-12-11,1947
2015-12-12,1947
2015-12-13,1947
2015-12-14,1947
2015-12-15,1947
2015-12-16,1947
2015-12-17,1947
2015-12-18,1947
2015-12-19,1947
2015-12-20,1947
2015-12-21,1947
2015-12-22,1947
2015-12-23,1947
2015-12-24,1947
2015-12-25,1947
2015-12-26,1947
2015-12-27,1993
2015-12-28,1993
2015-12-29,1993
2015-12-30,1993
2015-12-31,1993
2016-01-01,1993
2016-01-02,1993
2016-01-03,1993
2016-01-04,1993
2016-01-05,1993
2016-01-06,1993
2016-01-07,1993
2016-01-08,1993
2016-01-09,1993
2016-01-10,1993
2016-01-11,1993
2016-01-12,1993
2016-01-13,1993
2016-01-14,1993
2016-01-15,1993
2016-01-16,1993
2016-01-17,1993
2016-01-18,1993
2016-01-19,1993
2016-01-20,1993
2016-01-21,1993
2016-01-22,1993
2016-01-23,1993
2016-01-24,1993
2016-01-25,1993
2016-01-26,1993
2016-01-27,2032
2016-01-28,2032
2016-01-29,2032
2016-01-30,2032
2016-01-31,2032
2016-02-01,2032
2016-02-02,2032
2016-02-03,2032
2016-02-04,2032
2016-02-05,2032
2016-02-06,2032
2016-02-07,2032
2016-02-08,2032
2016-02-09,2032
2016-02-10,2032
2016-02-11,2032
2016-02-12,2032
2016-02-13,2032
2016-02-14,2032
2016-02-15,2032
2016-02-16,2032
2016-02-17,2032
2016-02-18,2032
2016-02-19,2032
2016-02-20,2032
2016-02-21,2032
2016-02-22,2032
2016-02-23,2032
2016-02-24,2032
2016-02-25,2032
2016-02-26,2032
2016-02-27,2032
2016-02-28,2032
2016-02-29,2032
2016-03-01,2073
2016-03-02,2073
2016-03-03,2073
2016-03-04,2073
2016-03-05,2073
2016-03-06,2073
2016-03-07,2073
2016-03-08,2073
2016-03-09,2073
2016-03-10,2073
2016-03-11,2073
2016-03-12,2073
2016-03-13,2073
2016-03-14,2073
2016-03-15,2073
2016-03-16,2073
2016-03-17,2073
2016-03-18,2073
2016-03-19,2073
2016-03-20,2073
2016-03-21,2073
2016-03-22,2073
2016-03-23,2073
2016-03-24,2073
2016-03-25,2073
2016-03-26,2073
2016-03-27,2124
2016-03-28,2124
2016-03-29,2124
2016-03-30,2124
2016-03-31,2124
