date_obj,Bronze%20full%20helm%20(t) price
2015-03-26,24355
2015-03-27,24355
2015-03-28,23169
2015-03-29,22201
2015-03-30,22201
2015-03-31,21460
2015-04-01,21460
2015-04-02,21460
2015-04-03,20577
2015-04-04,20577
2015-04-05,20220
2015-04-06,20220
2015-04-07,19296
2015-04-08,19296
2015-04-09,19296
2015-04-10,18767
2015-04-11,18767
2015-04-12,18114
2015-04-13,18114
2015-04-14,17514
2015-04-15,17514
2015-04-16,17193
2015-04-17,17193
2015-04-18,16667
2015-04-19,16667
2015-04-20,16667
2015-04-21,16495
2015-04-22,16495
2015-04-23,15983
2015-04-24,15983
2015-04-25,15682
2015-04-26,15682
2015-04-27,15608
2015-04-28,15608
2015-04-29,15608
2015-04-30,15405
2015-05-01,15405
2015-05-02,14935
2015-05-03,14935
2015-05-04,14935
2015-05-05,14359
2015-05-06,14359
2015-05-07,13855
2015-05-08,13855
2015-05-09,13575
2015-05-10,13575
2015-05-11,13433
2015-05-12,13433
2015-05-13,12976
2015-05-14,12976
2015-05-15,12357
2015-05-16,12357
2015-05-17,12039
2015-05-18,12039
2015-05-19,12081
2015-05-20,12081
2015-05-21,12081
2015-05-22,12167
2015-05-23,12167
2015-05-24,12167
2015-05-25,12087
2015-05-26,12087
2015-05-27,12087
2015-05-28,12151
2015-05-29,12151
2015-05-30,12176
2015-05-31,12176
2015-06-01,12711
2015-06-02,12711
2015-06-03,12711
2015-06-04,13231
2015-06-05,13231
2015-06-06,13732
2015-06-07,13732
2015-06-08,13732
2015-06-09,13611
2015-06-10,13611
2015-06-11,13611
2015-06-12,13827
2015-06-13,13827
2015-06-14,13701
2015-06-15,13701
2015-06-16,13927
2015-06-17,13927
2015-06-18,13927
2015-06-19,14479
2015-06-20,14479
2015-06-21,14479
2015-06-22,14990
2015-06-23,14990
2015-06-24,14990
2015-06-25,15392
2015-06-26,15392
2015-06-27,15392
2015-06-28,15246
2015-06-29,15246
2015-06-30,15246
2015-07-01,15246
2015-07-02,15541
2015-07-03,15541
2015-07-04,15541
2015-07-05,15636
2015-07-06,15636
2015-07-07,15636
2015-07-08,15152
2015-07-09,15152
2015-07-10,15294
2015-07-11,15294
2015-07-12,15294
2015-07-13,15459
2015-07-14,15459
2015-07-15,15459
2015-07-16,15669
2015-07-17,15669
2015-07-18,15669
2015-07-19,16211
2015-07-20,16211
2015-07-21,16211
2015-07-22,16836
2015-07-23,16836
2015-07-24,16836
2015-07-25,16899
2015-07-26,16899
2015-07-27,16701
2015-07-28,16701
2015-07-29,16558
2015-07-30,16558
2015-07-31,16558
2015-08-01,17139
2015-08-02,17139
2015-08-03,17172
2015-08-04,17172
2015-08-05,17172
2015-08-06,17180
2015-08-07,17180
2015-08-08,17180
2015-08-09,17248
2015-08-10,17248
2015-08-11,17248
2015-08-12,17248
2015-08-13,17506
2015-08-14,17506
2015-08-15,17506
2015-08-16,17754
2015-08-17,17754
2015-08-18,17754
2015-08-19,17952
2015-08-20,17952
2015-08-21,17952
2015-08-22,17651
2015-08-23,17651
2015-08-24,17651
2015-08-25,17651
2015-08-26,17696
2015-08-27,17696
2015-08-28,17696
2015-08-29,17748
2015-08-30,17748
2015-08-31,17748
2015-09-01,17568
2015-09-02,17568
2015-09-03,17568
2015-09-04,17568
2015-09-05,17318
2015-09-06,17318
2015-09-07,17318
2015-09-08,16942
2015-09-09,16942
2015-09-10,16942
2015-09-11,16857
2015-09-12,16857
2015-09-13,16857
2015-09-14,16849
2015-09-15,16849
2015-09-16,16849
2015-09-17,17452
2015-09-18,17452
2015-09-19,17452
2015-09-20,17151
2015-09-21,17151
2015-09-22,17151
2015-09-23,16871
2015-09-24,16871
2015-09-25,16871
2015-09-27,16822
2015-09-28,16822
2015-09-29,16822
2015-09-30,16811
2015-10-05,17223
2015-10-06,17223
2015-10-07,17223
2015-10-08,17700
2015-10-09,17700
2015-10-10,17700
2015-10-11,17700
2015-10-12,17849
2015-10-13,17849
2015-10-14,17849
2015-10-15,18388
2015-10-16,18388
2015-10-17,18388
2015-10-18,18388
2015-10-19,18881
2015-10-20,18881
2015-10-22,18881
2015-10-23,19349
2015-10-24,19349
2015-10-25,19349
2015-10-26,19335
2015-10-27,19335
2015-10-29,19335
2015-10-30,18888
2015-10-31,18888
2015-11-01,18888
2015-11-02,18069
2015-11-03,18069
2015-11-04,18069
2015-11-05,18069
2015-11-06,17386
2015-11-07,17386
2015-11-08,17386
2015-11-09,16613
2015-11-10,16613
2015-11-11,16613
2015-11-12,15915
2015-11-13,15915
2015-11-14,15915
2015-11-15,15720
2015-11-16,15720
2015-11-17,15720
2015-11-18,15403
2015-11-19,15403
2015-11-20,14991
2015-11-21,14991
2015-11-22,14991
2015-11-23,14683
2015-11-24,14683
2015-11-25,14485
2015-11-26,14485
2015-11-27,14485
2015-11-28,14277
2015-11-29,14277
2015-11-30,14130
2015-12-01,14130
2015-12-02,14130
2015-12-03,14022
2015-12-04,14022
2015-12-05,14022
2015-12-06,14257
2015-12-07,14257
2015-12-08,14257
2015-12-09,14410
2015-12-10,14410
2015-12-11,14410
2015-12-12,14341
2015-12-13,14341
2015-12-14,14341
