date_obj,Verac's%20brassard price
2015-03-26,238110
2015-03-27,238110
2015-03-28,248529
2015-03-29,253938
2015-03-30,249741
2015-03-31,252275
2015-04-01,252275
2015-04-02,246451
2015-04-03,257837
2015-04-04,252669
2015-04-05,252669
2015-04-06,245881
2015-04-07,236158
2015-04-08,236158
2015-04-09,230402
2015-04-10,222968
2015-04-11,214906
2015-04-12,204735
2015-04-13,195376
2015-04-14,195376
2015-04-15,192375
2015-04-16,198796
2015-04-17,202570
2015-04-18,201981
2015-04-19,203060
2015-04-20,203060
2015-04-21,194420
2015-04-22,194420
2015-04-23,186691
2015-04-24,183197
2015-04-25,185571
2015-04-26,191412
2015-04-27,187377
2015-04-28,189542
2015-04-29,189542
2015-04-30,192097
2015-05-01,195799
2015-05-02,201850
2015-05-03,201850
2015-05-04,195282
2015-05-05,195282
2015-05-06,192150
2015-05-07,187203
2015-05-08,187203
2015-05-09,185669
2015-05-10,189143
2015-05-11,189143
2015-05-12,196983
2015-05-13,196983
2015-05-14,205580
2015-05-15,205580
2015-05-16,209433
2015-05-17,199767
2015-05-18,190901
2015-05-19,190901
2015-05-20,186321
2015-05-21,186321
2015-05-22,190028
2015-05-23,190028
2015-05-24,196792
2015-05-25,203269
2015-05-26,212642
2015-05-27,212642
2015-05-28,210533
2015-05-29,200542
2015-05-30,195748
2015-05-31,198094
2015-06-01,201301
2015-06-02,201301
2015-06-03,195865
2015-06-04,192025
2015-06-05,196259
2015-06-06,200855
2015-06-07,206954
2015-06-08,217022
2015-06-09,212007
2015-06-10,204147
2015-06-11,195866
2015-06-12,191444
2015-06-13,194907
2015-06-14,204581
2015-06-15,214500
2015-06-16,220616
2015-06-17,225135
2015-06-18,225750
2015-06-19,218080
2015-06-20,215785
2015-06-21,211815
2015-06-22,204665
2015-06-23,198040
2015-06-24,195052
2015-06-25,195052
2015-06-26,188013
2015-06-27,188013
2015-06-28,182959
2015-06-29,183544
2015-06-30,185997
2015-07-01,189180
2015-07-02,189180
2015-07-03,196623
2015-07-04,198786
2015-07-05,204425
2015-07-06,208476
2015-07-07,215959
2015-07-08,216555
2015-07-09,216555
2015-07-10,212156
2015-07-11,208987
2015-07-12,202267
2015-07-13,196829
2015-07-14,198827
2015-07-15,207156
2015-07-16,205976
2015-07-17,210820
2015-07-18,211645
2015-07-19,205424
2015-07-20,203465
2015-07-21,204832
2015-07-22,205857
2015-07-23,205857
2015-07-24,212883
2015-07-25,215772
2015-07-26,214689
2015-07-27,224413
2015-07-28,235577
2015-07-29,246085
2015-07-30,257871
2015-07-31,270765
2015-08-01,281551
2015-08-02,288341
2015-08-03,292537
2015-08-04,282914
2015-08-05,269944
2015-08-06,256819
2015-08-07,245111
2015-08-08,234705
2015-08-09,223249
2015-08-10,212769
2015-08-11,211898
2015-08-12,211898
2015-08-13,207039
2015-08-14,199617
2015-08-15,195031
2015-08-16,200650
2015-08-17,203996
2015-08-18,196039
2015-08-19,190071
2015-08-20,190971
2015-08-21,196906
2015-08-22,206238
2015-08-23,213929
2015-08-24,217999
2015-08-25,217999
2015-08-26,221320
2015-08-27,219468
2015-08-28,218303
2015-08-29,222239
2015-08-30,215781
2015-08-31,213400
2015-09-01,215229
2015-09-02,215229
2015-09-03,215590
2015-09-04,216099
2015-09-05,225584
2015-09-06,224774
2015-09-07,223532
2015-09-08,227105
2015-09-09,224651
2015-09-10,219893
2015-09-11,216010
2015-09-12,215417
2015-09-13,213331
2015-09-14,221556
2015-09-15,232509
2015-09-16,232509
2015-09-17,235391
2015-09-18,235391
2015-09-19,230254
2015-09-20,226893
2015-09-21,227129
2015-09-22,238204
2015-09-23,248609
2015-09-24,248609
2015-09-25,255439
2015-09-27,239161
2015-09-28,245820
2015-09-29,256896
2015-09-30,260782
2015-10-05,292582
2015-10-06,299292
2015-10-07,289393
2015-10-08,277106
2015-10-09,282749
2015-10-10,282749
2015-10-11,275302
2015-10-12,278235
2015-10-13,278235
