date_obj,Enchanted%20top price
2015-03-26,91353
2015-03-27,91353
2015-03-28,90948
2015-03-29,89643
2015-03-30,88593
2015-03-31,89433
2015-04-01,88987
2015-04-02,89204
2015-04-03,91585
2015-04-04,92630
2015-04-05,92945
2015-04-06,94483
2015-04-07,98048
2015-04-08,101898
2015-04-09,102879
2015-04-10,103411
2015-04-11,104451
2015-04-12,104841
2015-04-13,104755
2015-04-14,102863
2015-04-15,99396
2015-04-16,96763
2015-04-17,96194
2015-04-18,95382
2015-04-19,93842
2015-04-20,90739
2015-04-21,88010
2015-04-22,85629
2015-04-23,84161
2015-04-24,84531
2015-04-25,85202
2015-04-26,85744
2015-04-27,87078
2015-04-28,88617
2015-04-29,90160
2015-04-30,91951
2015-05-01,94017
2015-05-02,93526
2015-05-03,90834
2015-05-04,91650
2015-05-05,91692
2015-05-06,94047
2015-05-07,92296
2015-05-08,89142
2015-05-09,86676
2015-05-10,85898
2015-05-11,84121
2015-05-12,81922
2015-05-13,80533
2015-05-14,81108
2015-05-15,82892
2015-05-16,84102
2015-05-17,85602
2015-05-18,86663
2015-05-19,88801
2015-05-20,87046
2015-05-21,87686
2015-05-22,87644
2015-05-23,87842
2015-05-24,88969
2015-05-25,89052
2015-05-26,89439
2015-05-27,90002
2015-05-28,89248
2015-05-29,89423
2015-05-30,87953
2015-05-31,86487
2015-06-01,86911
2015-06-02,87970
2015-06-03,87338
2015-06-04,86981
2015-06-05,87073
2015-06-06,87539
2015-06-07,87276
2015-06-08,86783
2015-06-09,87489
2015-06-10,87565
2015-06-11,86912
2015-06-12,87751
2015-06-13,88628
2015-06-14,88447
2015-06-15,88246
2015-06-16,87908
2015-06-17,87860
2015-06-18,87574
2015-06-19,86941
2015-06-20,85979
2015-06-21,86286
2015-06-22,85211
2015-06-23,85166
2015-06-24,84706
2015-06-25,84649
2015-06-26,84281
2015-06-27,83587
2015-06-28,83566
2015-06-29,83546
2015-06-30,83879
2015-07-01,84883
2015-07-02,85241
2015-07-03,85402
2015-07-04,85666
2015-07-05,86122
2015-07-06,86407
2015-07-07,87150
2015-07-08,87686
2015-07-09,86068
2015-07-10,86728
2015-07-11,87481
2015-07-12,87199
2015-07-13,87392
2015-07-14,87572
2015-07-15,86699
2015-07-16,86992
2015-07-17,87055
2015-07-18,86590
2015-07-19,87445
2015-07-20,87754
2015-07-21,88023
2015-07-22,87174
2015-07-23,86550
2015-07-24,87242
2015-07-25,86929
2015-07-26,86584
2015-07-27,87558
2015-07-28,87004
2015-07-29,87487
2015-07-30,87126
2015-07-31,86374
2015-08-01,87637
2015-08-02,87677
2015-08-03,87412
2015-08-04,86424
2015-08-05,87202
2015-08-06,87277
2015-08-07,86704
2015-08-08,86982
2015-08-09,87916
2015-08-10,88401
2015-08-11,89213
2015-08-12,89302
2015-08-13,89785
2015-08-14,87999
2015-08-15,86793
2015-08-16,87921
2015-08-17,88350
2015-08-18,87612
2015-08-19,87455
2015-08-20,87860
2015-08-21,86496
2015-08-22,84939
2015-08-23,85061
2015-08-24,84957
2015-08-25,84829
2015-08-26,84842
2015-08-27,84478
2015-08-28,83941
2015-08-29,83108
2015-08-30,82044
2015-08-31,81980
2015-09-01,81019
2015-09-02,81183
2015-09-03,81115
2015-09-04,79616
2015-09-05,77646
2015-09-06,76720
2015-09-07,76167
2015-09-08,77254
2015-09-09,77136
2015-09-10,76982
2015-09-11,78290
2015-09-12,79035
2015-09-13,79598
2015-09-14,80484
2015-09-15,79563
2015-09-16,81722
2015-09-17,81850
2015-09-18,83167
2015-09-19,83904
2015-09-20,84468
2015-09-21,83531
2015-09-22,83637
2015-09-23,84049
2015-09-24,83742
2015-09-25,84842
2015-09-27,87100
2015-09-28,87591
2015-09-29,88857
2015-09-30,88984
2015-10-05,95665
2015-10-06,96583
2015-10-07,95014
2015-10-08,95383
2015-10-09,94341
2015-10-10,93335
2015-10-11,93488
2015-10-12,94535
2015-10-13,93433
2015-10-14,92452
2015-10-15,92605
2015-10-16,92446
2015-10-17,92232
2015-10-18,93061
2015-10-19,93071
2015-10-20,93851
2015-10-22,90977
2015-10-23,90464
2015-10-24,91614
2015-10-25,92516
2015-10-26,93233
2015-10-27,93297
2015-10-29,92135
2015-10-30,89272
2015-10-31,88663
2015-11-01,88961
2015-11-02,88196
2015-11-03,87263
2015-11-04,85046
2015-11-05,83509
2015-11-06,83938
2015-11-07,83389
2015-11-08,81532
2015-11-09,82159
2015-11-10,80681
2015-11-11,80817
2015-11-12,81513
2015-11-13,81027
2015-11-14,78980
2015-11-15,77496
2015-11-16,76776
2015-11-17,77480
2015-11-18,79040
2015-11-19,82116
2015-11-20,84493
2015-11-21,85535
2015-11-22,88147
2015-11-23,92092
2015-11-24,95595
2015-11-25,97831
2015-11-26,100079
2015-11-27,101174
2015-11-28,103678
2015-11-29,104959
2015-11-30,105369
2015-12-01,105324
2015-12-02,102843
2015-12-03,99731
2015-12-04,97529
2015-12-05,94801
2015-12-06,91601
2015-12-07,89368
2015-12-08,87470
2015-12-09,85628
2015-12-10,85180
2015-12-11,84850
2015-12-12,86137
2015-12-13,87255
2015-12-14,86719
2015-12-15,87699
2015-12-16,86346
2015-12-17,86196
2015-12-18,86181
2015-12-19,86067
2015-12-20,86398
2015-12-21,86543
2015-12-22,86503
2015-12-23,85815
2015-12-24,86453
2015-12-25,87564
2015-12-26,87155
2015-12-27,87029
2015-12-28,88064
2015-12-29,89580
2015-12-30,91532
2015-12-31,90170
2016-01-01,90129
2016-01-02,88011
2016-01-03,88473
2016-01-04,86122
2016-01-05,86432
2016-01-06,86985
2016-01-07,86876
2016-01-08,86494
2016-01-09,86730
2016-01-10,87181
2016-01-11,87896
2016-01-12,87162
2016-01-13,84821
2016-01-14,84826
2016-01-15,85398
2016-01-16,84914
2016-01-17,84436
2016-01-18,83842
2016-01-19,83995
2016-01-20,83140
2016-01-21,83511
2016-01-22,83307
2016-01-23,83480
2016-01-24,83410
2016-01-25,83267
2016-01-26,83480
2016-01-27,83421
2016-01-28,82666
2016-01-29,83162
2016-01-30,83894
2016-01-31,82900
2016-02-01,83579
2016-02-02,84304
2016-02-03,85147
2016-02-04,86130
2016-02-05,85457
2016-02-06,84852
2016-02-07,85378
2016-02-08,85631
2016-02-09,84028
2016-02-10,83936
2016-02-11,83341
2016-02-12,83821
2016-02-13,83368
2016-02-14,83204
2016-02-15,83368
2016-02-16,82807
2016-02-17,83120
2016-02-18,82589
2016-02-19,82898
2016-02-20,83801
2016-02-21,83597
2016-02-22,83291
2016-02-23,83138
2016-02-24,82847
2016-02-25,81989
2016-02-26,83132
2016-02-27,82788
2016-02-28,83227
2016-02-29,83997
2016-03-01,82517
2016-03-02,81951
2016-03-03,83095
2016-03-04,84414
2016-03-05,86131
2016-03-06,86390
2016-03-07,86636
2016-03-08,87564
2016-03-09,87992
2016-03-10,88502
2016-03-11,90006
2016-03-12,89756
2016-03-13,90191
2016-03-14,90150
2016-03-15,90247
2016-03-16,91405
2016-03-17,92010
2016-03-18,92500
2016-03-19,92995
2016-03-20,92857
2016-03-21,93599
2016-03-22,94364
2016-03-23,95108
2016-03-24,93964
2016-03-25,94584
2016-03-26,95239
2016-03-27,95485
2016-03-28,95242
2016-03-29,96479
2016-03-30,97077
2016-03-31,97673
2016-04-01,97927
2016-04-02,96638
2016-04-03,96453
2016-04-04,96375
2016-04-05,95808
2016-04-06,95803
2016-04-07,96806
2016-04-08,95822
2016-04-09,96304
2016-04-10,96619
2016-04-11,95028
2016-04-12,95501
2016-04-13,94065
2016-04-14,94179
2016-04-15,94747
2016-04-16,95240
2016-04-17,94246
2016-04-18,93871
2016-04-19,93927
2016-04-20,94070
2016-04-21,92826
2016-04-22,92878
2016-04-23,92180
2016-04-24,91640
2016-04-25,91417
2016-04-26,91433
2016-04-27,90380
2016-04-28,89608
2016-04-29,90308
2016-04-30,90883
2016-05-01,90442
2016-05-02,91013
2016-05-03,91531
2016-05-04,91802
2016-05-05,92189
2016-05-06,91185
2016-05-07,90602
2016-05-08,89797
2016-05-09,89506
2016-05-10,90080
2016-05-11,90813
2016-05-12,91310
2016-05-13,91805
2016-05-14,92164
2016-05-15,93287
2016-05-16,94268
2016-05-17,94461
2016-05-18,93351
2016-05-19,94941
2016-05-22,94888
2016-05-23,95273
2016-05-24,95960
2016-05-25,95914
2016-05-26,96482
2016-05-27,96811
2016-05-28,97720
2016-05-29,97885
2016-05-30,96919
2016-05-31,96709
2016-06-01,97248
2016-06-02,98100
2016-06-03,97245
2016-06-04,95871
2016-06-05,95685
2016-06-06,94672
2016-06-07,94449
2016-06-08,93353
2016-06-09,92451
2016-06-10,92040
2016-06-11,91909
2016-06-12,91227
2016-06-13,90565
2016-06-14,90407
2016-06-15,90461
2016-06-16,90056
2016-06-17,90175
2016-06-18,89280
2016-06-19,88878
2016-06-20,89606
2016-06-21,89726
2016-06-22,90102
2016-06-23,87548
2016-06-24,86477
2016-06-25,86701
2016-06-26,85901
2016-06-27,84793
2016-06-28,84156
2016-06-29,84376
2016-06-30,83948
2016-07-01,83322
2016-07-02,84341
2016-07-03,83948
2016-07-04,84373
2016-07-05,84541
2016-07-06,84023
2016-07-07,83988
2016-07-08,84276
2016-07-09,84681
2016-07-10,84219
2016-07-11,83669
2016-07-12,83262
2016-07-13,83533
2016-07-14,82905
2016-07-15,83275
2016-07-16,83742
2016-07-17,81638
2016-07-18,81752
2016-07-23,81619
2016-07-24,80363
2016-07-25,79630
2016-07-26,79408
