date_obj,Celastrus%20seed price
2019-01-10,35000
2019-01-10,36750
2019-01-11,38588
2019-01-12,40518
2019-01-13,42544
2019-01-14,44672
2019-01-15,46906
2019-01-16,49252
2019-01-17,51715
2019-01-18,54301
2019-01-19,57017
2019-01-20,59868
2019-01-21,62862
2019-01-22,66006
2019-01-23,69307
2019-01-24,72773
2019-01-25,76412
2019-01-26,80233
2019-01-27,82594
2019-01-28,82301
2019-01-29,80127
2019-01-30,76120
2019-01-31,72314
2019-02-01,68698
2019-02-02,65263
2019-02-03,62595
2019-02-04,62921
2019-02-05,62741
2019-02-06,61027
2019-02-07,59459
2019-02-08,61947
2019-02-09,64979
2019-02-10,68228
2019-02-11,70220
2019-02-12,69999
2019-02-13,72257
2019-02-14,73945
2019-02-15,74698
2019-02-16,73785
2019-02-17,74649
2019-02-18,74817
2019-02-19,74620
2019-02-20,72638
2019-02-21,73145
2019-02-22,69707
2019-02-23,68812
2019-02-24,69940
2019-02-25,69561
2019-02-26,67815
2019-02-27,66751
2019-02-28,68179
2019-03-01,68099
2019-03-02,65785
2019-03-03,64686
2019-03-04,66351
2019-03-05,67372
2019-03-06,68539
2019-03-07,68906
2019-03-08,69002
2019-03-09,70907
2019-03-10,72715
2019-03-11,71809
2019-03-12,73246
2019-03-13,73381
2019-03-14,73893
2019-03-15,74125
2019-03-16,75269
2019-03-17,75987
2019-03-18,74101
2019-03-19,75810
2019-03-20,77255
2019-03-21,78919
2019-03-22,79750
2019-03-23,80512
2019-03-24,81120
2019-03-25,81592
2019-03-26,79701
2019-03-27,77812
2019-03-28,78077
2019-03-29,78694
2019-03-30,78281
2019-03-31,77950
2019-04-01,81402
2019-04-02,84986
2019-04-03,88731
2019-04-04,93135
2019-04-05,94145
2019-04-06,94350
2019-04-07,93782
2019-04-08,91730
2019-04-09,91112
2019-04-10,92122
2019-04-11,91770
2019-04-12,90206
2019-04-13,87249
2019-04-14,85727
2019-04-15,86151
2019-04-16,85042
2019-04-17,83000
2019-04-18,84381
2019-04-19,84184
2019-04-20,81669
2019-04-21,80449
2019-04-22,81093
2019-04-23,81922
2019-04-24,79491
2019-04-25,80600
2019-04-26,80482
2019-04-27,80740
2019-04-28,79665
2019-04-29,77942
2019-04-30,77234
2019-05-01,76837
2019-05-02,78276
2019-05-03,78361
2019-05-04,80016
2019-05-05,80852
2019-05-06,81493
2019-05-07,82049
2019-05-08,82111
2019-05-09,82449
2019-05-10,80636
2019-05-11,80308
2019-05-12,81203
2019-05-13,81201
2019-05-14,80622
2019-05-15,79382
2019-05-16,78683
2019-05-17,78812
2019-05-18,80680
2019-05-19,81950
2019-05-20,85533
2019-05-21,89244
2019-05-22,92219
2019-05-23,91332
2019-05-24,89043
2019-05-25,87867
2019-05-26,85232
2019-05-27,87146
2019-05-28,87656
2019-05-29,88961
2019-05-30,90445
2019-05-31,90932
2019-06-01,93515
2019-06-02,95576
2019-06-03,96298
2019-06-04,98674
2019-06-05,98871
2019-06-06,97401
2019-06-07,100570
2019-06-08,101343
2019-06-09,102656
2019-06-10,101888
2019-06-11,101755
2019-06-12,101138
2019-06-13,99687
2019-06-14,97278
2019-06-15,95549
2019-06-16,95121
2019-06-17,93194
2019-06-18,92017
2019-06-19,92169
2019-06-20,89539
2019-06-21,88474
2019-06-22,87480
2019-06-23,87254
2019-06-24,87608
2019-06-25,85753
2019-06-26,84594
2019-06-27,82425
2019-06-28,80692
2019-06-29,78932
2019-06-30,76302
2019-07-01,73202
2019-07-02,73683
2019-07-03,74638
2019-07-04,74037
2019-07-05,72910
2019-07-06,76130
2019-07-07,75039
2019-07-08,74261
2019-07-09,75251
2019-07-10,74242
2019-07-11,73616
2019-07-12,73661
2019-07-13,73073
2019-07-14,74845
2019-07-15,78025
2019-07-16,79093
2019-07-17,77706
2019-07-18,78793
2019-07-19,78775
2019-07-20,78947
2019-07-21,77773
2019-07-22,77744
2019-07-23,77505
2019-07-24,79633
2019-07-25,80440
2019-07-26,78361
2019-07-27,78396
2019-07-28,75804
2019-07-29,77604
2019-07-30,81304
2019-07-31,84634
2019-08-01,85804
2019-08-02,86399
2019-08-03,87574
2019-08-04,87004
2019-08-05,87544
2019-08-06,90982
2019-08-07,94153
2019-08-08,95390
2019-08-09,96347
2019-08-10,97610
2019-08-11,96013
2019-08-12,94453
2019-08-13,91991
2019-08-14,92599
2019-08-15,92825
2019-08-16,92656
2019-08-17,92456
2019-08-18,93077
2019-08-19,92641
2019-08-20,92206
2019-08-21,92353
2019-08-22,92860
2019-08-23,92476
2019-08-24,88510
2019-08-24,88510
2019-08-25,88007
2019-08-25,88007
2019-08-26,88114
2019-08-27,90542
2019-08-27,90542
2019-08-28,91392
2019-08-29,92489
2019-08-30,93611
2019-08-31,93813
2019-09-01,93931
2019-09-02,94093
2019-09-03,93853
2019-09-04,94281
2019-09-05,94556
2019-09-06,94482
2019-09-07,94429
2019-09-08,93015
2019-09-09,91953
2019-09-10,93259
2019-09-11,94928
2019-09-12,96040
2019-09-13,95633
2019-09-14,94500
2019-09-15,91924
2019-09-16,92581
2019-09-17,91900
2019-09-18,88450
2019-09-19,88668
2019-09-20,88793
2019-09-21,88590
2019-09-22,86671
2019-09-23,85755
2019-09-24,86242
2019-09-25,88093
2019-09-26,87914
2019-09-27,88181
2019-09-28,88227
2019-09-29,88901
2019-09-30,90511
2019-10-01,92479
2019-10-02,91430
2019-10-03,91243
2019-10-04,91912
2019-10-05,89937
2019-10-06,88727
2019-10-07,89571
2019-10-08,89798
2019-10-09,90625
2019-10-10,91004
2019-10-11,91142
2019-10-12,91304
2019-10-13,90018
2019-10-14,89080
2019-10-15,88792
2019-10-16,88652
2019-10-17,88547
2019-10-18,89217
2019-10-19,89408
2019-10-20,89595
2019-10-21,89813
2019-10-22,89866
2019-10-23,89981
2019-10-24,88324
2019-10-25,89194
2019-10-26,87768
2019-10-27,87497
2019-10-28,88583
2019-10-29,89476
2019-10-30,89666
2019-10-31,90660
2019-11-01,91503
2019-11-02,90740
2019-11-03,90053
2019-11-04,89601
2019-11-05,90735
2019-11-06,91289
2019-11-07,91072
