date_obj,Shirt%20(lilac) price
2015-02-25,5000
2015-02-26,5000
2015-02-27,5000
2015-02-28,5000
2015-03-01,5000
2015-03-02,5000
2015-03-03,5000
2015-03-04,5000
2015-03-05,5000
2015-03-06,5000
2015-03-07,5000
2015-03-08,5000
2015-03-09,5000
2015-03-10,5000
2015-03-11,5000
2015-03-12,5000
2015-03-13,5000
2015-03-14,5000
2015-03-15,5000
2015-03-16,5000
2015-03-17,5000
2015-03-18,5000
2015-03-19,5000
2015-03-20,5000
2015-03-21,5000
2015-03-22,5000
2015-03-23,5000
2015-03-24,4950
2015-03-25,4950
2015-03-26,4950
2015-03-27,4950
2015-03-28,4950
2015-03-29,4950
2015-03-30,4950
2015-03-31,4950
2015-04-01,4950
2015-04-02,4950
2015-04-03,4950
2015-04-04,4950
2015-04-05,4950
2015-04-06,4950
2015-04-07,4950
2015-04-08,4950
2015-04-09,4950
2015-04-10,4950
2015-04-11,4950
2015-04-12,4950
2015-04-13,4950
2015-04-14,4950
2015-04-15,4950
2015-04-16,4950
2015-04-17,4789
2015-04-18,4789
2015-04-19,4789
2015-04-20,4789
2015-04-21,4789
2015-04-22,4789
2015-04-23,4789
2015-04-24,4789
2015-04-25,4789
2015-04-26,4789
2015-04-27,4789
2015-04-28,4789
2015-04-29,4789
2015-04-30,4789
2015-05-01,4789
2015-05-02,4789
2015-05-03,4789
2015-05-04,4789
2015-05-05,4789
2015-05-06,4789
2015-05-07,4789
2015-05-08,4789
2015-05-09,4789
2015-05-10,4789
2015-05-11,4789
2015-05-12,4789
2015-05-13,4789
2015-05-14,4789
2015-05-15,4789
2015-05-16,4789
2015-05-17,4570
2015-05-18,4570
2015-05-19,4570
2015-05-20,4570
2015-05-21,4570
2015-05-22,4570
2015-05-23,4570
2015-05-24,4570
2015-05-25,4570
2015-05-26,4570
2015-05-27,4570
2015-05-28,4570
2015-05-29,4570
2015-05-30,4570
2015-05-31,4570
2015-06-01,4570
2015-06-02,4570
2015-06-03,4570
2015-06-04,4570
2015-06-05,4570
2015-06-06,4352
2015-06-07,4352
2015-06-08,4352
2015-06-09,4352
2015-06-10,4352
2015-06-11,4352
2015-06-12,4352
2015-06-13,4352
2015-06-14,4352
2015-06-15,4352
2015-06-16,4352
2015-06-17,4352
2015-06-18,4352
2015-06-19,4352
2015-06-20,4352
2015-06-21,4352
2015-06-22,4352
2015-06-23,4352
2015-06-24,4307
2015-06-25,4307
2015-06-26,4307
2015-06-27,4307
2015-06-28,4307
2015-06-29,4307
2015-06-30,4307
2015-07-01,4307
2015-07-02,4307
2015-07-03,4307
2015-07-04,4307
2015-07-05,4307
2015-07-06,4307
2015-07-07,4307
2015-07-08,4307
2015-07-09,4307
2015-07-10,4307
2015-07-11,4307
2015-07-12,4307
2015-07-13,4307
2015-07-14,4307
2015-07-15,4135
2015-07-16,4135
2015-07-17,4135
2015-07-18,4135
2015-07-19,4135
2015-07-20,4135
2015-07-21,4135
2015-07-22,4135
2015-07-23,4135
2015-07-24,4135
2015-07-25,4135
2015-07-26,4135
2015-07-27,4135
2015-07-28,4135
2015-07-29,4135
2015-07-30,4135
2015-07-31,4135
2015-08-01,4135
2015-08-02,3943
2015-08-03,3943
2015-08-04,3943
2015-08-05,3943
2015-08-06,3943
2015-08-07,3943
2015-08-08,3943
2015-08-09,3943
2015-08-10,3943
2015-08-11,3943
