date_obj,Cooked%20oomlie%20wrap price
2015-03-26,70816
2015-03-27,70816
2015-03-28,70816
2015-03-29,70816
2015-03-30,67366
2015-03-31,67366
2015-04-01,67366
2015-04-02,67366
2015-04-03,67366
2015-04-04,67366
2015-04-05,67366
2015-04-06,64112
2015-04-07,64112
2015-04-08,64112
2015-04-09,64112
2015-04-10,64112
2015-04-11,64112
2015-04-12,64112
2015-04-13,61295
2015-04-14,61295
2015-04-15,61295
2015-04-16,61295
2015-04-17,61295
2015-04-18,61295
2015-04-19,61295
2015-04-20,61295
2015-04-21,58270
2015-04-22,58270
2015-04-23,58270
2015-04-24,58270
2015-04-25,58270
2015-04-26,58270
2015-04-27,58270
2015-04-28,58270
2015-04-29,58270
2015-04-30,55377
2015-05-01,55377
2015-05-02,55377
2015-05-03,52813
2015-05-04,52813
2015-05-05,52813
2015-05-06,52813
2015-05-07,52813
2015-05-08,52813
2015-05-09,50247
2015-05-10,50247
2015-05-11,50247
2015-05-12,50247
2015-05-13,50247
2015-05-14,50247
2015-05-15,48560
2015-05-16,48560
2015-05-17,48560
2015-05-18,48560
2015-05-19,48560
2015-05-20,48560
2015-05-21,48560
2015-05-22,46517
2015-05-23,46517
2015-05-24,46517
2015-05-25,46517
2015-05-26,46517
2015-05-27,46517
2015-05-28,46517
2015-05-29,44457
2015-05-30,44457
2015-05-31,44457
2015-06-01,44457
2015-06-02,44457
2015-06-03,44457
2015-06-04,42576
2015-06-05,42576
2015-06-06,42576
2015-06-07,42576
2015-06-08,42576
2015-06-09,42576
2015-06-10,42576
2015-06-11,40540
2015-06-12,40540
2015-06-13,40540
2015-06-14,40540
2015-06-15,40540
2015-06-16,40540
2015-06-17,40540
2015-06-18,40540
2015-06-19,38721
2015-06-20,38721
2015-06-21,38721
2015-06-22,38721
2015-06-23,38721
2015-06-24,36882
2015-06-25,36882
2015-06-26,36882
2015-06-27,36882
2015-06-28,36882
2015-06-29,36882
2015-06-30,36882
2015-07-01,36882
2015-07-02,35242
2015-07-03,35242
2015-07-04,35242
2015-07-05,35242
2015-07-06,35242
2015-07-07,35242
2015-07-08,35242
2015-07-09,35242
2015-07-10,33731
2015-07-11,33731
2015-07-12,33731
2015-07-13,33731
2015-07-14,33731
2015-07-15,33731
2015-07-16,33731
2015-07-17,33731
2015-07-18,33731
2015-07-19,32044
2015-07-20,32044
2015-07-21,32044
2015-07-22,32044
2015-07-23,32044
2015-07-24,32044
2015-07-25,32044
2015-07-26,32044
2015-07-27,30698
2015-07-28,30698
2015-07-29,30698
2015-07-30,30698
2015-07-31,30698
2015-08-01,30698
2015-08-02,30698
2015-08-03,29432
2015-08-04,29432
2015-08-05,29432
2015-08-06,29432
2015-08-07,29432
2015-08-08,29432
2015-08-09,29432
2015-08-10,27960
2015-08-11,27960
2015-08-12,27960
2015-08-13,27960
2015-08-14,27960
2015-08-15,27960
2015-08-16,27960
2015-08-17,26562
2015-08-18,26562
2015-08-19,26562
2015-08-20,26562
2015-08-21,26562
2015-08-22,26562
2015-08-23,26562
2015-08-24,25233
2015-08-25,25233
2015-08-26,25233
2015-08-27,25233
2015-08-28,25233
2015-08-29,25233
2015-08-30,25233
2015-08-31,25233
2015-09-01,24128
2015-09-02,24128
2015-09-03,24128
2015-09-04,24128
2015-09-05,24128
2015-09-06,24128
2015-09-07,24128
2015-09-08,24128
2015-09-09,23022
2015-09-10,23022
2015-09-11,23022
2015-09-12,23022
2015-09-13,23022
2015-09-14,23022
2015-09-15,21912
2015-09-16,21912
2015-09-17,21912
2015-09-18,21912
2015-09-19,21912
2015-09-20,21912
2015-09-21,20917
2015-09-22,20917
2015-09-23,20917
2015-09-24,20917
2015-09-25,20917
2015-09-27,20917
2015-09-28,19920
2015-09-29,19920
2015-09-30,19920
2015-10-05,19920
2015-10-06,18938
2015-10-07,18938
2015-10-08,18938
