date_obj,Mithril%20crossbow%20(u) price
2015-12-19,186
2015-12-20,186
2015-12-21,186
2015-12-22,186
2015-12-23,186
2015-12-24,186
2015-12-25,186
2015-12-26,186
2015-12-27,186
2015-12-28,186
2015-12-29,186
2015-12-30,186
2015-12-31,186
2016-01-01,186
2016-01-02,186
2016-01-03,193
2016-01-04,193
2016-01-05,193
2016-01-06,193
2016-01-07,193
2016-01-08,193
2016-01-09,193
2016-01-10,193
2016-01-11,193
2016-01-12,193
2016-01-13,193
2016-01-14,193
2016-01-15,193
2016-01-16,193
2016-01-17,193
2016-01-18,193
2016-01-19,193
2016-01-20,193
2016-01-21,193
2016-01-22,193
2016-01-23,193
2016-01-24,202
2016-01-25,202
2016-01-26,202
2016-01-27,202
2016-01-28,202
2016-01-29,202
2016-01-30,202
2016-01-31,202
2016-02-01,202
2016-02-02,202
2016-02-03,202
2016-02-04,202
2016-02-05,202
2016-02-06,202
2016-02-07,202
2016-02-08,202
2016-02-09,202
2016-02-10,202
2016-02-11,202
2016-02-12,202
2016-02-13,209
2016-02-14,209
2016-02-15,209
2016-02-16,209
2016-02-17,209
2016-02-18,209
2016-02-19,209
2016-02-20,209
2016-02-21,209
2016-02-22,209
2016-02-23,209
2016-02-24,209
2016-02-25,209
2016-02-26,209
2016-02-27,209
2016-02-28,209
2016-02-29,209
2016-03-01,209
2016-03-02,209
2016-03-03,209
2016-03-04,215
2016-03-05,215
2016-03-06,215
2016-03-07,215
2016-03-08,215
2016-03-09,215
2016-03-10,215
2016-03-11,215
2016-03-12,215
2016-03-13,215
2016-03-14,215
2016-03-15,215
2016-03-16,215
2016-03-17,215
2016-03-18,215
2016-03-19,215
2016-03-20,215
2016-03-21,215
2016-03-22,215
2016-03-23,215
2016-03-24,223
2016-03-25,223
2016-03-26,223
2016-03-27,223
2016-03-28,223
2016-03-29,223
2016-03-30,223
2016-03-31,223
2016-04-01,223
2016-04-02,223
2016-04-03,223
2016-04-04,223
2016-04-05,223
2016-04-06,223
2016-04-07,223
2016-04-08,223
2016-04-09,223
2016-04-10,223
2016-04-11,230
2016-04-12,230
2016-04-13,230
2016-04-14,230
2016-04-15,230
2016-04-16,230
2016-04-17,230
2016-04-18,230
2016-04-19,230
2016-04-20,230
2016-04-21,230
2016-04-22,230
2016-04-23,230
2016-04-24,230
2016-04-25,230
2016-04-26,230
2016-04-27,230
2016-04-28,230
2016-04-29,230
2016-04-30,239
2016-05-01,239
2016-05-02,239
2016-05-03,239
2016-05-04,239
2016-05-05,239
2016-05-06,239
2016-05-07,239
2016-05-08,239
2016-05-09,239
2016-05-10,239
2016-05-11,239
2016-05-12,239
2016-05-13,239
2016-05-14,239
2016-05-15,239
2016-05-16,239
2016-05-17,239
2016-05-18,239
2016-05-19,239
2016-05-22,248
2016-05-23,248
2016-05-24,248
2016-05-25,248
2016-05-26,248
2016-05-27,248
2016-05-28,248
2016-05-29,248
2016-05-30,248
2016-05-31,248
2016-06-01,248
2016-06-02,248
2016-06-03,248
2016-06-04,248
2016-06-05,248
2016-06-06,248
2016-06-07,248
2016-06-08,248
2016-06-09,257
2016-06-10,257
2016-06-11,257
2016-06-12,257
2016-06-13,257
2016-06-14,257
2016-06-15,257
2016-06-16,257
2016-06-17,257
2016-06-18,257
2016-06-19,257
2016-06-20,257
2016-06-21,257
2016-06-22,257
2016-06-23,257
2016-06-24,257
2016-06-25,257
2016-06-26,257
2016-06-27,257
2016-06-28,265
2016-06-29,265
2016-06-30,265
2016-07-01,265
2016-07-02,265
2016-07-03,265
2016-07-04,265
2016-07-05,265
2016-07-06,265
2016-07-07,265
2016-07-08,265
2016-07-09,265
2016-07-10,265
2016-07-11,265
2016-07-12,265
2016-07-13,265
2016-07-14,265
2016-07-15,276
2016-07-16,276
2016-07-17,276
2016-07-18,276
2016-07-23,276
2016-07-24,276
2016-07-25,276
2016-07-26,276
2016-07-27,276
2016-07-28,276
2016-07-29,276
2016-07-30,276
2016-07-31,276
2016-08-01,276
2016-08-02,276
2016-08-03,276
2016-08-04,276
2016-08-05,276
2016-08-06,276
2016-08-07,276
2016-08-08,276
2016-08-09,284
2016-08-10,284
2016-08-11,284
2016-08-12,284
2016-08-13,284
2016-08-14,284
2016-08-15,284
2016-08-16,284
2016-08-17,284
2016-08-18,284
2016-08-19,284
2016-08-20,284
2016-08-22,284
2016-08-23,284
2016-08-24,284
2016-08-25,284
2016-08-26,284
2016-08-28,284
2016-08-31,284
2016-09-01,284
2016-09-02,284
2016-09-03,284
2016-09-04,284
2016-09-05,284
2016-09-06,284
2016-09-07,284
2016-09-08,284
2016-09-09,284
2016-09-10,292
2016-09-11,292
2016-09-12,292
2016-09-13,292
2016-09-14,292
2016-09-15,292
2016-09-16,292
2016-09-17,292
2016-09-18,292
2016-09-19,292
2016-09-20,292
2016-09-21,292
2016-09-22,292
2016-09-23,292
2016-09-24,292
2016-09-25,292
2016-09-26,292
2016-09-27,292
2016-09-28,292
2016-09-29,292
2016-09-30,292
2016-10-01,292
2016-10-02,292
2016-10-03,292
2016-10-04,292
2016-10-05,292
2016-10-06,292
2016-10-07,292
2016-10-08,292
2016-10-09,292
2016-10-10,292
2016-10-11,292
2016-10-12,292
2016-10-13,292
2016-10-14,297
2016-10-15,297
2016-10-16,297
2016-10-17,297
2016-10-18,297
2016-10-19,297
2016-10-20,297
2016-10-21,297
2016-10-22,297
2016-10-23,297
2016-10-24,297
2016-10-25,297
2016-10-26,297
2016-10-27,297
2016-10-28,297
2016-10-29,297
2016-10-30,297
2016-10-31,297
2016-11-01,297
2016-11-02,297
2016-11-03,297
2016-11-04,297
2016-11-05,297
2016-11-06,297
2016-11-07,297
2016-11-08,297
2016-11-09,297
2016-11-10,297
2016-11-11,297
2016-11-12,297
2016-11-13,297
2016-11-14,297
2016-12-07,306
2016-12-08,306
2016-12-09,306
2016-12-10,306
2016-12-11,306
2016-12-12,306
2016-12-13,306
2016-12-14,306
2016-12-15,306
2016-12-16,306
2016-12-17,321
2016-12-18,321
2016-12-19,321
2016-12-20,321
2016-12-21,321
2016-12-22,321
2016-12-23,321
2016-12-24,321
2016-12-25,321
2016-12-26,321
2016-12-27,321
2016-12-28,321
2016-12-29,321
2016-12-30,321
2016-12-31,321
2017-01-01,321
2017-01-02,321
2017-01-03,321
2017-01-04,321
2017-01-05,321
2017-01-06,321
2017-01-07,321
2017-01-08,321
