date_obj,Rune%20plateskirt%20(t) price
2015-03-26,40031
2015-03-27,40031
2015-03-28,39938
2015-03-29,39938
2015-03-30,39938
2015-03-31,39938
2015-04-01,39938
2015-04-02,40178
2015-04-03,40178
2015-04-04,40178
2015-04-05,40178
2015-04-06,40178
2015-04-07,40408
2015-04-08,40408
2015-04-09,40408
2015-04-10,40408
2015-04-11,40408
2015-04-12,40408
2015-04-13,40283
2015-04-14,40283
2015-04-15,40283
2015-04-16,40283
2015-04-17,40283
2015-04-18,40283
2015-04-19,39789
2015-04-20,39789
2015-04-21,39789
2015-04-22,39789
2015-04-23,39789
2015-04-24,39789
2015-04-25,40360
2015-04-26,40360
2015-04-27,40360
2015-04-28,40360
2015-04-29,40360
2015-04-30,40069
2015-05-01,40069
2015-05-02,40069
2015-05-03,40069
2015-05-04,40069
2015-05-05,40279
2015-05-06,40279
2015-05-07,40279
2015-05-08,40279
2015-05-09,40279
2015-05-10,40455
2015-05-11,40455
2015-05-12,40455
2015-05-13,40455
2015-05-14,40455
2015-05-15,40455
2015-05-16,40136
2015-05-17,40136
2015-05-18,40136
2015-05-19,40136
2015-05-20,40136
2015-05-21,40136
2015-05-22,41087
2015-05-23,41087
2015-05-24,41087
2015-05-25,41087
2015-05-26,41087
2015-05-27,41087
2015-05-28,39890
2015-05-29,39890
2015-05-30,39890
2015-05-31,39679
2015-06-01,39679
2015-06-02,39679
2015-06-03,39679
2015-06-04,40287
2015-06-05,40287
2015-06-06,40287
2015-06-07,40287
2015-06-08,39489
2015-06-09,39489
2015-06-10,39489
2015-06-11,39489
2015-06-12,39388
2015-06-13,39388
2015-06-14,39388
2015-06-15,39388
2015-06-16,39538
2015-06-17,39538
2015-06-18,39538
2015-06-19,39538
2015-06-20,40471
2015-06-21,40471
2015-06-22,40471
2015-06-23,40471
2015-06-24,40632
2015-06-25,40632
2015-06-26,40632
2015-06-27,40632
2015-06-28,41055
2015-06-29,41055
2015-06-30,41055
2015-07-01,41055
2015-07-02,41615
2015-07-03,41615
2015-07-04,41615
2015-07-05,41615
2015-07-06,41615
2015-07-07,42366
2015-07-08,42366
2015-07-09,42366
2015-07-10,42366
2015-07-11,42366
2015-07-12,41244
2015-07-13,41244
2015-07-14,41244
2015-07-15,41244
2015-07-16,41346
2015-07-17,41346
2015-07-18,41346
2015-07-19,41346
2015-07-20,41624
2015-07-21,41624
2015-07-22,41624
2015-07-23,41624
2015-07-24,42513
2015-07-25,42513
2015-07-26,42513
2015-07-27,42513
2015-07-28,42513
2015-07-29,42443
2015-07-30,42443
2015-07-31,42443
2015-08-01,42443
2015-08-02,42443
2015-08-03,42756
2015-08-04,42756
2015-08-05,42756
2015-08-06,42756
2015-08-07,42121
2015-08-08,42121
2015-08-09,42121
2015-08-10,41149
2015-08-11,41149
2015-08-12,41149
2015-08-13,41149
2015-08-14,41261
2015-08-15,41261
2015-08-16,41261
2015-08-17,41261
2015-08-18,41624
2015-08-19,41624
2015-08-20,41624
2015-08-21,41624
2015-08-22,41484
2015-08-23,41484
2015-08-24,41484
2015-08-25,41484
2015-08-26,41152
2015-08-27,41152
2015-08-28,41152
2015-08-29,41645
2015-08-30,41645
2015-08-31,41645
2015-09-01,41645
2015-09-02,42596
2015-09-03,42596
2015-09-04,42596
2015-09-05,42596
2015-09-06,41827
2015-09-07,41827
2015-09-08,41827
2015-09-09,40658
