date_obj,Tribal%20mask%20(blue) price
2015-02-25,10500
2015-02-26,10500
2015-02-27,10500
2015-02-28,10500
2015-03-01,10500
2015-03-02,10500
2015-03-03,10304
2015-03-04,10304
2015-03-05,10304
2015-03-06,10304
2015-03-07,10304
2015-03-08,10304
2015-03-09,10304
2015-03-10,10304
2015-03-11,10081
2015-03-12,10081
2015-03-13,10081
2015-03-14,10081
2015-03-15,10081
2015-03-16,10081
2015-03-17,10081
2015-03-18,10081
2015-03-19,10081
2015-03-20,10081
2015-03-21,10276
2015-03-22,10276
2015-03-23,10276
2015-03-24,10276
2015-03-25,10276
2015-03-26,10276
2015-03-27,10276
2015-03-28,10276
2015-03-29,10276
2015-03-30,10161
2015-03-31,10161
2015-04-01,10161
2015-04-02,10161
2015-04-03,10161
2015-04-04,10161
2015-04-05,10161
2015-04-06,10161
2015-04-07,10161
2015-04-08,9837
2015-04-09,9837
2015-04-10,9837
2015-04-11,9837
2015-04-12,9837
2015-04-13,9837
2015-04-14,9837
2015-04-15,9837
2015-04-16,9555
2015-04-17,9555
2015-04-18,9555
2015-04-19,9555
2015-04-20,9555
2015-04-21,9555
2015-04-22,9555
2015-04-23,9555
2015-04-24,9555
2015-04-25,9448
2015-04-26,9448
2015-04-27,9448
2015-04-28,9448
2015-04-29,9448
2015-04-30,9448
2015-05-01,9448
2015-05-02,9448
2015-05-03,9448
2015-05-04,9126
2015-05-05,9126
2015-05-06,9126
2015-05-07,9126
2015-05-08,9126
2015-05-09,9126
2015-05-10,9126
2015-05-11,9126
2015-05-12,9126
2015-05-13,8871
2015-05-14,8871
2015-05-15,8871
2015-05-16,8871
2015-05-17,8871
2015-05-18,8871
2015-05-19,8871
2015-05-20,8871
2015-05-21,8871
2015-05-22,8871
2015-05-23,8710
2015-05-24,8710
2015-05-25,8710
2015-05-26,8710
2015-05-27,8710
2015-05-28,8710
2015-05-29,8710
2015-05-30,8298
2015-05-31,8298
2015-06-01,8298
2015-06-02,8298
2015-06-03,8298
2015-06-04,8298
2015-06-05,8298
2015-06-06,8293
2015-06-07,8293
2015-06-08,8293
2015-06-09,8293
2015-06-10,8293
2015-06-11,8293
2015-06-12,8293
2015-06-13,8377
2015-06-14,8377
2015-06-15,8377
2015-06-16,8377
2015-06-17,8377
2015-06-18,8377
2015-06-19,8377
2015-06-20,8273
2015-06-21,8273
2015-06-22,8273
2015-06-23,8273
2015-06-24,8273
2015-06-25,8273
2015-06-26,8273
2015-06-27,8032
2015-06-28,8032
2015-06-29,8032
2015-06-30,8032
2015-07-01,8032
2015-07-02,8032
2015-07-03,8001
2015-07-04,8001
2015-07-05,8001
2015-07-06,8001
2015-07-07,8001
2015-07-08,8001
2015-07-09,8001
2015-07-10,8029
2015-07-11,8029
2015-07-12,8029
2015-07-13,8029
2015-07-14,8029
2015-07-15,8029
2015-07-16,8029
2015-07-17,8060
2015-07-18,8060
2015-07-19,8060
2015-07-20,8060
2015-07-21,8060
2015-07-22,8060
2015-07-23,8153
2015-07-24,8153
2015-07-25,8153
2015-07-26,8153
2015-07-27,8153
2015-07-28,8153
2015-07-29,8328
2015-07-30,8328
2015-07-31,8328
2015-08-01,8328
2015-08-02,8328
2015-08-03,8328
2015-08-04,8328
