date_obj,Ensouled%20monkey%20head price
2016-01-08,1042
2016-01-09,1042
2016-01-10,1042
2016-01-11,1021
2016-01-12,1021
2016-01-13,1021
2016-01-14,973
2016-01-15,973
2016-01-16,973
2016-01-17,929
2016-01-18,929
2016-01-19,929
2016-01-20,911
2016-01-21,911
2016-01-22,866
2016-01-23,866
2016-01-24,866
2016-01-25,825
2016-01-26,825
2016-01-27,785
2016-01-28,785
2016-01-29,750
2016-01-30,750
2016-01-31,714
2016-02-01,714
2016-02-02,680
2016-02-03,680
2016-02-04,673
2016-02-05,673
2016-02-06,673
2016-02-07,681
2016-02-08,681
2016-02-09,651
2016-02-10,651
2016-02-11,622
2016-02-12,622
2016-02-13,601
2016-02-14,601
2016-02-15,601
2016-02-16,573
2016-02-17,573
2016-02-18,547
2016-02-19,547
2016-02-20,522
2016-02-21,498
2016-02-22,498
2016-02-23,492
2016-02-24,492
2016-02-25,475
2016-02-26,475
2016-02-27,475
2016-02-28,452
2016-02-29,452
2016-03-01,430
2016-03-02,430
2016-03-03,410
2016-03-04,403
2016-03-05,403
2016-03-06,388
2016-03-07,388
2016-03-08,388
2016-03-09,388
2016-03-10,388
2016-03-11,388
2016-03-12,371
2016-03-13,371
2016-03-14,371
2016-03-15,355
2016-03-16,355
2016-03-17,355
2016-03-18,351
2016-03-19,351
2016-03-20,351
2016-03-21,334
2016-03-22,334
2016-03-23,325
2016-03-24,325
2016-03-25,325
2016-03-26,309
2016-03-27,309
2016-03-28,309
2016-03-29,295
2016-03-30,295
2016-03-31,295
2016-04-01,287
2016-04-02,287
2016-04-03,287
2016-04-04,274
2016-04-05,274
2016-04-06,274
2016-04-07,274
2016-04-08,270
2016-04-09,270
2016-04-10,258
2016-04-11,258
2016-04-12,258
2016-04-13,247
2016-04-14,247
2016-04-15,247
2016-04-16,236
2016-04-17,236
2016-04-18,228
2016-04-19,228
2016-04-20,228
2016-04-21,222
2016-04-22,222
2016-04-23,222
2016-04-24,213
2016-04-25,213
2016-04-26,213
2016-04-27,203
2016-04-28,203
2016-04-29,203
2016-04-30,197
2016-05-01,197
2016-05-02,197
2016-05-03,199
2016-05-04,199
2016-05-05,209
2016-05-06,209
2016-05-07,209
2016-05-08,218
2016-05-09,218
2016-05-10,218
2016-05-11,216
2016-05-12,216
2016-05-13,216
2016-05-14,223
2016-05-15,223
2016-05-16,223
2016-05-17,233
2016-05-18,233
2016-05-19,233
2016-05-22,241
2016-05-23,235
2016-05-24,235
2016-05-25,235
2016-05-26,229
2016-05-27,229
2016-05-28,220
2016-05-29,220
2016-05-30,220
2016-05-31,210
2016-06-01,210
2016-06-02,199
2016-06-03,199
2016-06-04,192
2016-06-05,192
2016-06-06,183
2016-06-07,183
2016-06-08,186
2016-06-09,186
2016-06-10,186
2016-06-11,193
2016-06-12,193
2016-06-13,193
2016-06-14,193
2016-06-15,203
2016-06-16,203
2016-06-17,203
2016-06-18,213
2016-06-19,213
2016-06-20,213
2016-06-21,204
2016-06-22,204
2016-06-23,195
2016-06-24,195
2016-06-25,192
2016-06-26,192
2016-06-27,192
2016-06-28,189
2016-06-29,189
2016-06-30,189
2016-07-01,180
2016-07-02,180
2016-07-03,180
2016-07-04,173
2016-07-05,173
2016-07-06,173
2016-07-07,173
2016-07-08,171
2016-07-09,171
2016-07-10,171
2016-07-11,164
2016-07-12,164
2016-07-13,164
2016-07-14,158
2016-07-15,158
2016-07-16,158
2016-07-17,152
2016-07-18,152
2016-07-23,156
2016-07-24,164
2016-07-25,164
2016-07-26,164
2016-07-27,164
2016-07-28,166
2016-07-29,166
2016-07-30,166
2016-07-31,166
2016-08-01,157
2016-08-02,157
2016-08-03,157
2016-08-04,155
2016-08-05,155
2016-08-06,155
2016-08-07,155
2016-08-08,155
2016-08-09,154
2016-08-10,154
2016-08-11,154
2016-08-12,154
2016-08-13,154
2016-08-14,158
2016-08-15,158
2016-08-16,158
2016-08-17,158
2016-08-18,166
2016-08-19,166
2016-08-20,166
2016-08-21,166
2016-08-22,175
2016-08-23,175
2016-08-24,175
2016-08-25,175
2016-08-26,175
2016-08-28,184
2016-08-31,190
2016-09-01,190
2016-09-02,190
2016-09-03,190
2016-09-04,200
2016-09-05,200
2016-09-06,200
2016-09-07,200
2016-09-08,210
2016-09-09,210
2016-09-10,210
2016-09-11,210
2016-09-12,221
2016-09-13,221
2016-09-14,221
2016-09-15,221
2016-09-16,221
2016-09-17,214
2016-09-18,214
2016-09-19,214
2016-09-20,214
2016-09-21,205
2016-09-22,205
2016-09-23,205
2016-09-24,205
2016-09-25,195
2016-09-26,195
2016-09-27,195
2016-09-28,195
2016-09-29,192
2016-09-30,192
2016-10-01,192
2016-10-02,185
2016-10-03,185
2016-10-04,185
2016-10-05,185
2016-10-06,185
2016-10-07,192
2016-10-08,192
2016-10-09,192
2016-10-10,192
2016-10-11,197
2016-10-12,197
2016-10-13,197
2016-10-14,197
2016-10-15,197
2016-10-16,197
2016-10-17,197
2016-10-18,197
2016-10-19,197
2016-10-20,188
2016-10-21,188
2016-10-22,188
2016-10-23,188
2016-10-24,181
2016-10-25,181
2016-10-26,181
2016-10-27,181
