date_obj,Crossbow%20string price
2015-03-26,666
2015-03-27,666
2015-03-28,666
2015-03-29,666
2015-03-30,666
2015-03-31,666
2015-04-01,634
2015-04-02,634
2015-04-03,634
2015-04-04,634
2015-04-05,634
2015-04-06,634
2015-04-07,634
2015-04-08,634
2015-04-09,634
2015-04-10,607
2015-04-11,607
2015-04-12,607
2015-04-13,607
2015-04-14,607
2015-04-15,607
2015-04-16,607
2015-04-17,607
2015-04-18,578
2015-04-19,578
2015-04-20,578
2015-04-21,578
2015-04-22,578
2015-04-23,578
2015-04-24,578
2015-04-25,578
2015-04-26,578
2015-04-27,578
2015-04-28,550
2015-04-29,550
2015-04-30,550
2015-05-01,550
2015-05-02,550
2015-05-03,550
2015-05-04,550
2015-05-05,550
2015-05-06,550
2015-05-07,550
2015-05-08,550
2015-05-09,550
2015-05-10,523
2015-05-11,523
2015-05-12,523
2015-05-13,523
2015-05-14,523
2015-05-15,523
2015-05-16,523
2015-05-17,523
2015-05-18,523
2015-05-19,523
2015-05-20,523
2015-05-21,523
2015-05-22,523
2015-05-23,497
2015-05-24,497
2015-05-25,497
2015-05-26,497
2015-05-27,497
2015-05-28,497
2015-05-29,497
2015-05-30,497
2015-05-31,497
2015-06-01,478
2015-06-02,478
2015-06-03,478
2015-06-04,478
2015-06-05,478
2015-06-06,478
2015-06-07,478
2015-06-08,478
2015-06-09,478
2015-06-10,478
2015-06-11,478
2015-06-12,478
2015-06-13,457
2015-06-14,457
2015-06-15,457
2015-06-16,457
2015-06-17,457
2015-06-18,457
2015-06-19,457
2015-06-20,457
2015-06-21,457
2015-06-22,457
2015-06-23,457
2015-06-24,457
2015-06-25,435
2015-06-26,435
2015-06-27,435
2015-06-28,435
2015-06-29,435
2015-06-30,435
2015-07-01,435
2015-07-02,435
2015-07-03,435
2015-07-04,435
2015-07-05,435
2015-07-06,435
2015-07-07,414
2015-07-08,414
2015-07-09,414
2015-07-10,414
2015-07-11,414
2015-07-12,414
2015-07-13,414
2015-07-14,414
2015-07-15,414
2015-07-16,414
2015-07-17,414
2015-07-18,414
2015-07-19,394
2015-07-20,394
2015-07-21,394
2015-07-22,394
2015-07-23,394
2015-07-24,394
2015-07-25,394
2015-07-26,394
2015-07-27,394
2015-07-28,394
2015-07-29,394
2015-07-30,376
2015-07-31,376
2015-08-01,376
2015-08-02,376
2015-08-03,376
2015-08-04,376
2015-08-05,376
2015-08-06,376
2015-08-07,376
2015-08-08,376
2015-08-09,376
2015-08-10,376
2015-08-11,361
2015-08-12,361
2015-08-13,361
2015-08-14,361
2015-08-15,361
2015-08-16,361
2015-08-17,361
2015-08-18,361
2015-08-19,361
2015-08-20,361
2015-08-21,361
2015-08-22,361
2015-08-23,361
2015-08-24,361
2015-08-25,361
2015-08-26,361
2015-08-27,361
2015-08-28,361
2015-08-29,361
2015-08-30,361
2015-08-31,346
2015-09-01,346
2015-09-02,346
2015-09-03,346
2015-09-04,346
2015-09-05,346
2015-09-06,346
2015-09-07,346
2015-09-08,346
2015-09-09,346
2015-09-10,346
2015-09-11,346
2015-09-12,346
2015-09-13,346
2015-09-14,346
2015-09-15,346
2015-09-16,346
2015-09-17,346
2015-09-18,346
2015-09-19,346
2015-09-20,346
2015-09-21,331
2015-09-22,331
2015-09-23,331
2015-09-24,331
2015-09-25,331
2015-09-27,331
2015-09-28,331
2015-09-29,331
2015-09-30,331
2015-10-05,331
2015-10-06,331
2015-10-07,331
2015-10-08,331
2015-10-09,331
2015-10-10,331
2015-10-11,318
2015-10-12,318
