date_obj,Blue%20boots price
2015-03-04,8076
2015-03-05,7672
2015-03-06,7672
2015-03-07,7672
2015-03-08,7288
2015-03-09,7288
2015-03-10,7288
2015-03-11,7288
2015-03-12,6940
2015-03-13,6940
2015-03-14,6940
2015-03-15,6593
2015-03-16,6593
2015-03-17,6593
2015-03-18,6271
2015-03-19,6271
2015-03-20,6271
2015-03-21,5963
2015-03-22,5963
2015-03-23,5963
2015-03-24,5670
2015-03-25,5670
2015-03-26,5670
2015-03-27,5670
2015-03-28,5386
2015-03-29,5386
2015-03-30,5117
2015-03-31,5117
2015-04-01,5117
2015-04-02,4888
2015-04-03,4888
2015-04-04,4646
2015-04-05,4646
2015-04-06,4646
2015-04-07,4442
2015-04-08,4442
2015-04-09,4442
2015-04-10,4219
2015-04-11,4219
2015-04-12,4010
2015-04-13,4010
2015-04-14,4010
2015-04-15,3809
2015-04-16,3809
2015-04-17,3809
2015-04-18,3618
2015-04-19,3618
2015-04-20,3618
2015-04-21,3437
2015-04-22,3437
2015-04-23,3437
2015-04-24,3265
2015-04-25,3265
2015-04-26,3265
2015-04-27,3101
2015-04-28,3101
2015-04-29,3101
2015-04-30,2945
2015-05-01,2945
2015-05-02,2797
2015-05-03,2797
2015-05-04,2657
2015-05-05,2657
2015-05-06,2524
2015-05-07,2524
2015-05-08,2474
2015-05-09,2474
2015-05-10,2415
2015-05-11,2415
2015-05-12,2294
2015-05-13,2294
2015-05-14,2179
2015-05-15,2179
2015-05-16,2179
2015-05-17,2070
2015-05-18,2070
2015-05-19,2070
2015-05-20,1975
2015-05-21,1975
2015-05-22,1975
2015-05-23,1881
2015-05-24,1881
2015-05-25,1786
2015-05-26,1786
2015-05-27,1786
2015-05-28,1718
2015-05-29,1718
2015-05-30,1698
2015-05-31,1698
2015-06-01,1645
2015-06-02,1645
2015-06-03,1645
2015-06-04,1587
2015-06-05,1587
2015-06-06,1554
2015-06-07,1554
2015-06-08,1554
2015-06-09,1495
2015-06-10,1495
2015-06-11,1495
2015-06-12,1433
2015-06-13,1433
2015-06-14,1440
2015-06-15,1440
2015-06-16,1440
2015-06-17,1424
2015-06-18,1424
2015-06-19,1424
2015-06-20,1419
2015-06-21,1419
2015-06-22,1419
2015-06-23,1389
2015-06-24,1389
2015-06-25,1389
