date_obj,Sagacious%20spectacles price
2015-03-26,2329307
2015-03-27,2426696
2015-03-28,2426696
2015-03-29,2426696
2015-03-30,2426696
2015-03-31,2425362
2015-04-01,2425362
2015-04-02,2425362
2015-04-03,2425362
2015-04-04,2425362
2015-04-05,2425362
2015-04-06,2425362
2015-04-07,2339844
2015-04-08,2339844
2015-04-09,2339844
2015-04-10,2339844
2015-04-11,2339844
2015-04-12,2339844
2015-04-13,2339844
2015-04-14,2225704
2015-04-15,2225704
2015-04-16,2225704
2015-04-17,2225704
2015-04-18,2225704
2015-04-19,2123558
2015-04-20,2123558
2015-04-21,2123558
2015-04-22,2123558
2015-04-23,2123558
2015-04-24,2023723
2015-04-25,2023723
2015-04-26,2023723
2015-04-27,2023723
2015-04-28,2023723
2015-04-29,2023723
2015-04-30,1928108
2015-05-01,1928108
2015-05-02,1928108
2015-05-03,1928108
2015-05-04,1839079
2015-05-05,1839079
2015-05-06,1839079
2015-05-07,1753497
2015-05-08,1753497
2015-05-09,1753497
2015-05-10,1672191
2015-05-11,1672191
2015-05-12,1672191
2015-05-13,1596722
2015-05-14,1596722
2015-05-15,1596722
2015-05-16,1522140
2015-05-17,1522140
2015-05-18,1449402
2015-05-19,1449402
2015-05-20,1449402
2015-05-21,1449402
2015-05-22,1379720
2015-05-23,1379720
2015-05-24,1379720
2015-05-25,1311765
2015-05-26,1311765
2015-05-27,1311765
2015-05-28,1249509
2015-05-29,1249509
2015-05-30,1190667
2015-05-31,1190667
2015-06-01,1190667
2015-06-02,1190667
2015-06-03,1190667
2015-06-04,1134572
2015-06-05,1134572
2015-06-06,1134572
2015-06-07,1132253
2015-06-08,1132253
2015-06-09,1132253
2015-06-10,1132253
2015-06-11,1132253
2015-06-12,1093460
2015-06-13,1093460
2015-06-14,1093460
2015-06-15,1093460
2015-06-16,1093460
2015-06-17,1107491
2015-06-18,1107491
2015-06-19,1107491
2015-06-20,1107491
2015-06-21,1107491
2015-06-22,1107491
2015-06-23,1148193
2015-06-24,1148193
2015-06-25,1148193
2015-06-26,1148193
2015-06-27,1148193
2015-06-28,1199576
2015-06-29,1199576
2015-06-30,1199576
2015-07-01,1199576
2015-07-02,1253231
2015-07-03,1253231
2015-07-04,1253231
