date_obj,Larupia%20legs price
2015-03-26,16694
2015-03-27,16694
2015-03-28,16694
2015-03-29,15864
2015-03-30,15864
2015-03-31,15864
2015-04-01,15107
2015-04-02,15107
2015-04-03,15107
2015-04-04,14351
2015-04-05,14351
2015-04-06,14351
2015-04-07,13649
2015-04-08,13649
2015-04-09,13649
2015-04-10,13649
2015-04-11,12966
2015-04-12,12966
2015-04-13,12966
2015-04-14,12966
2015-04-15,12317
2015-04-16,12317
2015-04-17,12317
2015-04-18,12317
2015-04-19,11701
2015-04-20,11701
2015-04-21,11701
2015-04-22,11701
2015-04-23,11115
2015-04-24,11115
2015-04-25,11115
2015-04-26,11115
2015-04-27,10559
2015-04-28,10559
2015-04-29,10559
2015-04-30,10559
2015-05-01,10031
2015-05-02,10031
2015-05-03,10031
2015-05-04,10031
2015-05-05,9579
2015-05-06,9579
2015-05-07,9579
2015-05-08,9579
2015-05-09,9121
2015-05-10,9121
2015-05-11,9121
2015-05-12,9121
2015-05-13,8679
2015-05-14,8679
2015-05-15,8679
2015-05-16,8679
2015-05-17,8258
2015-05-18,8258
2015-05-19,8258
2015-05-20,8258
2015-05-21,8258
2015-05-22,7859
2015-05-23,7859
2015-05-24,7859
2015-05-25,7859
2015-05-26,7859
2015-05-27,7544
2015-05-28,7544
2015-05-29,7544
2015-05-30,7166
2015-05-31,7166
2015-06-01,7166
2015-06-02,7166
2015-06-03,6903
2015-06-04,6903
2015-06-05,6903
2015-06-06,6619
2015-06-07,6619
2015-06-08,6619
2015-06-09,6359
2015-06-10,6359
2015-06-11,6359
2015-06-12,6359
2015-06-13,6312
2015-06-14,6312
2015-06-15,6312
2015-06-16,6312
2015-06-17,6238
2015-06-18,6238
2015-06-19,6238
2015-06-20,6112
2015-06-21,6112
2015-06-22,6112
2015-06-23,6112
2015-06-24,5977
2015-06-25,5977
2015-06-26,5977
2015-06-27,5977
2015-06-28,5766
2015-06-29,5766
2015-06-30,5766
2015-07-01,5766
2015-07-02,5766
2015-07-03,5480
2015-07-04,5480
2015-07-05,5480
2015-07-06,5480
2015-07-07,5480
2015-07-08,5206
2015-07-09,5206
2015-07-10,5206
2015-07-11,5206
2015-07-12,5206
2015-07-13,4945
2015-07-14,4945
2015-07-15,4945
2015-07-16,4945
2015-07-17,4780
2015-07-18,4780
2015-07-19,4780
2015-07-20,4780
2015-07-21,4657
2015-07-22,4657
2015-07-23,4657
2015-07-24,4443
2015-07-25,4443
2015-07-26,4443
2015-07-27,4443
2015-07-28,4222
2015-07-29,4222
2015-07-30,4222
2015-07-31,4072
2015-08-01,4072
2015-08-02,4072
2015-08-03,3918
2015-08-04,3918
2015-08-05,3918
2015-08-06,3918
2015-08-07,3882
2015-08-08,3882
2015-08-09,3882
2015-08-10,3946
2015-08-11,3946
2015-08-12,3946
2015-08-13,3946
2015-08-14,4094
2015-08-15,4094
2015-08-16,4094
2015-08-17,4094
2015-08-18,4198
2015-08-19,4198
2015-08-20,4198
2015-08-21,4198
2015-08-22,4022
2015-08-23,4022
2015-08-24,4022
2015-08-25,4022
2015-08-26,3860
2015-08-27,3860
2015-08-28,3860
2015-08-29,3860
2015-08-30,3735
2015-08-31,3735
2015-09-01,3735
2015-09-02,3735
2015-09-03,3566
2015-09-04,3566
2015-09-05,3566
2015-09-06,3566
2015-09-07,3607
2015-09-08,3607
2015-09-09,3607
2015-09-10,3607
2015-09-11,3624
2015-09-12,3624
2015-09-13,3624
2015-09-14,3624
2015-09-15,3699
2015-09-16,3699
2015-09-17,3699
2015-09-18,3699
2015-09-19,3699
2015-09-20,3712
2015-09-21,3712
2015-09-22,3712
2015-09-23,3526
2015-09-24,3526
2015-09-25,3526
2015-09-27,3526
2015-09-28,3594
2015-09-29,3594
2015-09-30,3594
2015-10-05,3697
2015-10-06,3833
2015-10-07,3833
2015-10-08,3833
2015-10-09,3833
